dq_id,dataset,candidate,original_bytes,compressed_bytes,compression_ratio,compress_ms,decompress_ms,compress_mbs,decompress_mbs,cpu_ms,peak_rss_kb,repeats,verified,extra_value1,extra_value2,extra_note
DQ-001,large_full,RAW,262144,262144,1.0000,0.056,0.008,4492.36,31055.90,0.000,6896,10,true,0.0000,0.0000,""
DQ-001,large_full,LZ4,262144,263173,0.9961,0.063,0.009,3958.83,27777.78,0.000,6928,10,true,0.0000,0.0000,""
DQ-001,large_full,byte-shuffle+LZ4,262144,200787,1.3056,0.104,0.016,2415.46,16077.17,0.000,7444,10,true,0.0000,0.0000,""
DQ-001,large_full,ZSTD,262144,231570,1.1320,0.439,0.222,568.96,1123.85,1.000,7604,10,true,0.0000,0.0000,""
DQ-001,large_full,byte-shuffle+ZSTD,262144,195616,1.3401,0.455,0.087,549.81,2868.62,1.000,8216,10,true,0.0000,0.0000,""
DQ-001,center_80,RAW,209712,209712,1.0000,0.065,0.005,3069.79,40815.70,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,center_80,LZ4,209712,210536,0.9961,0.068,0.005,2958.53,38460.95,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,center_80,byte-shuffle+LZ4,209712,160715,1.3049,0.070,0.012,2857.10,16666.41,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,center_80,ZSTD,209712,187409,1.1190,0.394,0.222,507.03,899.47,1.000,8216,10,true,0.0000,0.0000,""
DQ-001,center_80,byte-shuffle+ZSTD,209712,158614,1.3222,0.321,0.089,622.56,2253.49,0.500,8216,10,true,0.0000,0.0000,""
DQ-001,edge_30,RAW,78640,78640,1.0000,0.029,0.001,2572.79,57689.96,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,edge_30,LZ4,78640,78950,0.9961,0.038,0.002,1960.70,37498.47,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,edge_30,byte-shuffle+LZ4,78640,60351,1.3030,0.024,0.003,3124.87,24192.56,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,edge_30,ZSTD,78640,71465,1.1004,0.200,0.080,375.08,932.22,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,edge_30,byte-shuffle+ZSTD,78640,60165,1.3071,0.194,0.027,386.98,2808.87,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,sparse_5,RAW,13104,13104,1.0000,0.001,0.000,20828.25,41656.49,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,sparse_5,LZ4,13104,13157,0.9960,0.002,0.000,5680.43,41656.49,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,sparse_5,byte-shuffle+LZ4,13104,10126,1.2941,0.003,0.001,4806.52,22721.72,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,sparse_5,ZSTD,13104,11930,1.0984,0.090,0.021,139.32,600.81,0.000,8216,10,true,0.0000,0.0000,""
DQ-001,sparse_5,byte-shuffle+ZSTD,13104,10081,1.2999,0.087,0.009,143.97,1453.13,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,large_full,RAW,65536,65536,1.0000,0.023,0.001,2735.23,56818.18,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,large_full,LZ4,65536,65794,0.9961,0.014,0.001,4310.34,46296.30,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,large_full,ZSTD,65536,57406,1.1416,0.190,0.060,328.17,1034.77,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,center_80,RAW,52428,52428,1.0000,0.009,0.001,5813.86,58822.63,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,center_80,LZ4,52428,52635,0.9961,0.012,0.001,4310.28,45453.85,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,center_80,ZSTD,52428,45934,1.1414,0.156,0.052,321.13,967.10,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,edge_30,RAW,19660,19660,1.0000,0.001,0.000,31248.73,62497.46,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,edge_30,LZ4,19660,19739,0.9960,0.002,0.000,8522.38,46873.09,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,edge_30,ZSTD,19660,17262,1.1389,0.134,0.030,140.08,619.81,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,sparse_5,RAW,3276,3276,1.0000,0.000,0.000,15621.19,31242.37,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,sparse_5,LZ4,3276,3290,0.9957,0.001,0.000,3471.37,31242.37,0.000,8216,10,true,0.0000,0.0000,""
DQ-002,sparse_5,ZSTD,3276,2935,1.1162,0.033,0.006,95.69,508.01,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,large_full,RAW(bit-packed),8192,8192,1.0000,0.000,0.000,22321.43,78125.00,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,large_full,LZ4,8192,43,190.5116,0.001,0.001,7102.27,15625.00,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,large_full,ZSTD,8192,19,431.1579,0.044,0.004,177.15,1795.98,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,large_full,RLE,8192,66,124.1212,0.000,0.000,78125.00,156250.00,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,large_full,RLE+LZ4,8192,11,744.7273,0.000,0.000,26041.67,78125.00,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,center_80,RAW(bit-packed),8192,8192,1.0000,0.000,0.000,26041.67,52083.33,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,center_80,LZ4,8192,8222,0.9964,0.004,0.000,2170.14,39062.50,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,center_80,ZSTD,8192,6116,1.3394,0.034,0.009,227.44,868.06,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,center_80,RLE,8192,15712,0.5214,0.001,0.000,15625.00,26041.67,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,center_80,RLE+LZ4,8192,12099,0.6771,0.026,0.007,303.99,1085.07,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,RAW(bit-packed),8192,8192,1.0000,0.000,0.000,17361.11,39062.50,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,LZ4,8192,8226,0.9959,0.002,0.000,4340.28,26041.67,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,ZSTD,8192,7354,1.1140,0.021,0.009,366.78,908.43,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,RLE,8192,16164,0.5068,0.001,0.000,13020.83,26041.67,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,RLE+LZ4,8192,13979,0.5860,0.019,0.003,413.36,2332.09,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,RAW(bit-packed),8192,8192,1.0000,0.001,0.000,15625.00,39062.50,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,LZ4,8192,5515,1.4854,0.011,0.004,710.23,2170.14,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,ZSTD,8192,3220,2.5441,0.069,0.022,113.14,356.74,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,RLE,8192,9000,0.9102,0.000,0.000,19531.25,39062.50,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,RLE+LZ4,8192,6340,1.2921,0.013,0.004,600.96,1816.86,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,uint32-raw+RAW,262144,262144,1.0000,0.068,0.005,3698.22,50505.05,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,uint32-raw+LZ4,262144,263157,0.9962,0.077,0.006,3255.21,43103.45,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,uint32-raw+ZSTD,262144,161418,1.6240,0.616,0.166,405.88,1503.31,1.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+LZ4,262144,1042,251.5777,0.071,0.014,3523.61,18181.82,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+ZSTD,262144,37,7084.9730,0.206,0.019,1210.95,12820.51,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+varint+RAW,262144,65536,4.0000,0.012,0.001,20576.13,227272.73,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+varint+LZ4,262144,268,978.1493,0.020,0.004,12254.90,58139.53,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+varint+ZSTD,262144,20,13107.2000,0.149,0.006,1683.50,38759.69,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,uint32-raw+RAW,209712,209712,1.0000,0.057,0.004,3487.31,51281.27,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,uint32-raw+LZ4,209712,210516,0.9962,0.074,0.004,2715.51,45453.85,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,uint32-raw+ZSTD,209712,128919,1.6267,0.390,0.128,513.27,1565.53,1.000,8216,10,true,0.0000,0.0000,""
