const,cn,area_deg2,science_frames
UMa,大熊座,1351.4475000000002,38925
Lyn,天猫座,752.7675,18441
Her,武仙座,696.4850000000001,16998
CVn,猎犬座,602.0950000000001,15181
Boo,牧夫座,578.7975,14874
Dra,天龙座,551.005,27646
Aur,御夫座,238.35250000000002,6401
LMi,小狮座,230.72500000000002,7123
Lyr,天琴座,179.3025,4067
CrB,北冕座,151.81500000000003,4405
Gem,双子座,119.30000000000001,3603
Cnc,巨蟹座,71.88000000000001,1903
Cyg,天鹅座,50.375,747
Com,后发座,49.355000000000004,1020
Cet,鲸鱼座,41.6625,1165
Psc,双鱼座,39.10750000000001,1259
Leo,狮子座,36.2175,1010
Cam,鹿豹座,14.435,10830
Lib,天秤座,8.727500000000001,72
Sex,六分仪座,6.672500000000001,424
Mon,麒麟座,5.822500000000001,493
Eri,波江座,3.3000000000000003,69
Aqr,宝瓶座,2.45,128
Ari,白羊座,2.3150000000000004,284
Tau,金牛座,1.9450000000000003,110
Tri,三角座,1.7175000000000002,708
Ori,猎户座,0.5525000000000001,16
