elapsed_seconds,stage,cpu_pct,system_cpu_pct,active_workers,runnable_workers,rss_bytes,pss_bytes,commit_bytes,page_faults,read_bytes,write_bytes,queue_depth,lock_wait_ns,progress,threads,active_compute_threads,per_thread_cpu_max_pct,per_thread_cpu_sum_pct,io_wait_pct
0.000,active,0.00,0.00,4,4,6602752,0,94695424,0,0,0,0,0,0.000,2,0,0.00,0.00,0.00
0.500,active,98.00,0.00,4,4,12218368,0,204820480,0,0,8192,0,0,0.000,7,1,96.00,96.00,10.00
1.000,active,100.00,0.00,4,4,12222464,0,204820480,0,0,0,0,0,0.000,7,1,100.00,100.00,26.00
1.500,active,100.00,0.00,4,4,12222464,0,203767808,0,0,0,0,0,0.000,7,1,100.00,100.00,18.00
2.000,active,100.00,0.00,4,4,12222464,0,203767808,0,0,0,0,0,0.000,7,1,98.00,98.00,14.00
2.500,active,98.00,0.00,4,4,12226560,0,203767808,0,0,0,0,0,0.000,7,1,102.00,102.00,40.00
3.000,active,254.00,0.00,4,4,40497152,0,508837888,0,0,0,0,0,0.000,7,1,46.00,46.00,44.00
3.501,active,246.00,0.00,4,4,40923136,0,505774080,0,0,0,0,0,0.000,7,1,50.00,50.00,2.00
4.000,active,100.00,0.00,4,4,70868992,0,505774080,0,0,0,0,0,0.000,7,1,100.00,100.00,0.00
4.500,active,112.00,0.00,4,4,85889024,0,505774080,0,0,7016448,0,0,0.000,8,1,60.00,60.00,6.00
5.001,active,126.00,0.00,4,4,85889024,0,505774080,0,0,0,0,0,0.000,8,1,32.00,32.00,6.00
5.500,active,58.00,0.00,4,4,86151168,0,505774080,0,0,2174976,0,0,0.000,7,1,52.00,52.00,4.00
6.001,active,112.00,0.00,4,4,132071424,0,505774080,0,0,25165824,0,0,0.000,9,4,20.00,106.00,0.00
6.501,active,200.00,0.00,4,4,132071424,0,505774080,0,0,67108864,0,0,0.000,9,3,0.00,204.00,0.00
7.001,active,202.00,0.00,4,4,132071424,0,505774080,0,0,67108864,0,0,0.000,9,2,0.00,196.00,0.00
7.500,active,200.00,0.00,4,4,132071424,0,505774080,0,0,62918656,0,0,0.000,9,2,0.00,200.00,0.00
8.001,active,200.00,0.00,4,4,132071424,0,505774080,0,0,54525952,0,0,0.000,9,3,0.00,204.00,8.00
8.500,active,202.00,0.00,4,4,132083712,0,505774080,0,0,47919104,0,0,0.000,9,2,0.00,200.00,0.00
9.001,active,200.00,0.00,4,4,132083712,0,505774080,0,0,61136896,0,0,0.000,9,2,0.00,200.00,0.00
9.501,active,200.00,0.00,4,4,132083712,0,505774080,0,0,58724352,0,0,0.000,9,3,0.00,202.00,0.00
10.001,active,202.00,0.00,4,4,132087808,0,505774080,0,0,58720256,0,0,0.000,9,2,0.00,198.00,0.00
10.501,active,200.00,0.00,4,4,132087808,0,505774080,0,0,58724352,0,0,0.000,9,2,54.00,200.00,22.00
11.001,active,200.00,0.00,4,4,132087808,0,505774080,0,0,62914560,0,0,0.000,9,2,100.00,200.00,14.00
11.501,active,202.00,0.00,4,4,132087808,0,505774080,0,0,50335744,0,0,0.000,9,3,100.00,202.00,0.00
12.001,active,200.00,0.00,4,4,132087808,0,505774080,0,0,58720256,0,0,0.000,9,2,100.00,200.00,0.00
12.501,active,200.00,0.00,4,4,132087808,0,505774080,0,0,46141440,0,0,0.000,9,2,102.00,202.00,0.00
13.001,active,202.00,0.00,4,4,132087808,0,505774080,0,0,67108864,0,0,0.000,9,3,100.00,202.00,2.00
13.501,active,200.00,0.00,4,4,132087808,0,505774080,0,0,75501568,0,0,0.000,9,2,98.00,198.00,0.00
14.001,active,98.00,0.00,4,4,221032448,0,596221952,0,0,41971712,0,0,0.000,7,1,0.00,0.00,42.00
14.501,active,354.00,0.00,4,4,356749312,0,783925248,0,0,0,0,0,0.000,11,6,0.00,346.00,0.00
15.001,active,386.00,0.00,4,4,356700160,0,783925248,0,0,16846848,0,0,0.000,7,1,0.00,0.00,2.00
15.501,active,60.00,0.00,4,4,356691968,0,753774592,0,0,194224128,0,0,0.000,7,2,0.00,58.00,42.00
16.001,active,100.00,0.00,4,4,1135521792,0,1537597440,0,0,0,0,0,0.000,7,2,0.00,102.00,2.00
16.501,active,324.00,0.00,4,4,1264361472,0,1658187776,0,3461120,0,0,0,0.000,11,6,0.00,316.00,4.00
17.001,active,340.00,0.00,4,4,1264300032,0,1658187776,0,0,170303488,0,0,0.000,7,2,0.00,0.00,0.00
17.500,active,84.00,0.00,4,4,1264300032,0,1658187776,0,0,794411008,0,0,0.000,7,2,0.00,86.00,44.00
18.000,active,2.00,0.00,4,4,1264300032,0,1658187776,0,0,0,0,0,0.000,7,1,0.00,2.00,200.00
18.500,active,2.00,0.00,4,4,1264300032,0,1658187776,0,0,0,0,0,0.000,7,1,0.00,2.00,198.00
19.000,active,2.00,0.00,4,4,1264300032,0,1658187776,0,0,0,0,0,0.000,7,1,0.00,2.00,208.00
19.500,active,2.00,0.00,4,4,1264300032,0,1658187776,0,0,0,0,0,0.000,7,1,0.00,2.00,200.00
20.000,active,2.00,0.00,4,4,1264300032,0,1658187776,0,0,0,0,0,0.000,7,1,0.00,2.00,182.00
20.500,active,2.00,0.00,4,4,1264300032,0,1658187776,0,0,0,0,0,0.000,7,1,0.00,2.00,100.00
21.000,active,38.00,0.00,4,4,179466240,0,572882944,0,0,1060864,0,0,0.000,7,2,0.00,40.00,62.00
21.500,active,0.00,0.00,4,4,179466240,0,572882944,0,0,0,0,0,0.000,7,0,0.00,0.00,80.00
22.000,active,2.00,0.00,4,4,179466240,0,572882944,0,0,1056768,0,0,0.000,7,0,0.00,0.00,82.00
22.500,active,6.00,0.00,4,4,209879040,0,639991808,0,0,1056768,0,0,0.000,7,1,0.00,6.00,92.00
23.001,active,2.00,0.00,4,4,209879040,0,639991808,0,0,1056768,0,0,0.000,7,0,0.00,0.00,114.00
23.500,active,42.00,0.00,4,4,233996288,0,639991808,0,0,19021824,0,0,0.000,7,2,0.00,42.00,64.00
24.001,active,10.00,0.00,4,4,241340416,0,639991808,0,0,4227072,0,0,0.000,7,1,0.00,12.00,72.00
24.502,active,48.00,0.00,4,4,248684544,0,707100672,0,0,19517440,0,0,0.000,7,2,0.00,50.00,48.00
25.001,active,46.00,0.00,4,4,278044672,0,707100672,0,0,20905984,0,0,0.000,7,2,0.00,46.00,52.00
25.500,active,4.00,0.00,4,4,278044672,0,707100672,0,0,1847296,0,0,0.000,7,0,0.00,0.00,208.00
26.001,active,2.00,0.00,4,4,278044672,0,707100672,0,0,0,0,0,0.000,7,1,0.00,2.00,202.00
26.500,active,18.00,0.00,4,4,278044672,0,707100672,0,0,5283840,0,0,0.000,7,1,0.00,18.00,80.00
27.000,active,42.00,0.00,4,4,285384704,0,707100672,0,0,19021824,0,0,0.000,7,1,0.00,42.00,54.00
27.500,active,52.00,0.00,4,4,292724736,0,707100672,0,0,15851520,0,0,0.000,7,2,0.00,54.00,34.00
28.000,active,54.00,0.00,4,4,312651776,0,774209536,0,0,19021824,0,0,0.000,7,1,0.00,54.00,42.00
28.500,active,50.00,0.00,4,4,319991808,0,774209536,0,0,19021824,0,0,0.000,7,2,0.00,48.00,44.00
29.000,active,46.00,0.00,4,4,327331840,0,774209536,0,0,16908288,0,0,0.000,7,1,0.00,46.00,40.00
29.500,active,46.00,0.00,4,4,344109056,0,774209536,0,0,19021824,0,0,0.000,7,2,0.00,46.00,44.00
