elapsed_seconds,stage,cpu_pct,system_cpu_pct,active_workers,runnable_workers,rss_bytes,pss_bytes,commit_bytes,page_faults,read_bytes,write_bytes,queue_depth,lock_wait_ns,progress,threads,active_compute_threads,per_thread_cpu_max_pct,per_thread_cpu_sum_pct,io_wait_pct
0.000,active,0.00,0.00,16,16,6688768,0,94703616,0,0,0,0,0,0.000,2,0,0.00,0.00,0.00
0.501,active,14.00,0.00,16,16,12648448,0,305688576,0,11579392,36864,0,0,0.000,19,1,0.00,12.00,86.00
1.001,active,54.00,0.00,16,16,12652544,0,305688576,0,45264896,0,0,0,0.000,19,1,50.00,54.00,44.00
1.501,active,52.00,0.00,16,16,12656640,0,305688576,0,44208128,0,0,0,0.000,19,1,52.00,52.00,50.00
2.001,active,80.00,0.00,16,16,12656640,0,305688576,0,20140032,0,0,0,0.000,19,1,80.00,80.00,18.00
2.501,active,90.00,0.00,16,16,12656640,0,304635904,0,11587584,0,0,0,0.000,19,1,92.00,92.00,12.00
3.001,active,56.00,0.00,16,16,12656640,0,304635904,0,45273088,0,0,0,0.000,19,1,56.00,56.00,44.00
3.501,active,34.00,0.00,16,16,12656640,0,304635904,0,25272320,0,0,0,0.000,19,1,32.00,32.00,112.00
4.001,active,2.00,0.00,16,16,12656640,0,304635904,0,2101248,0,0,0,0.000,19,1,2.00,2.00,214.00
4.501,active,4.00,0.00,16,16,12664832,0,304635904,0,3153920,0,0,0,0.000,19,1,4.00,4.00,250.00
5.001,active,42.00,0.00,16,16,12664832,0,304635904,0,33701888,0,0,0,0.000,19,1,40.00,40.00,114.00
5.501,active,100.00,0.00,16,16,12664832,0,304635904,0,167936,0,0,0,0.000,19,1,100.00,100.00,2.00
6.001,active,72.00,0.00,16,16,12664832,0,304635904,0,33710080,0,0,0,0.000,19,1,72.00,72.00,30.00
6.501,active,56.00,0.00,16,16,12664832,0,304635904,0,48451584,0,0,0,0.000,19,1,56.00,56.00,42.00
7.001,active,70.00,0.00,16,16,12664832,0,304635904,0,35999744,0,0,0,0.000,19,1,70.00,70.00,30.00
7.501,active,88.00,0.00,16,16,12664832,0,304635904,0,8835072,0,0,0,0.000,19,1,90.00,90.00,12.00
8.001,active,62.00,0.00,16,16,12664832,0,304635904,0,45125632,0,0,0,0.000,19,1,62.00,62.00,40.00
8.501,active,34.00,0.00,16,16,12677120,0,304635904,0,27443200,0,0,0,0.000,19,1,30.00,30.00,110.00
