elapsed_seconds,stage,cpu_pct,system_cpu_pct,active_workers,runnable_workers,rss_bytes,pss_bytes,commit_bytes,page_faults,read_bytes,write_bytes,queue_depth,lock_wait_ns,progress,threads,active_compute_threads,per_thread_cpu_max_pct,per_thread_cpu_sum_pct,io_wait_pct
0.000,active,0.00,0.00,1,1,6520832,0,94699520,0,0,0,0,0,0.000,2,0,0.00,0.00,0.00
0.501,active,36.00,0.00,1,1,12328960,0,179789824,0,53248,36864,0,0,0.000,4,1,20.00,36.00,64.00
1.000,active,70.00,0.00,1,1,12333056,0,179789824,0,389120,0,0,0,0.000,4,1,68.00,68.00,60.00
1.500,active,100.00,0.00,1,1,12333056,0,179789824,0,4096,0,0,0,0.000,4,1,100.00,100.00,48.00
2.000,active,84.00,0.00,1,1,12333056,0,178737152,0,2584576,0,0,0,0.000,4,1,86.00,86.00,82.00
2.501,active,92.00,0.00,1,1,12333056,0,178737152,0,2412544,0,0,0,0.000,4,1,90.00,90.00,10.00
3.000,active,98.00,0.00,1,1,12333056,0,178737152,0,413696,0,0,0,0.000,4,1,98.00,98.00,0.00
3.500,active,92.00,0.00,1,1,12333056,0,178737152,0,5582848,0,0,0,0.000,4,1,92.00,92.00,8.00
4.001,active,84.00,0.00,1,1,12333056,0,178737152,0,11587584,0,0,0,0.000,4,1,84.00,84.00,26.00
4.500,active,88.00,0.00,1,1,12341248,0,178737152,0,487424,0,0,0,0.000,4,1,86.00,86.00,42.00
5.000,active,52.00,0.00,1,1,12341248,0,178737152,0,8097792,0,0,0,0.000,4,1,52.00,52.00,94.00
5.504,active,68.00,0.00,1,1,12341248,0,178737152,0,33710080,0,0,0,0.000,4,1,70.00,70.00,32.00
6.000,active,42.00,0.00,1,1,12341248,0,178737152,0,19664896,0,0,0,0.000,4,1,40.00,40.00,100.00
6.502,active,88.00,0.00,1,1,12341248,0,178737152,0,9424896,0,0,0,0.000,4,1,90.00,90.00,14.00
7.000,active,88.00,0.00,1,1,12341248,0,178737152,0,10858496,0,0,0,0.000,4,1,88.00,88.00,10.00
7.500,active,60.00,0.00,1,1,12341248,0,178737152,0,41218048,0,0,0,0.000,4,1,62.00,62.00,38.00
8.000,active,84.00,0.00,1,1,12341248,0,178737152,0,17874944,0,0,0,0.000,4,1,80.00,80.00,16.00
8.504,active,100.00,0.00,1,1,12353536,0,178737152,0,212992,0,0,0,0.000,4,1,100.00,100.00,0.00
9.000,active,74.00,0.00,1,1,12353536,0,178737152,0,22544384,0,0,0,0.000,4,1,76.00,76.00,34.00
9.500,active,94.00,0.00,1,1,12353536,0,178737152,0,5914624,0,0,0,0.000,4,1,94.00,94.00,6.00
10.000,active,100.00,0.00,1,1,12357632,0,178737152,0,0,0,0,0,0.000,4,1,98.00,98.00,0.00
10.500,active,72.00,0.00,1,1,12357632,0,178737152,0,27824128,0,0,0,0.000,4,1,72.00,72.00,28.00
11.000,active,90.00,0.00,1,1,12357632,0,178737152,0,12320768,0,0,0,0.000,4,1,90.00,90.00,10.00
