elapsed_seconds,stage,cpu_pct,system_cpu_pct,active_workers,runnable_workers,rss_bytes,pss_bytes,commit_bytes,page_faults,read_bytes,write_bytes,queue_depth,lock_wait_ns,progress,threads,active_compute_threads,per_thread_cpu_max_pct,per_thread_cpu_sum_pct,io_wait_pct
0.000,active,2.00,0.00,16,16,6524928,0,94699520,0,0,0,0,0,0.000,2,1,2.00,2.00,0.00
0.501,active,98.00,0.00,16,16,12156928,0,305537024,0,0,8192,0,0,0.000,19,1,94.00,96.00,0.00
1.001,active,98.00,0.00,16,16,12161024,0,305537024,0,0,0,0,0,0.000,19,1,100.00,100.00,0.00
1.501,active,102.00,0.00,16,16,12161024,0,304484352,0,0,0,0,0,0.000,19,1,100.00,100.00,0.00
2.001,active,100.00,0.00,16,16,12161024,0,304484352,0,0,0,0,0,0.000,19,1,100.00,100.00,0.00
2.501,active,98.00,0.00,16,16,12165120,0,304484352,0,0,0,0,0,0.000,19,1,100.00,100.00,0.00
3.001,active,180.00,0.00,16,16,87764992,0,1515573248,0,0,0,0,0,0.000,35,16,30.00,146.00,0.00
3.501,active,136.00,0.00,16,16,105693184,0,1512509440,0,0,0,0,0,0.000,35,8,78.00,0.00,12.00
4.001,active,180.00,0.00,16,16,108503040,0,1411796992,0,0,0,0,0,0.000,19,1,60.00,46.00,0.00
4.501,active,106.00,0.00,16,16,150691840,0,1420189696,0,0,7012352,0,0,0.000,20,1,82.00,82.00,6.00
5.001,active,170.00,0.00,16,16,150683648,0,1411796992,0,0,0,0,0,0.000,19,2,54.00,56.00,0.00
5.501,active,140.00,0.00,16,16,150880256,0,1411796992,0,0,2174976,0,0,0.000,19,1,70.00,70.00,2.00
6.001,active,142.00,0.00,16,16,169766912,0,1512509440,0,0,50331648,0,2632828,0.000,21,3,60.00,136.00,0.00
6.501,active,200.00,0.00,16,16,169766912,0,1512509440,0,0,58720256,0,0,0.000,21,3,0.00,202.00,0.00
7.001,active,200.00,0.00,16,16,169766912,0,1512509440,0,0,75497472,0,0,0.000,21,2,0.00,200.00,0.00
7.501,active,200.00,0.00,16,16,169766912,0,1512509440,0,0,58720256,0,0,0.000,21,2,0.00,198.00,0.00
8.001,active,202.00,0.00,16,16,169766912,0,1512509440,0,0,50331648,0,0,0.000,21,3,0.00,204.00,2.00
8.501,active,200.00,0.00,16,16,169779200,0,1512509440,0,0,50331648,0,0,0.000,21,2,0.00,198.00,8.00
9.001,active,200.00,0.00,16,16,169779200,0,1512509440,0,0,67108864,0,0,0.000,21,2,0.00,202.00,22.00
9.501,active,202.00,0.00,16,16,169779200,0,1512509440,0,0,46137344,0,0,0.000,21,3,0.00,200.00,0.00
10.001,active,200.00,0.00,16,16,169783296,0,1512509440,0,0,54525952,0,0,0.000,21,2,0.00,202.00,0.00
10.501,active,200.00,0.00,16,16,169783296,0,1512509440,0,0,62914560,0,0,0.000,21,3,8.00,200.00,0.00
11.001,active,202.00,0.00,16,16,169783296,0,1512509440,0,0,58720256,0,0,0.000,21,2,100.00,202.00,6.00
11.501,active,202.00,0.00,16,16,169783296,0,1512509440,0,0,58359808,0,0,0.000,21,2,100.00,200.00,10.00
12.001,active,200.00,0.00,16,16,169783296,0,1512509440,0,0,54886400,0,0,0.000,21,3,100.00,202.00,2.00
12.501,active,200.00,0.00,16,16,169783296,0,1512509440,0,0,50331648,0,0,0.000,21,2,100.00,200.00,0.00
13.001,active,202.00,0.00,16,16,169783296,0,1512509440,0,0,67108864,0,0,0.000,21,3,100.00,202.00,0.00
13.501,active,200.00,0.00,16,16,169783296,0,1512509440,0,0,79691776,0,0,0.000,21,2,100.00,198.00,8.00
14.001,active,678.00,0.00,16,16,446459904,0,1790660608,0,0,21000192,0,679386995,0.000,35,19,0.00,0.00,0.00
14.501,active,304.00,0.00,16,16,576786432,0,1840676864,0,0,211054592,0,251006128,0.000,19,3,0.00,0.00,2.00
15.001,active,286.00,0.00,16,16,1425113088,0,2732032000,0,0,0,0,1521514663,0.000,35,17,0.00,258.00,0.00
15.501,active,474.00,0.00,16,16,1425604608,0,2631319552,0,0,383434752,0,2342697041,0.000,19,2,0.00,0.00,0.00
16.001,active,86.00,0.00,16,16,340303872,0,1546014720,0,0,581267456,0,0,0.000,19,2,0.00,86.00,86.00
16.501,active,16.00,0.00,16,16,340647936,0,1546014720,0,0,1056768,0,0,0.000,19,1,0.00,14.00,80.00
17.001,active,46.00,0.00,16,16,391639040,0,1613123584,0,0,21045248,0,0,0.000,19,1,0.00,46.00,50.00
17.501,active,46.00,0.00,16,16,406319104,0,1613123584,0,0,21225472,0,0,0.000,19,2,0.00,46.00,52.00
18.001,active,46.00,0.00,16,16,435683328,0,1680232448,0,4096,22192128,0,0,0.000,19,1,0.00,44.00,52.00
18.501,active,44.00,0.00,16,16,443023360,0,1680232448,0,0,23248896,0,0,0.000,19,2,0.00,46.00,56.00
19.001,active,48.00,0.00,16,16,451211264,0,1680232448,0,0,23248896,0,0,0.000,19,1,0.00,48.00,58.00
19.501,active,50.00,0.00,16,16,472383488,0,1680232448,0,0,23248896,0,0,0.000,19,2,0.00,52.00,48.00
20.001,active,48.00,0.00,16,16,479727616,0,1747341312,0,0,22192128,0,0,0.000,19,1,0.00,46.00,48.00
20.501,active,46.00,0.00,16,16,499650560,0,1747341312,0,0,22192128,0,0,0.000,19,2,0.00,46.00,54.00
21.001,active,44.00,0.00,16,16,514330624,0,1747341312,0,0,23248896,0,0,0.000,19,1,0.00,44.00,56.00
21.501,active,16.00,0.00,16,16,531107840,0,1747341312,0,0,6340608,0,0,0.000,19,2,0.00,14.00,148.00
22.001,active,4.00,0.00,16,16,531107840,0,1747341312,0,0,1056768,0,0,0.000,19,1,0.00,4.00,180.00
22.501,active,34.00,0.00,16,16,538451968,0,1747341312,0,0,16908288,0,0,0.000,19,2,0.00,38.00,66.00
23.001,active,48.00,0.00,16,16,545796096,0,1814450176,0,0,23248896,0,0,0.000,19,1,0.00,44.00,52.00
23.501,active,46.00,0.00,16,16,553476096,0,1814450176,0,0,22192128,0,0,0.000,19,2,0.00,48.00,54.00
24.001,active,46.00,0.00,16,16,604516352,0,1814450176,0,0,21135360,0,0,0.000,19,1,0.00,46.00,58.00
24.501,active,44.00,0.00,16,16,617103360,0,1881559040,0,0,22192128,0,0,0.000,19,2,0.00,44.00,54.00
25.001,active,58.00,0.00,16,16,619200512,0,1881559040,0,0,15851520,0,0,0.000,19,2,14.00,56.00,44.00
