elapsed_seconds,stage,cpu_pct,system_cpu_pct,active_workers,runnable_workers,rss_bytes,pss_bytes,commit_bytes,page_faults,read_bytes,write_bytes,queue_depth,lock_wait_ns,progress,threads,active_compute_threads,per_thread_cpu_max_pct,per_thread_cpu_sum_pct,io_wait_pct
0.000,active,0.00,0.00,16,16,6496256,0,94699520,0,0,0,0,0,0.000,2,0,0.00,0.00,0.00
0.501,active,98.00,0.00,16,16,12529664,0,372645888,0,0,8192,0,0,0.000,19,1,94.00,96.00,2.00
1.001,active,100.00,0.00,16,16,12533760,0,372645888,0,0,0,0,0,0.000,19,1,102.00,102.00,0.00
1.501,active,100.00,0.00,16,16,12533760,0,371593216,0,0,0,0,0,0.000,19,1,98.00,98.00,0.00
2.001,active,100.00,0.00,16,16,12533760,0,371593216,0,0,0,0,0,0.000,19,1,100.00,100.00,0.00
2.501,active,98.00,0.00,16,16,12537856,0,371593216,0,0,0,0,0,0.000,19,1,100.00,100.00,0.00
3.001,active,174.00,0.00,16,16,83197952,0,1582682112,0,0,0,0,0,0.000,35,15,32.00,144.00,10.00
3.501,active,126.00,0.00,16,16,100974592,0,1579618304,0,0,0,0,0,0.000,35,5,82.00,0.00,0.00
4.001,active,174.00,0.00,16,16,109142016,0,1478905856,0,0,0,0,0,0.000,19,1,60.00,52.00,14.00
4.501,active,102.00,0.00,16,16,173731840,0,1487298560,0,0,7012352,0,0,0.000,20,2,54.00,86.00,12.00
5.001,active,166.00,0.00,16,16,173805568,0,1571225600,0,0,0,0,0,0.000,23,1,0.00,52.00,12.00
5.501,active,138.00,0.00,16,16,185556992,0,1478905856,0,0,2174976,0,0,0.000,19,2,0.00,72.00,2.00
6.001,active,138.00,0.00,16,16,204398592,0,1579618304,0,0,50331648,0,4041658,0.000,21,3,0.00,130.00,0.00
6.501,active,202.00,0.00,16,16,204398592,0,1579618304,0,0,50331648,0,2024339,0.000,21,2,0.00,200.00,0.00
7.001,active,200.00,0.00,16,16,204398592,0,1579618304,0,0,79699968,0,0,0.000,21,3,0.00,204.00,0.00
7.501,active,200.00,0.00,16,16,204398592,0,1579618304,0,0,50331648,0,0,0.000,21,2,0.00,198.00,2.00
8.001,active,200.00,0.00,16,16,204398592,0,1579618304,0,0,54530048,0,0,0.000,21,3,0.00,204.00,2.00
8.501,active,202.00,0.00,16,16,204410880,0,1579618304,0,0,50331648,0,0,0.000,21,2,0.00,198.00,0.00
9.001,active,200.00,0.00,16,16,204410880,0,1579618304,0,0,67108864,0,0,0.000,21,2,0.00,202.00,2.00
9.501,active,200.00,0.00,16,16,204410880,0,1579618304,0,0,50335744,0,0,0.000,21,3,12.00,200.00,0.00
10.001,active,202.00,0.00,16,16,204414976,0,1579618304,0,0,54525952,0,0,0.000,21,2,102.00,202.00,16.00
