elapsed_seconds,active_workers,runnable_workers,utilization_pct
0.000,4,4,50.00
0.500,4,4,50.00
1.000,4,4,50.00
1.500,4,4,50.00
2.000,4,4,50.00
2.500,4,4,50.00
3.000,4,4,50.00
3.501,4,4,50.00
4.000,4,4,50.00
4.500,4,4,50.00
5.001,4,4,50.00
5.500,4,4,50.00
6.001,4,4,50.00
6.501,4,4,50.00
7.001,4,4,50.00
7.500,4,4,50.00
8.001,4,4,50.00
8.500,4,4,50.00
9.001,4,4,50.00
9.501,4,4,50.00
10.001,4,4,50.00
10.501,4,4,50.00
11.001,4,4,50.00
11.501,4,4,50.00
12.001,4,4,50.00
12.501,4,4,50.00
13.001,4,4,50.00
13.501,4,4,50.00
14.001,4,4,50.00
14.501,4,4,50.00
15.001,4,4,50.00
15.501,4,4,50.00
16.001,4,4,50.00
16.501,4,4,50.00
17.001,4,4,50.00
17.500,4,4,50.00
18.000,4,4,50.00
18.500,4,4,50.00
19.000,4,4,50.00
19.500,4,4,50.00
20.000,4,4,50.00
20.500,4,4,50.00
21.000,4,4,50.00
21.500,4,4,50.00
22.000,4,4,50.00
22.500,4,4,50.00
23.001,4,4,50.00
23.500,4,4,50.00
24.001,4,4,50.00
24.502,4,4,50.00
25.001,4,4,50.00
25.500,4,4,50.00
26.001,4,4,50.00
26.500,4,4,50.00
27.000,4,4,50.00
27.500,4,4,50.00
28.000,4,4,50.00
28.500,4,4,50.00
29.000,4,4,50.00
29.500,4,4,50.00
30.000,4,4,50.00
30.500,4,4,50.00
31.001,4,4,50.00
31.501,4,4,50.00
32.000,4,4,50.00
32.502,4,4,50.00
33.000,4,4,50.00
33.500,4,4,50.00
34.000,4,4,50.00
34.500,4,4,50.00
35.000,4,4,50.00
35.501,4,4,50.00
36.000,4,4,50.00
36.500,4,4,50.00
37.000,4,4,50.00
37.500,4,4,50.00
38.000,4,4,50.00
38.503,4,4,50.00
39.000,4,4,50.00
39.500,4,4,50.00
40.000,4,4,50.00
40.500,4,4,50.00
41.000,4,4,50.00
41.501,4,4,50.00
42.001,4,4,50.00
42.500,4,4,50.00
43.000,4,4,50.00
43.500,4,4,50.00
44.001,4,4,50.00
44.501,4,4,50.00
45.000,4,4,50.00
