elapsed_seconds,active_workers,runnable_workers,utilization_pct
0.000,16,16,50.00
0.501,16,16,50.00
1.001,16,16,50.00
1.501,16,16,50.00
2.001,16,16,50.00
2.501,16,16,50.00
3.001,16,16,50.00
3.501,16,16,50.00
4.001,16,16,50.00
4.501,16,16,50.00
5.001,16,16,50.00
5.501,16,16,50.00
6.001,16,16,50.00
6.501,16,16,50.00
7.001,16,16,50.00
7.501,16,16,50.00
8.001,16,16,50.00
8.501,16,16,50.00
9.001,16,16,50.00
9.501,16,16,50.00
10.001,16,16,50.00
10.501,16,16,50.00
11.001,16,16,50.00
11.501,16,16,50.00
12.001,16,16,50.00
12.501,16,16,50.00
13.001,16,16,50.00
13.501,16,16,50.00
14.001,16,16,50.00
14.501,16,16,50.00
15.001,16,16,50.00
15.501,16,16,50.00
16.001,16,16,50.00
16.501,16,16,50.00
17.001,16,16,50.00
17.501,16,16,50.00
18.001,16,16,50.00
18.501,16,16,50.00
19.001,16,16,50.00
19.501,16,16,50.00
20.001,16,16,50.00
20.501,16,16,50.00
21.001,16,16,50.00
21.501,16,16,50.00
22.001,16,16,50.00
22.501,16,16,50.00
23.001,16,16,50.00
23.501,16,16,50.00
24.001,16,16,50.00
24.501,16,16,50.00
25.001,16,16,50.00
25.501,16,16,50.00
26.001,16,16,50.00
26.501,16,16,50.00
27.001,16,16,50.00
27.501,16,16,50.00
28.001,16,16,50.00
28.501,16,16,50.00
29.001,16,16,50.00
29.501,16,16,50.00
30.001,16,16,50.00
30.501,16,16,50.00
31.001,16,16,50.00
31.501,16,16,50.00
32.001,16,16,50.00
32.501,16,16,50.00
33.001,16,16,50.00
33.501,16,16,50.00
34.001,16,16,50.00
