category,symbol,location,classification,production_reachable,phase,thread_model,evidence,risk_note
exe_target,acr_example_minimal,lib/acr/examples/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/examples/CMakeLists.txt:2,
exe_target,acr_example_chunk,lib/acr/examples/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/examples/CMakeLists.txt:5,
exe_target,acr_weighted_integration_benchmark,lib/acr/examples/weighted_integration/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/examples/weighted_integration/CMakeLists.txt:28,
exe_target,acr-benchmark-focused,lib/acr/qualification/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/qualification/CMakeLists.txt:109,
exe_target,acr_test_classic,lib/acr/tests/classic/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/classic/CMakeLists.txt:59,
exe_target,acr_test_fault,lib/acr/tests/fault/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/fault/CMakeLists.txt:15,
exe_target,acr_test_sanitizer,lib/acr/tests/fault/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/fault/CMakeLists.txt:32,
exe_target,acr_test_sanitizer_actual,lib/acr/tests/fault/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/fault/CMakeLists.txt:45,
exe_target,acr_test_persistence,lib/acr/tests/fault/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/fault/CMakeLists.txt:60,
exe_target,acr_test_weighted_integration,lib/acr/tests/integration/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/integration/CMakeLists.txt:4,
exe_target,acr_test_focused_mixed,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:3,
exe_target,acr_test_api,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:15,
exe_target,acr_test_buffer,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:18,
exe_target,acr_test_topology,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:22,
exe_target,acr_test_qualification,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:30,
exe_target,acr_test_scheduler,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:39,
exe_target,acr_test_utilization,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:47,
exe_target,acr_test_task_descriptor,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:85,
exe_target,acr_test_hardware_profile,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:94,
exe_target,acr_test_cost,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:100,
exe_target,acr_test_cpu_profile,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:106,
exe_target,acr_test_api_traits,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:117,
exe_target,acr_test_kernel_registry,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:126,
exe_target,acr_test_work_pool,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:132,
exe_target,acr_test_device_executor,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:141,
exe_target,acr_test_invocation_dispatch,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:150,
exe_target,acr_test_resource_control,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:160,
exe_target,acr_test_profile_holdout,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:170,
exe_target,acr_test_focused_operation,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:179,
exe_target,acr_test_route_estimator,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:188,
exe_target,acr_test_route_calibration,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:198,
exe_target,acr_test_dispatcher_bdr,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:223,
exe_target,acr_test_mixed_route,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:247,
exe_target,acr_test_residency,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:257,
exe_target,acr_test_cuda_bridge,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:267,
exe_target,acr_test_cuda_bridge_chunk,lib/acr/tests/unit/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tests/unit/CMakeLists.txt:279,
exe_target,acr-benchmark,lib/acr/tools/acr_benchmark/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tools/acr_benchmark/CMakeLists.txt:7,
exe_target,acr-classic-runner,lib/acr/tools/acr_classic_runner/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tools/acr_classic_runner/CMakeLists.txt:12,
exe_target,acr-report,lib/acr/tools/acr_report/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tools/acr_report/CMakeLists.txt:6,
exe_target,acr-status,lib/acr/tools/acr_status/CMakeLists.txt,tool,no,-,非发布目标,lib/acr/tools/acr_status/CMakeLists.txt:7,
exe_target,healpix_browser_qt,lib/healpix_db/healpix_browser_qt/CMakeLists.txt,tool,no,-,非发布目标,lib/healpix_db/healpix_browser_qt/CMakeLists.txt:83,
exe_target,browser_cli,lib/healpix_db/healpix_browser_qt/CMakeLists.txt,tool,no,-,非发布目标,lib/healpix_db/healpix_browser_qt/CMakeLists.txt:101,
exe_target,test_healpix_math,lib/healpix_db/healpix_browser_qt/CMakeLists.txt,test,no,-,非发布目标,lib/healpix_db/healpix_browser_qt/CMakeLists.txt:130,
exe_target,astrocs-stage2,lib/phase2/CMakeLists.txt,tool,no,-,非发布目标,lib/phase2/CMakeLists.txt:91,
exe_target,calibrated_pair_diag,lib/phase2/CMakeLists.txt,tool,no,-,非发布目标,lib/phase2/CMakeLists.txt:99,
exe_target,rejection_cli,lib/phase2/CMakeLists.txt,tool,no,-,非发布目标,lib/phase2/CMakeLists.txt:103,
openmp_kernel,weighted_integration_kernels.cpp,lib/acr/examples/weighted_integration/weighted_integration_kernels.cpp,production,yes,Phase1/2,"module-internal OpenMP, thread count via runtime/orchestrator set_num_threads",lib/acr/examples/weighted_integration/weighted_integration_kernels.cpp (1 pragma sites),V5: 禁硬编码线程数→ARCH-003 backend dispatcher 收编
