symbol,header,signature,export
ACS_ERR_CANCELLED,include/astrocs/abi/status_codes.h,enum acs_status { ACS_ERR_CANCELLED = 6 },
ACS_ERR_BUDGET,include/astrocs/abi/status_codes.h,enum acs_status { ACS_ERR_BUDGET = 8 },
ACS_ERR_IO,include/astrocs/abi/status_codes.h,enum acs_status { ACS_ERR_IO = 4 },
ACS_ERR_UNSUPPORTED,include/astrocs/abi/status_codes.h,enum acs_status { ACS_ERR_UNSUPPORTED = 5 },
ACS_CPU_AVX2_REQUIRED_FEATURES,lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h,"#define ACS_CPU_AVX2_REQUIRED_FEATURES (ACS_CAP_FEAT_AVX | ACS_CAP_FEAT_AVX2 | ACS_CAP_FEAT_FMA)",
aio_hcsd_read,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hcsd_read(const char* path, uint32_t* nside, int* nested, uint64_t* n_pix, uint64_t** ipix, float** pixel, char** meta_json);",
aio_hcsd_read_leaf,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hcsd_read_leaf(const char* path, uint64_t leaf_ipix_at_nside64, uint64_t* n_pix, uint64_t** ipix, float** pixel);",
aio_hcsd_write,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hcsd_write(const char* path, uint32_t nside, int nested, uint64_t n_pix, const uint64_t* ipix, const float* pixel, const char* meta_json);",
aio_hio_free,lib/infrastructure/aio/include/aio_healpix_io.h,AIO_EXPORT void aio_hio_free(void* ptr);,
aio_hio_free_snr_model,lib/infrastructure/aio/include/aio_healpix_io.h,AIO_EXPORT void aio_hio_free_snr_model(HioSnrModel* model);,
aio_hiss_close_session,lib/infrastructure/aio/include/aio_healpix_io.h,AIO_EXPORT void aio_hiss_close_session(void* session);,
aio_hiss_inspect,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_inspect(const char* path, uint32_t* nside, uint32_t* tile_nside, uint32_t* depth, uint32_t* n_leaf_per_tile, uint64_t* n_tiles, uint64_t* n_pix_total, char** meta_json, uint64_t** tile_ipix_list);",
aio_hiss_open_session,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT void* aio_hiss_open_session(const char* path, uint32_t* nside, uint32_t* tile_nside, uint64_t* n_tiles);",
aio_hiss_query_pixel,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_query_pixel(const char* path, double ra, double dec, float* signal, uint8_t* support);",
aio_hiss_query_pixel_f64,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_query_pixel_f64(const char* path, double ra, double dec, double* signal, uint8_t* support);",
aio_hiss_read,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read(const char* path, uint32_t* nside, int* nested, uint64_t* n_pix, uint64_t** ipix, float** pixel, float** snr, char** meta_json);",
aio_hiss_read_snr_model,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_snr_model(const char* path, uint32_t* nside, int* nested, uint64_t* n_pix, uint64_t** ipix, float** pixel, HioSnrModel** snr_model, char** meta_json);",
aio_hiss_read_tile_signal,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal(const char* path, uint64_t parent_ipix, float** signal, uint32_t* n_signal);",
aio_hiss_read_tile_signal_f64,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal_f64(const char* path, uint64_t parent_ipix, double** signal, uint32_t* n_signal);",
aio_hiss_read_tile_signal_f64_session,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal_f64_session(void* session, uint64_t parent_ipix, double** signal, uint32_t* n_signal);",
aio_hiss_read_tile_signal_session,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal_session(void* session, uint64_t parent_ipix, float** signal, uint32_t* n_signal);",
aio_hiss_read_tile_snr,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr(const char* path, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
aio_hiss_read_tile_snr_f64,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr_f64(const char* path, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
aio_hiss_read_tile_snr_f64_session,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr_f64_session(void* session, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
aio_hiss_read_tile_snr_session,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr_session(void* session, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
aio_hiss_read_tile_support,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_support(const char* path, uint64_t parent_ipix, uint8_t** support, uint32_t* n_support);",
aio_hiss_read_tile_support_session,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_support_session(void* session, uint64_t parent_ipix, uint8_t** support, uint32_t* n_support);",
aio_hiss_write,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_write(const char* path, uint32_t nside, int nested, uint64_t n_pix, const uint64_t* ipix, const float* pixel, const float* snr, const char* meta_json);",
aio_hiss_write_snr_model,lib/infrastructure/aio/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_write_snr_model(const char* path, uint32_t nside, int nested, uint64_t n_pix, const uint64_t* ipix, const float* pixel, const HioSnrModel* snr_model, const char* meta_json);",
aio_hips_abort,lib/infrastructure/aio/include/aio_hips.h,AIO_HIPS_EXPORT int aio_hips_abort(AioHipsProductSet* ps);,
aio_hips_finalize,lib/infrastructure/aio/include/aio_hips.h,AIO_HIPS_EXPORT int aio_hips_finalize(AioHipsProductSet* ps);,
aio_hips_last_error,lib/infrastructure/aio/include/aio_hips.h,AIO_HIPS_EXPORT const char* aio_hips_last_error(void);,
aio_hips_product_begin,lib/infrastructure/aio/include/aio_hips.h,"AIO_HIPS_EXPORT AioHipsProductSet* aio_hips_product_begin( const char* out_dir, uint32_t nside, uint32_t tile_width, int32_t data_type, int flags, const char* creator_did, const char* obs_title, const char* obs_filter, double exposure_s, const char* obs_date, uint32_t moc_order);",
aio_hips_set_drizzle_provenance,lib/infrastructure/aio/include/aio_hips.h,"AIO_HIPS_EXPORT int aio_hips_set_drizzle_provenance( AioHipsProductSet* ps, double pixfrac, double scale_arcsec);",
aio_hips_write,lib/infrastructure/aio/include/aio_hips.h,"AIO_HIPS_EXPORT int aio_hips_write( const char* out_dir, uint32_t nside, uint32_t tile_width, const AioHipsTile* tiles, int n_tiles, int signal_dtype, const AioHipsSnrPoint* snr_points, int n_snr, const char* creator_did, const char* obs_title, int moc_order);",
aio_hips_write_signal_support_tile,lib/infrastructure/aio/include/aio_hips.h,"AIO_HIPS_EXPORT int aio_hips_write_signal_support_tile( AioHipsProductSet* ps, const AstroSphereTileView* view);",
aio_hips_write_snr_points,lib/infrastructure/aio/include/aio_hips.h,"AIO_HIPS_EXPORT int aio_hips_write_snr_points( AioHipsProductSet* ps, const AioHipsSnrPoint* pts, int n);",
aio_hips_write_variance_tile,lib/infrastructure/aio/include/aio_hips.h,"AIO_HIPS_EXPORT int aio_hips_write_variance_tile( AioHipsProductSet* ps, const AstroSphereTileView* view);",
aio_hips_close,lib/infrastructure/aio/include/aio_hips_reader.h,AIO_HIPS_RD_EXPORT void aio_hips_close(AioHipsDataset* d);,
aio_hips_get_properties,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_get_properties( AioHipsDataset* d, char* buf, int buf_size);",
aio_hips_open,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT AioHipsDataset* aio_hips_open( const char* out_dir, int product);",
aio_hips_read_leaf_f32,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_read_leaf_f32(AioHipsDataset* d, uint64_t leaf_ipix, float* out);",
aio_hips_read_leaf_f64,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_read_leaf_f64(AioHipsDataset* d, uint64_t leaf_ipix, double* out);",
aio_hips_read_snr_catalog,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_read_snr_catalog( AioHipsDataset* d, double* ra, double* dec, double* snr, int64_t* star_id, uint32_t* quality_flags, uint32_t* photometric_status, int max);",
aio_hips_read_tile_datasum,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_read_tile_datasum( AioHipsDataset* d, uint64_t tile_ipix, char* out, int out_size);",
aio_hips_read_tile_f32,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_read_tile_f32(AioHipsDataset* d, uint64_t ipix, float* out);",
aio_hips_read_tile_f64,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_read_tile_f64(AioHipsDataset* d, uint64_t ipix, double* out);",
aio_hips_reader_last_error,lib/infrastructure/aio/include/aio_hips_reader.h,AIO_HIPS_RD_EXPORT const char* aio_hips_reader_last_error(void);,
aio_hips_tile_count,lib/infrastructure/aio/include/aio_hips_reader.h,AIO_HIPS_RD_EXPORT int aio_hips_tile_count(AioHipsDataset* d);,
aio_hips_tile_ipix,lib/infrastructure/aio/include/aio_hips_reader.h,"AIO_HIPS_RD_EXPORT int aio_hips_tile_ipix(AioHipsDataset* d, int i, uint64_t* out_ipix);",
aio_abi_info,lib/infrastructure/aio/include/aio_pipeline.h,AIO_EXPORT const AstroAbiInfo* aio_abi_info(void);,
aio_alloc,lib/infrastructure/aio/include/aio_pipeline.h,AIO_EXPORT void* aio_alloc(size_t size);,
aio_frame_add_block,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_add_block(PipelineFrame* frame, const char* name, AioBlockType type, const void* data, int64_t count, const int* dims, int n_dims, const char* description);",
aio_frame_add_block_move,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_add_block_move(PipelineFrame* frame, const char* name, AioBlockType type, void* data, int64_t count, const int* dims, int n_dims, const char* description);",
aio_frame_export_all_xml,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_export_all_xml(const PipelineFrame* frame, const char* path);",
aio_frame_export_block_fits,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_export_block_fits(const PipelineFrame* frame, const char* block_name, const char* path);",
aio_frame_export_block_xml,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_export_block_xml(const PipelineFrame* frame, const char* block_name, const char* path);",
aio_frame_get_block,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT const AioBlock* aio_frame_get_block(const PipelineFrame* frame, const char* name);",
aio_frame_get_block_count,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int64_t aio_frame_get_block_count(const PipelineFrame* frame, const char* name);",
aio_frame_get_block_data,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT void* aio_frame_get_block_data(const PipelineFrame* frame, const char* name);",
aio_frame_get_block_type,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_get_block_type(const PipelineFrame* frame, const char* name);",
aio_frame_has_block,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_has_block(const PipelineFrame* frame, const char* name);",
aio_frame_kv_get,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT const char* aio_frame_kv_get(const PipelineFrame* frame, const char* block_name, const char* key);",
aio_frame_kv_get_double,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT double aio_frame_kv_get_double(const PipelineFrame* frame, const char* block_name, const char* key, double default_value);",
aio_frame_kv_set,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_kv_set(PipelineFrame* frame, const char* block_name, const char* key, const char* value);",
aio_frame_kv_set_double,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_kv_set_double(PipelineFrame* frame, const char* block_name, const char* key, double value);",
aio_frame_list_blocks,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_list_blocks(const PipelineFrame* frame, char* out_names, int capacity, int* out_count);",
aio_frame_load_cache,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_load_cache(PipelineFrame* frame, const char* path);",
aio_frame_remove_block,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_remove_block(PipelineFrame* frame, const char* name);",
aio_frame_save_cache,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_frame_save_cache(const PipelineFrame* frame, const char* path);",
aio_free,lib/infrastructure/aio/include/aio_pipeline.h,AIO_EXPORT void aio_free(void* ptr);,
aio_pipeline_export_xml,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT int aio_pipeline_export_xml(const PipelineFrame* frame, const char* path, const char* comment);",
aio_pipeline_frame_create,lib/infrastructure/aio/include/aio_pipeline.h,AIO_EXPORT PipelineFrame* aio_pipeline_frame_create(void);,
aio_pipeline_frame_destroy,lib/infrastructure/aio/include/aio_pipeline.h,AIO_EXPORT void aio_pipeline_frame_destroy(PipelineFrame* frame);,
aio_pipeline_frame_memory_usage,lib/infrastructure/aio/include/aio_pipeline.h,AIO_EXPORT size_t aio_pipeline_frame_memory_usage(const PipelineFrame* frame);,
aio_realloc,lib/infrastructure/aio/include/aio_pipeline.h,"AIO_EXPORT void* aio_realloc(void* ptr, size_t size);",
aio_pipeline_engine_create,lib/infrastructure/aio/include/aio_pipeline_engine.h,AIO_EXPORT PipelineEngine* aio_pipeline_engine_create(void);,
aio_pipeline_engine_destroy,lib/infrastructure/aio/include/aio_pipeline_engine.h,AIO_EXPORT void aio_pipeline_engine_destroy(PipelineEngine* engine);,
aio_pipeline_engine_register,lib/infrastructure/aio/include/aio_pipeline_engine.h,"AIO_EXPORT int aio_pipeline_engine_register(PipelineEngine* engine, PipelineStage stage, PipelineStageHandler handler, const void* params);",
aio_pipeline_engine_run_batch,lib/infrastructure/aio/include/aio_pipeline_engine.h,"AIO_EXPORT int aio_pipeline_engine_run_batch(PipelineEngine* engine, PipelineFrame** frames, int n_frames, int n_threads, int from_stage, int to_stage, char* error_msg, int error_capacity);",
aio_pipeline_engine_run_single,lib/infrastructure/aio/include/aio_pipeline_engine.h,"AIO_EXPORT int aio_pipeline_engine_run_single(PipelineEngine* engine, PipelineFrame* frame, int from_stage, int to_stage, char* error_msg, int error_capacity);",
aio_pipeline_engine_set_auto_free,lib/infrastructure/aio/include/aio_pipeline_engine.h,"AIO_EXPORT int aio_pipeline_engine_set_auto_free(PipelineEngine* engine, int auto_free);",
aio_pipeline_engine_set_block_drop,lib/infrastructure/aio/include/aio_pipeline_engine.h,"AIO_EXPORT int aio_pipeline_engine_set_block_drop(PipelineEngine* engine, PipelineStage stage, const char* block_names);",
aio_pipeline_engine_set_debug,lib/infrastructure/aio/include/aio_pipeline_engine.h,"AIO_EXPORT int aio_pipeline_engine_set_debug(PipelineEngine* engine, const char* dir, int stage_mask, int skip_pixels);",
aio_pipeline_stage_name,lib/infrastructure/aio/include/aio_pipeline_engine.h,AIO_EXPORT const char* aio_pipeline_stage_name(PipelineStage stage);,
aio_upm_close,lib/infrastructure/aio/include/aio_upm.h,AIO_UPM_EXPORT void aio_upm_close(AioUpmSparse* f);,
aio_upm_dense_abort,lib/infrastructure/aio/include/aio_upm.h,AIO_UPM_EXPORT void aio_upm_dense_abort(AioUpmDense* d);,
aio_upm_dense_begin,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT AioUpmDense* aio_upm_dense_begin( const char* path, const char* source_hash, int target_order, uint32_t precision, uint64_t frame_count, uint64_t tile_count);",
aio_upm_dense_end,lib/infrastructure/aio/include/aio_upm.h,AIO_UPM_EXPORT int aio_upm_dense_end(AioUpmDense* d);,
aio_upm_dense_info,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_dense_info( const char* path, const char* source_hash, int* out_target_order, uint64_t* out_tile_count, char* out_checksum, int checksum_buf_size);",
aio_upm_dense_write_tile,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_dense_write_tile( AioUpmDense* d, uint64_t frame_index, uint64_t tile_ipix, const double* values, uint64_t count);",
aio_upm_last_error,lib/infrastructure/aio/include/aio_upm.h,AIO_UPM_EXPORT const char* aio_upm_last_error(void);,
aio_upm_open,lib/infrastructure/aio/include/aio_upm.h,AIO_UPM_EXPORT AioUpmSparse* aio_upm_open(const char* path);,
aio_upm_read_all,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_read_all(AioUpmSparse* f, char* buf, int buf_size);",
aio_upm_read_all_dynamic,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_read_all_dynamic(AioUpmSparse* f, char** out, size_t* out_len);",
aio_upm_read_dense_block,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_read_dense_block( const char* path, const char* source_hash, uint64_t frame_id, const uint64_t* leaf_ipix, const double* input_signal, double* output_signal, uint64_t count);",
aio_upm_read_info,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_read_info( AioUpmSparse* f, uint32_t* version, uint32_t* precision, uint32_t* target_order, uint64_t* control_count, uint64_t* observation_count, char* model_hash, int hash_buf_size);",
aio_upm_write_sparse,lib/infrastructure/aio/include/aio_upm.h,"AIO_UPM_EXPORT int aio_upm_write_sparse(const char* path, const char* model_json);",
aio_ahpx_read_header,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT int aio_ahpx_read_header(const char *path, char *metadata_json, int metadata_capacity);",
aio_ahpx_read_pixels,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT int aio_ahpx_read_pixels(const char *path, float *pixels, int capacity, int *width, int *height, int *channels);",
aio_ahpx_read_snr,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT int aio_ahpx_read_snr(const char *path, float *snr, int capacity, int *width, int *height);",
aio_ahpx_write,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT int aio_ahpx_write(const char *path, const void *pixels, int width, int height, int channels, const float *snr, int snr_w, int snr_h, int weight_mode, const void *weight_data, int grid_w, int grid_h, const char *metadata_json, int zstd_level);",
aio_compress,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT size_t aio_compress(const void *src, size_t srcSize, void *dst, size_t dstCapacity, int codec, int level);",
aio_compress_bound,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT size_t aio_compress_bound(size_t srcSize, int codec);",
aio_decompress,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT size_t aio_decompress(const void *src, size_t srcSize, void *dst, size_t dstCapacity, int codec);",
aio_free_image_data,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT void aio_free_image_data(AIOImageData *image);,
aio_get_channels,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT int aio_get_channels(const AIOImageData *image);,
aio_get_dtype,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT uint8_t aio_get_dtype(const AIOImageData *image);,
aio_get_geometry,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT AIOImageGeometry aio_get_geometry(const AIOImageData *image);,
aio_get_height,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT int aio_get_height(const AIOImageData *image);,
aio_get_keyword,lib/infrastructure/aio/include/astro_image_io.h,"AIO_EXPORT AIOFITSKeyword aio_get_keyword(const AIOImageData *image, int index);",
aio_get_keyword_count,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT int aio_get_keyword_count(const AIOImageData *image);,
aio_get_metadata,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT AIOImageMetadata aio_get_metadata(const AIOImageData *image);,
aio_get_options,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT AIOImageOptions aio_get_options(const AIOImageData *image);,
aio_get_pixel_data,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT float *aio_get_pixel_data(const AIOImageData *image);,
aio_get_pixel_data_f64,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT double *aio_get_pixel_data_f64(const AIOImageData *image);,
aio_get_source_format,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT const char *aio_get_source_format(const AIOImageData *image);,
aio_get_source_path,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT const char *aio_get_source_path(const AIOImageData *image);,
aio_get_width,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT int aio_get_width(const AIOImageData *image);,
aio_is_fits,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT int aio_is_fits(const char *path);,
aio_is_xisf,lib/infrastructure/aio/include/astro_image_io.h,AIO_EXPORT int aio_is_xisf(const char *path);,
