doc_path,authority,status,notes
docs/API_REFERENCE.md,CANDIDATE,present,
docs/ARCHITECTURE.md,CANDIDATE,present,
docs/DEVELOPER_GUIDE.md,CANDIDATE,present,
docs/KNOWN_LIMITATIONS.md,CANDIDATE,present,
docs/README-DOCS.md,CANDIDATE,present,
docs/RELEASE_STATUS.md,CANDIDATE,present,
docs/TROUBLESHOOTING.md,CANDIDATE,present,
docs/algorithms/CALIBRATION_ALGORITHMS.md,AUTHORITATIVE,present,
docs/algorithms/DRIZZLE_GEOMETRY.md,AUTHORITATIVE,present,
docs/algorithms/GAIA_QUERY.md,AUTHORITATIVE,present,
docs/algorithms/HEALPIX_MAPPING.md,AUTHORITATIVE,present,
docs/algorithms/INTEGRATION_ALGORITHMS.md,AUTHORITATIVE,present,
docs/algorithms/NOISE_ESTIMATION.md,AUTHORITATIVE,present,
docs/algorithms/PHASE2_SAMPLER.md,AUTHORITATIVE,present,
docs/algorithms/PHOTOMETRIC_FIT.md,AUTHORITATIVE,present,
docs/algorithms/PLATESOLVE.md,AUTHORITATIVE,present,
docs/algorithms/REJECTION_ALGORITHMS.md,AUTHORITATIVE,present,
docs/algorithms/STAR_PSF_ALGORITHMS.md,AUTHORITATIVE,present,
docs/algorithms/UPM_SOLVER.md,AUTHORITATIVE,present,
docs/architecture/ARCHITECTURE.md,AUTHORITATIVE,present,
docs/architecture/CACHE_POLICY.md,AUTHORITATIVE,present,
docs/architecture/COMPATIBILITY_POLICY.md,AUTHORITATIVE,present,
docs/architecture/DATA_FLOW.md,AUTHORITATIVE,present,
docs/architecture/DEPENDENCY_RULES.md,AUTHORITATIVE,present,
docs/architecture/ERROR_MODEL.md,AUTHORITATIVE,present,
docs/architecture/IO_AND_ATOMICITY.md,AUTHORITATIVE,present,
docs/architecture/MODULE_MAP.md,AUTHORITATIVE,present,
docs/architecture/OWNERSHIP_AND_LIFETIME.md,AUTHORITATIVE,present,
docs/architecture/PERFORMANCE_MODEL.md,AUTHORITATIVE,present,
docs/architecture/PIPELINE.md,AUTHORITATIVE,present,
docs/architecture/THREADING_MODEL.md,AUTHORITATIVE,present,
docs/backlog/NEXT_STAGE.md,CANDIDATE,present,
docs/browser/HIPS_BROWSER.md,AUTHORITATIVE,present,
docs/contracts/DATA_SEMANTICS.md,AUTHORITATIVE,present,
docs/contracts/PUBLIC_API.md,AUTHORITATIVE,present,
docs/development/CODE_STYLE.md,AUTHORITATIVE,present,
docs/development/CONFIG_SCHEMA.md,AUTHORITATIVE,present,
docs/development/TESTING.md,AUTHORITATIVE,present,
docs/diagnostics/TROUBLESHOOTING.md,CANDIDATE,present,
docs/history/README.md,HISTORICAL,present,
docs/history/v19/ARCHITECTURE.md,HISTORICAL,present,
docs/history/v19/BUILD_RELEASE.md,HISTORICAL,present,
docs/history/v19/CONFIG_REFERENCE.md,HISTORICAL,present,
