timestamp,working_set_mb,paged_mem_mb,nonpaged_mb
10:29:21.007,130.04,125.74,0.01
10:29:21.226,179.34,259.71,0.01
10:29:21.450,361.03,476.99,0.02
10:29:21.671,398.29,479.66,0.02
10:29:21.889,336.49,417.74,0.02
10:29:22.102,338.25,420.26,0.02
10:29:22.337,343.13,424.52,0.02
10:29:22.570,343.63,424.99,0.02
10:29:22.796,344.25,425.64,0.02
10:29:23.025,345.39,426.69,0.02
10:29:23.250,345.56,426.83,0.02
10:29:23.469,347.95,429.39,0.02
10:29:23.688,220.68,300.94,0.02
10:29:23.909,525.39,472.13,0.02
10:29:24.123,1455.89,992.8,0.02
10:29:24.341,2356.82,1493.75,0.03
10:29:24.576,3364.17,2059.5,0.03
10:29:24.797,4272.3,2572.1,0.03
10:29:25.032,5296.51,3148.1,0.04
10:29:25.259,6224.91,3671.6,0.04
10:29:25.504,7219.88,4234.02,0.05
10:29:25.762,8307.86,4844.28,0.05
10:29:25.991,9338.93,5420.55,0.06
10:29:26.213,10253.98,5929.86,0.06
10:29:26.451,11280.3,6503.02,0.07
10:29:26.671,12236.88,7038.61,0.07
10:29:26.892,13262.79,7610.62,0.08
10:29:27.132,14294.6,8184.73,0.08
10:29:27.372,15305.81,8745.34,0.08
10:29:27.599,16249.25,9268.11,0.09
10:29:27.837,17252.27,9824.83,0.09
10:29:28.074,18222.05,10362.32,0.1
10:29:28.299,19126.32,10861.55,0.1
10:29:28.525,20062.34,11375.66,0.11
10:29:28.752,21032.61,11908.58,0.11
10:29:28.975,21879.2,12373.97,0.11
10:29:29.189,22597.48,12769.67,0.12
10:29:29.405,23276.64,13145.8,0.12
10:29:29.628,23883.93,13482.74,0.12
10:29:29.840,24587.39,13872.7,0.13
10:29:30.054,25272.31,14252.07,0.13
10:29:30.270,25937.71,14618.64,0.13
10:29:30.485,26526.89,14941.98,0.14
10:29:30.701,26950.82,15175.75,0.14
10:29:30.917,27294.21,15366.6,0.14
10:29:31.133,27643.56,15560.68,0.14
10:29:31.348,27988.55,15752.6,0.14
10:29:31.566,28336.29,15945.87,0.14
10:29:31.780,28678.39,16135.5,0.15
10:29:31.999,29031.34,16330.87,0.15
10:29:32.231,29404.68,16537.02,0.15
10:29:32.447,29739.94,16721.13,0.15
10:29:32.660,29991.75,16860.34,0.15
10:29:32.876,30241.92,16998.76,0.15
10:29:33.092,30425.64,17100.14,0.15
10:29:33.305,30541.22,17163.72,0.15
10:29:33.521,30633.08,17214.33,0.15
10:29:33.735,30724.89,17264.92,0.15
10:29:33.952,30817.87,17315.88,0.15
10:29:34.168,30911.13,17367.4,0.16
10:29:34.382,31003.82,17418.58,0.16
10:29:34.599,31097.34,17470.38,0.16
10:29:34.818,31191.54,17522.27,0.16
10:29:35.034,31277.24,17566.44,0.16
10:29:35.248,31321.44,17566.44,0.16
10:29:35.463,31296.31,17535.48,0.16
10:29:35.709,31299.57,17538.84,0.16
10:29:35.928,31299.64,17538.84,0.16
10:29:36.145,31297.02,17536.21,0.16
10:29:36.360,31297.02,17536.21,0.16
10:29:36.577,31297.06,17536.22,0.16
10:29:36.792,31297.06,17536.22,0.16
10:29:37.010,31297.07,17536.22,0.16
10:29:37.222,31297.08,17536.22,0.16
10:29:37.439,31297.09,17536.22,0.16
10:29:37.654,31297.09,17536.22,0.16
10:29:37.871,31297.09,17536.22,0.16
10:29:38.087,31297.09,17536.22,0.16
10:29:38.304,31297.11,17536.22,0.16
10:29:38.521,31297.11,17536.22,0.16
10:29:38.738,31297.11,17536.22,0.16
10:29:38.955,31297.11,17536.22,0.16
10:29:39.169,31297.11,17536.22,0.16
10:29:39.386,31297.11,17536.22,0.16
10:29:39.604,31297.12,17536.22,0.16
10:29:39.819,31297.18,17536.22,0.16
10:29:40.035,31297.2,17536.22,0.16
10:29:40.252,31297.2,17536.22,0.16
10:29:40.465,31297.2,17536.22,0.16
10:29:40.684,31297.22,17536.22,0.16
10:29:40.900,31297.23,17536.22,0.16
10:29:41.113,31389.22,17629.1,0.16
10:29:41.335,31452.16,17691.03,0.16
10:29:41.548,31513.96,17752.95,0.16
10:29:41.765,31452.42,17691.54,0.16
10:29:41.982,31453.54,17693.54,0.16
10:29:42.214,31456.48,17695.97,0.16
10:29:42.445,31456.55,17695.97,0.16
10:29:42.671,31456.63,17695.97,0.16
10:29:42.894,31456.66,17695.97,0.16
10:29:43.114,31456.72,17695.97,0.16
10:29:43.332,31456.72,17695.97,0.16
10:29:43.549,31458.04,17697.67,0.16
10:29:43.765,31331.07,17569.23,0.16
10:29:44.005,31300.31,17544.44,0.16
10:29:44.225,31429.44,17619.71,0.16
10:29:44.438,31870.98,17870.63,0.16
10:29:44.655,31912.67,17881.71,0.16
10:29:44.871,32010.54,17932.58,0.16
10:29:45.085,32075.84,17981.31,0.16
10:29:45.303,32139.35,18043.28,0.16
10:29:45.521,32139.41,18043.33,0.16
10:29:45.741,32139.44,18043.36,0.16
10:29:45.959,32139.48,18043.4,0.16
10:29:46.174,32139.5,18043.41,0.16
10:29:46.390,32139.5,18043.41,0.16
10:29:46.606,32139.5,18043.41,0.16
10:29:46.822,32046.9,18012.45,0.16
10:29:47.043,32051.08,18049.96,0.16
10:29:47.260,32051.14,18049.96,0.16
10:29:47.478,32051.3,18022.36,0.16
10:29:47.696,32051.85,18022.92,0.16
10:29:47.914,32052.18,18022.92,0.16
10:29:48.131,32048.85,17957.66,0.16
10:29:48.345,32048.91,17957.66,0.16
10:29:48.561,32110.74,18019.57,0.16
10:29:48.777,32469.1,18385.87,0.16
10:29:49.025,32642.54,18552.37,0.16
10:29:49.257,32642.54,18552.37,0.16
10:29:49.483,32642.54,18552.37,0.16
10:29:49.716,32642.54,18552.37,0.16
10:29:49.951,32642.54,18552.37,0.16
10:29:50.184,32642.54,18552.37,0.16
10:29:50.418,32642.54,18552.37,0.16
10:29:50.653,32642.54,18552.37,0.16
10:29:50.878,32642.54,18552.37,0.16
10:29:51.089,32642.54,18552.37,0.16
10:29:51.317,32642.54,18552.37,0.16
10:29:51.533,32642.54,18552.37,0.16
10:29:51.756,32642.54,18552.37,0.16
10:29:52.000,32642.54,18552.37,0.16
10:29:52.245,32642.54,18552.37,0.16
10:29:52.465,32642.54,18552.37,0.16
10:29:52.686,32642.54,18552.37,0.16
10:29:52.895,32642.54,18552.37,0.16
10:29:53.121,32642.54,18552.37,0.16
10:29:53.336,32642.54,18552.37,0.16
10:29:53.562,32642.54,18552.37,0.16
10:29:53.797,32642.54,18552.37,0.16
10:29:54.028,32642.54,18552.37,0.16
10:29:54.263,32642.54,18552.37,0.16
10:29:54.496,32642.54,18552.37,0.16
10:29:54.731,32642.54,18552.37,0.16
10:29:54.955,32642.54,18552.37,0.16
10:29:55.167,32642.54,18552.37,0.16
10:29:55.391,32642.54,18552.37,0.16
10:29:55.601,32642.54,18552.37,0.16
10:29:55.819,32642.54,18552.37,0.16
10:29:56.047,32642.54,18552.37,0.16
10:29:56.283,32642.54,18552.37,0.16
10:29:56.511,32642.54,18552.37,0.16
10:29:56.746,32642.54,18552.37,0.16
10:29:56.979,32642.54,18552.37,0.16
10:29:57.209,32642.54,18552.37,0.16
10:29:57.443,32642.54,18552.37,0.16
10:29:57.673,32642.54,18552.37,0.16
10:29:57.899,32642.54,18552.37,0.16
10:29:58.114,32642.54,18552.37,0.16
10:29:58.338,32642.54,18552.37,0.16
10:29:58.563,32642.54,18552.37,0.16
