master_id,device_id,master_type,file_name,file_path,sensor_size,binning,exposure_s,filter_canonical,ccd_temp_c,imagetyp,match_key
T2/masterBias_BIN-1_4096x4096.xisf,T2,Bias,masterBias_BIN-1_4096x4096.xisf,testdata/T2 calibration files/masterBias_BIN-1_4096x4096.xisf,4096x4096,1x1,,,-20.0,Master Bias,T2|4096x4096|1x1|Bias|-|-
T2/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,T2,Dark,masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,testdata/T2 calibration files/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,4096x4096,1x1,1200.0,,-20.0,Master Dark,T2|4096x4096|1x1|Dark|1200.0|-
T2/masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,T2,Dark,masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,testdata/T2 calibration files/masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,4096x4096,1x1,1800.0,,-20.0,Master Dark,T2|4096x4096|1x1|Dark|1800.0|-
T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,T2,Dark,masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,testdata/T2 calibration files/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,4096x4096,1x1,600.0,,-20.0,Master Dark,T2|4096x4096|1x1|Dark|600.0|-
T2/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,T2,Flat,masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,testdata/T2 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,4096x4096,1x1,,Blue,-20.0,Master Flat,T2|4096x4096|1x1|Flat|-|Blue
T2/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,T2,Flat,masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,testdata/T2 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,4096x4096,1x1,,Green,-20.0,Master Flat,T2|4096x4096|1x1|Flat|-|Green
T2/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,T2,Flat,masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,testdata/T2 calibration files/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,4096x4096,1x1,,H-alpha,-20.0,Master Flat,T2|4096x4096|1x1|Flat|-|H-alpha
T2/masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,T2,Flat,masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,testdata/T2 calibration files/masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,4096x4096,1x1,,OIII,-20.0,Master Flat,T2|4096x4096|1x1|Flat|-|OIII
T2/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,T2,Flat,masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,testdata/T2 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,4096x4096,1x1,,Red,-20.0,Master Flat,T2|4096x4096|1x1|Flat|-|Red
T3/masterBias_BIN-1_4096x4096.xisf,T3,Bias,masterBias_BIN-1_4096x4096.xisf,testdata/T3 calibration files/masterBias_BIN-1_4096x4096.xisf,4096x4096,1x1,,,-20.0,Master Bias,T3|4096x4096|1x1|Bias|-|-
T3/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,T3,Dark,masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,testdata/T3 calibration files/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,4096x4096,1x1,1200.0,,-20.0,Master Dark,T3|4096x4096|1x1|Dark|1200.0|-
T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,T3,Dark,masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,testdata/T3 calibration files/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,4096x4096,1x1,600.0,,-20.0,Master Dark,T3|4096x4096|1x1|Dark|600.0|-
T3/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,T3,Flat,masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,testdata/T3 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,4096x4096,1x1,,Blue,-20.0,Master Flat,T3|4096x4096|1x1|Flat|-|Blue
T3/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,T3,Flat,masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,testdata/T3 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,4096x4096,1x1,,Green,-20.0,Master Flat,T3|4096x4096|1x1|Flat|-|Green
T3/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,T3,Flat,masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,testdata/T3 calibration files/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,4096x4096,1x1,,H-alpha,-20.0,Master Flat,T3|4096x4096|1x1|Flat|-|H-alpha
T3/masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,T3,Flat,masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,testdata/T3 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,4096x4096,1x1,,Lum,-20.0,Master Flat,T3|4096x4096|1x1|Flat|-|Lum
T3/masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf,T3,Flat,masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf,testdata/T3 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf,4096x4096,1x1,,OIII,-20.0,Master Flat,T3|4096x4096|1x1|Flat|-|OIII
T3/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,T3,Flat,masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,testdata/T3 calibration files/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,4096x4096,1x1,,Red,-20.0,Master Flat,T3|4096x4096|1x1|Flat|-|Red
T4/masterBias_BIN-1_4500x3600.xisf,T4,Bias,masterBias_BIN-1_4500x3600.xisf,testdata/T4 calibration files/masterBias_BIN-1_4500x3600.xisf,4500x3600,1x1,,,-20.0,Master Bias,T4|4500x3600|1x1|Bias|-|-
T4/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,T4,Dark,masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata/T4 calibration files/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,4500x3600,1x1,180.0,,-20.0,Master Dark,T4|4500x3600|1x1|Dark|180.0|-
T4/masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf,T4,Dark,masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf,testdata/T4 calibration files/masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf,4500x3600,1x1,300.0,,-20.0,Master Dark,T4|4500x3600|1x1|Dark|300.0|-
T4/masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf,T4,Dark,masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf,testdata/T4 calibration files/masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf,4500x3600,1x1,600.0,,-20.0,Master Dark,T4|4500x3600|1x1|Dark|600.0|-
T4/masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,T4,Flat,masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,testdata/T4 calibration files/masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,4500x3600,1x1,,Blue,-20.0,Master Flat,T4|4500x3600|1x1|Flat|-|Blue
T4/masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,T4,Flat,masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,testdata/T4 calibration files/masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,4500x3600,1x1,,Green,-20.0,Master Flat,T4|4500x3600|1x1|Flat|-|Green
T4/masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf,T4,Flat,masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf,testdata/T4 calibration files/masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf,4500x3600,1x1,,H-alpha,-20.0,Master Flat,T4|4500x3600|1x1|Flat|-|H-alpha
T4/masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf,T4,Flat,masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf,testdata/T4 calibration files/masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf,4500x3600,1x1,,OIII,-20.0,Master Flat,T4|4500x3600|1x1|Flat|-|OIII
T4/masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,T4,Flat,masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,testdata/T4 calibration files/masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,4500x3600,1x1,,Red,-20.0,Master Flat,T4|4500x3600|1x1|Flat|-|Red
