target_name,device_id,panel_id,filter_in_filename,filter_in_header,exposure_s,n_lights,light_dir,image_size_from_header,bin_from_header,gain_from_header,offset_from_header,temp_from_header,camera_from_header,telescope_from_header,date_obs_from_header,filter_alias_conflict,sample_file
LDN43,T2,,Blue,Blue,1200.0,8,testdata\LDN43_T2素材_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-05-03T04:09:04,,testdata\LDN43_T2素材_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@040855-1200S-Blue.fts
LDN43,T2,,Green,Green,1200.0,8,testdata\LDN43_T2素材_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-05-03T03:48:12,,testdata\LDN43_T2素材_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@034804-1200S-Green.fts
LDN43,T2,,H-alpha,H-alpha,1200.0,8,testdata\LDN43_T2素材_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-05-03T04:30:01,,testdata\LDN43_T2素材_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@042947-1200S-H-alpha.fts
LDN43,T2,,Lum,Lum,600.0,10,testdata\LDN43_T2素材_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-05-03T03:16:10,,testdata\LDN43_T2素材_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@031525-600S-Lum.fts
LDN43,T2,,Red,Red,1200.0,8,testdata\LDN43_T2素材_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-05-03T03:27:21,,testdata\LDN43_T2素材_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@032713-1200S-Red.fts
NGC1727,T2,,Blue,Blue,600.0,12,testdata\NGC1727_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-31T07:08:07,,testdata\NGC1727_T2_flying_dutchman\lights\NGC1727_RGBHO_T2_flying_dutchman-20251031@070759-600S-Blue.fts
NGC1727,T2,,Green,Green,600.0,11,testdata\NGC1727_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-31T06:57:16,,testdata\NGC1727_T2_flying_dutchman\lights\NGC1727_RGBHO_T2_flying_dutchman-20251031@065708-600S-Green.fts
NGC1727,T2,,H-alpha,H-alpha,1200.0,16,testdata\NGC1727_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-11-10T02:51:59,,testdata\NGC1727_T2_flying_dutchman\lights\NGC1727_RGBHO_T2_flying_dutchman-20251110@025125-1200S-H-alpha.fts
NGC1727,T2,,OIII,OIII,1800.0,13,testdata\NGC1727_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-31T07:53:48,,testdata\NGC1727_T2_flying_dutchman\lights\NGC1727_RGBHO_T2_flying_dutchman-20251031@075259-1800S-OIII.fts
NGC1727,T2,,Red,Red,600.0,12,testdata\NGC1727_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-31T06:46:06,,testdata\NGC1727_T2_flying_dutchman\lights\NGC1727_RGBHO_T2_flying_dutchman-20251031@064517-600S-Red.fts
NGC247,T2,,Blue,Blue,600.0,10,testdata\NGC247_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-08-16T04:08:07,,testdata\NGC247_T2_flying_dutchman\lights\NGC247_T2_flying_dutchman-20250816@040753-600S-Blue.fts
NGC247,T2,,Green,Green,600.0,11,testdata\NGC247_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-08-16T03:57:11,,testdata\NGC247_T2_flying_dutchman\lights\NGC247_T2_flying_dutchman-20250816@035703-600S-Green.fts
NGC247,T2,,H-alpha,H-alpha,1200.0,11,testdata\NGC247_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-08-16T04:19:02,,testdata\NGC247_T2_flying_dutchman\lights\NGC247_T2_flying_dutchman-20250816@041848-1200S-H-alpha.fts
NGC247,T2,,Lum,Lum,600.0,15,testdata\NGC247_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-08-16T03:35:06,,testdata\NGC247_T2_flying_dutchman\lights\NGC247_T2_flying_dutchman-20250816@033428-600S-Lum.fts
NGC247,T2,,OIII,OIII,1200.0,12,testdata\NGC247_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-08-16T04:39:56,,testdata\NGC247_T2_flying_dutchman\lights\NGC247_T2_flying_dutchman-20250816@043944-1200S-OIII.fts
NGC247,T2,,Red,Red,600.0,9,testdata\NGC247_T2_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-08-16T03:46:21,,testdata\NGC247_T2_flying_dutchman\lights\NGC247_T2_flying_dutchman-20250816@034607-600S-Red.fts
NGC55,T3,,Blue,Blue,600.0,12,testdata\NGC55_T3_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-07-01T08:03:41,,testdata\NGC55_T3_flying_dutchman\lights\NGC55_T3_flying_dutchman-20250701@080333-600S-Blue.fts
NGC55,T3,,Green,Green,600.0,11,testdata\NGC55_T3_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-07-01T07:52:01,,testdata\NGC55_T3_flying_dutchman\lights\NGC55_T3_flying_dutchman-20250701@075153-600S-Green.fts
NGC55,T3,,H-alpha,H-alpha,1200.0,16,testdata\NGC55_T3_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-07-01T08:14:26,,testdata\NGC55_T3_flying_dutchman\lights\NGC55_T3_flying_dutchman-20250701@081412-1200S-H-alpha.fts
