
[阶段5] 读取 XISF Header (校准文件)
  [XISF] T2/masterBias_BIN-1_4096x4096.xisf: filter= size=4096x4096 error=
  [XISF] T2/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf: filter= size=4096x4096 error=
  [XISF] T2/masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf: filter= size=4096x4096 error=
  [XISF] T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf: filter= size=4096x4096 error=
  [XISF] T2/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf: filter=Blue size=4096x4096 error=
  [XISF] T2/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf: filter=Green size=4096x4096 error=
  [XISF] T2/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf: filter=H-alpha size=4096x4096 error=
  [XISF] T2/masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf: filter=OIII size=4096x4096 error=
  [XISF] T2/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf: filter=Red size=4096x4096 error=
  [XISF] T3/masterBias_BIN-1_4096x4096.xisf: filter= size=4096x4096 error=
  [XISF] T3/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf: filter= size=4096x4096 error=
  [XISF] T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf: filter= size=4096x4096 error=
  [XISF] T3/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf: filter=Blue size=4096x4096 error=
  [XISF] T3/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf: filter=Green size=4096x4096 error=
  [XISF] T3/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf: filter=H-alpha size=4096x4096 error=
  [XISF] T3/masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf: filter=Lum size=4096x4096 error=
  [XISF] T3/masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf: filter=Oiii size=4096x4096 error=
  [XISF] T3/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf: filter=Red size=4096x4096 error=
  [XISF] T4/masterBias_BIN-1_4500x3600.xisf: filter= size=4500x3600 error=
  [XISF] T4/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf: filter= size=4500x3600 error=
  [XISF] T4/masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf: filter= size=4500x3600 error=
  [XISF] T4/masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf: filter= size=4500x3600 error=
  [XISF] T4/masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf: filter=Blue size=4500x3600 error=
  [XISF] T4/masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf: filter=Green size=4500x3600 error=
  [XISF] T4/masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf: filter=H-alpha size=4500x3600 error=
  [XISF] T4/masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf: filter=Oiii size=4500x3600 error=
  [XISF] T4/masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf: filter=Red size=4500x3600 error=
  冲突报告: F:\Astro dev\Astro CS Normalization Database\engineering_v1.2\evidence\P10-001\DOCUMENT_FACT_CONFLICTS.md
  冲突数: 1
  硬门限: PASS

