file_path,file_name,device_id,master_type,file_size_bytes,sha256,filter_from_filename,exposure_from_filename,bin_from_filename,image_size_from_filename,filter_from_header,exposure_from_header,bin_from_header,image_size_from_header,temp_from_header,pixel_size_from_header,instrument_from_header,filter_match,exposure_match,bin_match,image_size_match,header_parse_error,scanned_at
testdata\T2 calibration files\masterBias_BIN-1_4096x4096.xisf,masterBias_BIN-1_4096x4096.xisf,T2,Bias,67133440,2D7E694C536C9A12D3FF3D4ACF1565D88AD9495EDBC4C5F48EC242A230193303,,,1,4096x4096,,0.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.584555Z
testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,T2,Dark,67129344,73D42C70DD85301537EE8F3DFDB7D97C8A0266DCCF9AAD78E652A3BC7B06AD48,,1200.00,1,4096x4096,,1200.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.639172Z
testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,T2,Dark,67121152,EFB75D6A88ACA4A329F0F735E66751E8F9D4C5FDE1C9028D712ED9B1FA98AC00,,1800.00,1,4096x4096,,1800.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.694103Z
testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,T2,Dark,67129344,B740556B237B20365C7302B990E273E0348151B6B9A14F4DE02D3BF3C3B46F2B,,600.00,1,4096x4096,,600.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.750010Z
testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,T2,Flat,67133440,8E82D75A6757F4AE94918F71DE372D37BB6E3D2CD92428418987F18910E04082,Blue,,1,4096x4096,Blue,3.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.804682Z
testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,T2,Flat,67133440,1E1433B02602DFC95EB86C1FDEE01F533F697C36C5EDA959729691D75D2C8B24,Green,,1,4096x4096,Green,3.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.859968Z
testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,T2,Flat,67133440,AD94F148C02D89C30BD03C35D33D98138643C69A61359535A001E4492E33B184,,,1,4096x4096,H-alpha,30.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.914845Z
testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,T2,Flat,67133440,C84DC6DFDFCBF54A7AB4B688EE6D343AE32A1ADC2BB0BBA9256406B78331DFB8,OIII,,1,4096x4096,OIII,3.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:02.973974Z
testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,T2,Flat,67133440,E0E5540208F099B9A9200717C01931555A40F9AF8C292F5FF9C4C5497A590471,Red,,1,4096x4096,Red,3.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.054862Z
testdata\T3 calibration files\masterBias_BIN-1_4096x4096.xisf,masterBias_BIN-1_4096x4096.xisf,T3,Bias,67133440,22003F86CD3E11D51EF61149950D51AFEF2A570ED4BDD0FA9C6EEA434E834CF7,,,1,4096x4096,,0.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.113585Z
testdata\T3 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,T3,Dark,67129344,BFBA85EB42839F75665F1F56B21115082D155CB4D380B436E08CD91276935568,,1200.00,1,4096x4096,,1200.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.168270Z
testdata\T3 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,T3,Dark,67133440,678646750BA84FC2AEA9B61ABEF942B732AA0E2CEA69277ECB0643D8C37BED0C,,600.00,1,4096x4096,,600.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.223464Z
testdata\T3 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,T3,Flat,67133440,056506E26F672E2E7A41F2183E1969FBEAD82883205061F36DE2FB206A450EF2,Blue,,1,4096x4096,Blue,2.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.276908Z
