device,filter,target,frame_name,status,size_bytes,sha256,nside,n_pix,has_snr,snr_format,n_points,snr_phot,median_snr,idw_power,inspect_ok,inspect_error,notes,filter_in_meta,target_in_meta,meta_keys,hiss_path,src_hiss_path,fits_path
T4,RED,Galaxy_Center,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,PASS,87433,0BB36E9D4CA4D8A357A049BE402EFA1C617E6841612CF2BCC3DD84CFBB62FD4B,512,3928,1,1,1984,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T4_RED_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T4_RED_Galaxy_Center\T4_RED_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts
T4,GREEN,Galaxy_Center,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063620-180S-Green.fts,PASS,87110,B1B459E844D012B72BE3932BC338E1F509ACFC73C50646609811553D9C129157,512,3931,1,1,1966,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T4_GREEN_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T4_GREEN_Galaxy_Center\T4_GREEN_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063620-180S-Green.fts
T4,BLUE,Galaxy_Center,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@055414-180S-Blue.fts,PASS,86378,B2F125085EEB6948E61B87CE664469BA8CDC6455C33B08B8CEC5C2ADAE33A2D9,512,3943,1,1,1922,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T4_BLUE_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T4_BLUE_Galaxy_Center\T4_BLUE_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@055414-180S-Blue.fts
T4,HA,Galaxy_Center,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@061318-300S-H-alpha.fts,PASS,86719,7C1DCB4B0C138D58311F8BEE871268C990E124549C82609B4CBE9895F344B569,512,3933,1,1,1945,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T4_HA_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T4_HA_Galaxy_Center\T4_HA_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@061318-300S-H-alpha.fts
T4,OIII,Galaxy_Center,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@063631-600S-Oiii.fts,PASS,84891,08533455C9FD456E56DCA829DE9D4E92E9E8DC5E53E72D2A08CFFD609555CE9E,512,3941,1,1,1849,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T4_OIII_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T4_OIII_Galaxy_Center\T4_OIII_Galaxy_Center.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@063631-600S-Oiii.fts
T2,RED,LDN43,LDN43_LRGBH_flying_dutchman-20250503@032713-1200S-Red.fts,PASS,58076,D301B6B1CC6DB1DA89F4A5652C1409231A63F701561380C8AC00BD56821A4ACD,2048,1573,1,1,1930,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T2_RED_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T2_RED_LDN43\T2_RED_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\LDN43_T2_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@032713-1200S-Red.fts
T2,GREEN,LDN43,LDN43_LRGBH_flying_dutchman-20250503@034804-1200S-Green.fts,PASS,58537,BFF8141DB2F11D83CE044C349CB2E837F0AA1A29A60A01F3A313F2991C5861B3,2048,1573,1,1,1953,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T2_GREEN_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T2_GREEN_LDN43\T2_GREEN_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\LDN43_T2_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@034804-1200S-Green.fts
T2,BLUE,LDN43,LDN43_LRGBH_flying_dutchman-20250503@040855-1200S-Blue.fts,PASS,57638,C7A6B7F31B4D53B7C79745C947EE03C318051FC078134681EEACCAFDC93460DE,2048,1573,1,1,1908,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T2_BLUE_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T2_BLUE_LDN43\T2_BLUE_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\LDN43_T2_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@040855-1200S-Blue.fts
T2,HA,LDN43,LDN43_LRGBH_flying_dutchman-20250503@042947-1200S-H-alpha.fts,PASS,29447,34808CB3ED048D82DFAD8AF759A6D80451520DE9EC7D09FDF0CEF60F4D1A4EAA,2048,1572,1,1,499,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T2_HA_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T2_HA_LDN43\T2_HA_LDN43.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\LDN43_T2_flying_dutchman\lights\LDN43_LRGBH_flying_dutchman-20250503@042947-1200S-H-alpha.fts
T2,OIII,NGC1727,NGC1727_RGBHO_T2_flying_dutchman-20251031@075259-1800S-OIII.fts,PASS,58176,B546425A563BFEEFA2AAD7EB6C45F7E4EEE58DF360700B7BD01E28F2CE9A3D6C,2048,1564,1,1,1940,0.000000e+00,0.000000e+00,0.000000e+00,True,,,,,"drizzle,exposure_s,filter,fits_meta,has_snr,n_pix,nested,nside,obs_time,pixfrac,snr_format,snr_n_points,source,wcs",f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-006\hiss\T2_OIII_NGC1727.hiss,f:\Astro dev\Astro CS Normalization Database\engineering_v1.3\evidence\P12-004\raw_logs\T2_OIII_NGC1727\T2_OIII_NGC1727.hiss,f:\Astro dev\Astro CS Normalization Database\testdata\NGC1727_T2_flying_dutchman\lights\NGC1727_RGBHO_T2_flying_dutchman-20251031@075259-1800S-OIII.fts
