elapsed_seconds,active_workers,runnable_workers,utilization_pct
0.000,0,0,0.00
0.250,2,2,50.00
0.501,2,2,50.00
0.751,2,2,50.00
1.001,2,2,50.00
1.251,2,2,50.00
1.501,2,2,50.00
1.752,2,2,50.00
2.002,2,2,50.00
2.252,2,2,50.00
2.502,2,2,50.00
2.752,2,2,50.00
3.003,2,2,50.00
3.253,2,2,50.00
3.503,2,2,50.00
3.753,2,2,50.00
4.003,2,2,50.00
4.254,2,2,50.00
4.504,2,2,50.00
4.754,2,2,50.00
5.004,2,2,50.00
5.254,2,2,50.00
5.505,2,2,50.00
5.755,2,2,50.00
6.005,2,2,50.00
6.255,2,2,50.00
6.505,2,2,50.00
6.756,2,2,50.00
7.006,2,2,50.00
7.256,2,2,50.00
7.506,2,2,50.00
7.756,2,2,50.00
8.006,2,2,50.00
8.260,2,2,50.00
8.510,2,2,50.00
8.761,2,2,50.00
9.011,2,2,50.00
9.261,2,2,50.00
9.511,2,2,50.00
9.761,2,2,50.00
10.011,2,2,50.00
10.262,2,2,50.00
10.512,2,2,50.00
10.762,2,2,50.00
11.012,2,2,50.00
11.262,2,2,50.00
11.513,2,2,50.00
11.763,2,2,50.00
12.013,2,2,50.00
12.263,2,2,50.00
12.513,2,2,50.00
12.764,2,2,50.00
13.014,2,2,50.00
13.264,2,2,50.00
13.514,2,2,50.00
13.764,2,2,50.00
14.015,2,2,50.00
14.267,2,2,50.00
14.517,2,2,50.00
14.768,2,2,50.00
15.018,2,2,50.00
15.268,2,2,50.00
15.518,2,2,50.00
15.768,2,2,50.00
16.019,2,2,50.00
16.269,2,2,50.00
16.519,2,2,50.00
16.769,2,2,50.00
17.019,2,2,50.00
17.270,2,2,50.00
17.520,2,2,50.00
17.770,2,2,50.00
18.020,2,2,50.00
18.271,2,2,50.00
18.521,2,2,50.00
18.771,2,2,50.00
19.021,2,2,50.00
19.271,2,2,50.00
19.522,2,2,50.00
19.772,2,2,50.00
20.022,2,2,50.00
20.272,2,2,50.00
20.522,2,2,50.00
20.773,2,2,50.00
21.023,2,2,50.00
21.273,2,2,50.00
21.523,2,2,50.00
21.773,2,2,50.00
22.024,2,2,50.00
22.274,2,2,50.00
22.524,2,2,50.00
22.774,2,2,50.00
23.028,2,2,50.00
23.278,2,2,50.00
23.529,2,2,50.00
23.779,2,2,50.00
24.029,2,2,50.00
24.279,2,2,50.00
24.529,2,2,50.00
24.780,2,2,50.00
25.030,2,2,50.00
25.280,2,2,50.00
25.530,2,2,50.00
25.784,2,2,50.00
26.034,2,2,50.00
26.285,2,2,50.00
26.535,2,2,50.00
26.785,2,2,50.00
27.035,2,2,50.00
27.285,2,2,50.00
27.536,2,2,50.00
27.786,2,2,50.00
28.036,2,2,50.00
28.286,2,2,50.00
28.536,2,2,50.00
28.787,2,2,50.00
29.037,2,2,50.00
29.287,2,2,50.00
29.537,2,2,50.00
29.787,2,2,50.00
30.037,2,2,50.00
30.288,2,2,50.00
30.538,2,2,50.00
30.788,2,2,50.00
31.039,2,2,50.00
31.289,2,2,50.00
31.540,2,2,50.00
31.790,2,2,50.00
32.044,2,2,50.00
32.294,2,2,50.00
32.545,2,2,50.00
32.795,2,2,50.00
33.045,2,2,50.00
33.295,2,2,50.00
33.548,2,2,50.00
33.798,2,2,50.00
34.049,2,2,50.00
34.299,2,2,50.00
34.549,2,2,50.00
34.799,2,2,50.00
35.049,2,2,50.00
35.299,2,2,50.00
35.550,2,2,50.00
35.800,2,2,50.00
36.050,2,2,50.00
36.300,2,2,50.00
36.550,2,2,50.00
36.801,2,2,50.00
37.051,2,2,50.00
37.301,2,2,50.00
37.551,2,2,50.00
37.801,2,2,50.00
38.051,2,2,50.00
38.302,2,2,50.00
38.552,2,2,50.00
38.802,2,2,50.00
39.056,2,2,50.00
39.306,2,2,50.00
39.557,2,2,50.00
39.807,2,2,50.00
40.057,2,2,50.00
40.307,2,2,50.00
40.557,2,2,50.00
40.807,2,2,50.00
41.058,2,2,50.00
41.308,2,2,50.00
41.558,2,2,50.00
41.808,2,2,50.00
42.058,2,2,50.00
42.309,2,2,50.00
42.559,2,2,50.00
42.809,2,2,50.00
43.059,2,2,50.00
43.309,2,2,50.00
43.559,2,2,50.00
43.810,2,2,50.00
44.060,2,2,50.00
44.310,2,2,50.00
44.560,2,2,50.00
44.810,2,2,50.00
45.061,2,2,50.00
45.311,2,2,50.00
45.561,2,2,50.00
45.812,2,2,50.00
46.062,2,2,50.00
