path,size_bytes,sha256,type,module,shipping
.clang-format,433,09d23491704d6dfecdbb579f46215c94e7eb9f52ec1543c4fe7bb771ce22aae1,root,root,no
.editorconfig,261,1e99ed6fc74760d719406be71aca627d4758479aee313fe584f17bb4321ec1ac,root,root,no
.gitattributes,409,dfee8a722364cd168c34fdcab6e34f35eb867f9881a920aab9bba82420f366b5,root,root,no
.github/workflows/ci-linux.yml,9128,f2315cb08fd131d8700d018f8558d2accd4d2e460a621e21c40465ea76c84956,aux,.github,no
.github/workflows/ci-windows.yml,9492,0920c854e9dde644c6931d42d518522324568f87564001c7036007d9eba4f3ad,aux,.github,no
.github/workflows/fatduck-admin.yml,693,6953ba6aba32f83833446c8fda7857af6c1fb637d3d2d5b044f921111e0f6ed8,aux,.github,no
.github/workflows/fatduck.yml,11179,c4dd1f4373e7ae77bb82f9fd33b62c8902bbf0b9fc17369edbbd93161da18346,aux,.github,no
.gitignore,5000,751f2c4bdd5c522c8a6cbf15464cded1c4a4d5ff8798992ab5dc41a486c2be00,root,root,no
ACCEPTANCE_SPEC.md,28984,b6802c9ebb5d3a6a814cab50a60bdf79162c768186e4d07b0e3ac2cc2e09b147,aux,ACCEPTANCE_SPEC.md,no
AGENTS.md,16075,f7e4aa6c3230cdf150fd09f516e028db4282bbfc44165678d763cd81398fdb0e,root,root,no
ASTROCS_DESIGN.md,76004,1b23a98548109c50ca764fdf03a35af1796e3b09af4d77ec2651c061a777a7b6,aux,ASTROCS_DESIGN.md,no
CMakeLists.txt,79261,f3270e04e3f844abd73ca0e4bc550dd38392a5267917b5bf73e1e67a42cba1dd,aux,CMakeLists.txt,no
CMakePresets.json,4926,ce3c496eaf243f467f8eb29202357668dc32acafd197e47f2bb75a0d7b86a823,aux,CMakePresets.json,no
CONTROL_PACK_SPEC.md,9439,746d99d3b7a2c7692cfac33abd0fd5f926b6abe2c6bd9dd78213007f2189f054,aux,CONTROL_PACK_SPEC.md,no
DEPENDENCIES.md,6185,f29489a8383ed1ac896300f9de00c6568e98fc3350a08222cbf0d59e9df7fab8,aux,DEPENDENCIES.md,no
ENGINEERING_SPEC.md,23068,861dcc2be46449cba3bc7a0c65392c00a1b97b2bef0c84088d61316a6e45ceb4,aux,ENGINEERING_SPEC.md,no
FATDUCK_ACCESS.md,2153,4e1d653a46143e478a5b0f9d1d2701d7e2930352936c2b4b9336ddecc17e373a,aux,FATDUCK_ACCESS.md,no
README.md,8794,1c339ad6ea096a1adbe569348457bfe157cc90a209e9b5ca1b2a8cb56a48dbcc,root,root,no
VERSION,14,ed41d33f787456abe92ea03b820e4c832b1e2b9e6867242eaea03258bae8d119,aux,VERSION,no
artifacts/acceptance/L2/G-RES-01.json,1458,236bcae955c49a0aac936b080ac0775b64cb57fca005b99b165f90287cd4919e,aux,artifacts,no
artifacts/acceptance/L3/EVIDENCE.json,1350,f10d9732c675a2a9dd90f8b85b295b753131d0de7c4fc372c86e4d14d860b65f,aux,artifacts,no
artifacts/acceptance/L4/STATUS.json,533,72596819a926b9dd46c73a03437837b53b0143e31b58085914b0c2fb5ce014d3,aux,artifacts,no
artifacts/acceptance/l2_performance/README.md,5368,6cfadcc33e46583838f435e52b13e74a8359fa943c7b171dac4e7534a247c24c,aux,artifacts,no
artifacts/acceptance/l2_performance/ab2f_ab.json,1920,1c092c14866bc4cdc140f3d70bd27968ae65158c5a51826ac935874a46527d38,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/fix2f_w16_alloc_report.json,846,61f832a7b1251777623f91e086b43c6b27ca08ad23bcbad0d4e2960fbd8004e2,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/fix2f_w1_alloc_report.json,846,1e50c37f677f00bc3f518d83dbb5ab7507e7a29002bd82ae47c77aaf7ce0049a,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/fix2f_w4_alloc_report.json,844,168348ef0ca73d2d4438998fd6519becc27f2c2332b8e1f5b2485b14c972c62b,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/real16_lock1_w16_alloc_report.json,853,a3b5307ae400f570162df556d2d9a2018bd38934e881b27626a4bd2d5d57fe2c,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/real16_w16_alloc_report.json,853,49cb4aa7095ac78fc6dcb2bd09ff4e17ba44eb316b6b7bbf5acd8253057cca49,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/real16_w1_alloc_report.json,852,44421150405a70d8beac4826bfb85b6db3267dd337c385c80c5b5a89510807c4,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/real16_w4_alloc_report.json,852,b1a649bdf6eb330dc3384fa1f12f400cdca03f3e1e46d30345cc12a2df21c34f,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/real4_w16_alloc_report.json,850,4c597b689e642912453ab45534c632f48530586fe756225001cf8670407a32d3,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/real8_w16_alloc_report.json,854,9d503a8e3b3d49f784ef640ffc9e25cfbabfbedbd0a342b47806ed0faee77aab,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/v1b2f_w16_alloc_report.json,848,2f04d3d0f280d026569389a5bdd94d6b662853cd0074e907da395f3b51e8e427,aux,artifacts,no
artifacts/acceptance/l2_performance/alloc_reports/v1locked2f_w16_alloc_report.json,848,62a40506e6534b5038b13a48b17b3540cc9ecdba6a5332f3ec175c999b47e53d,aux,artifacts,no
artifacts/acceptance/l2_performance/gaia_external_requests.json,1641,2f38c8f0f93f0f12fe9296aeb442e2abf213801dc1a8685ff6c859a53ff9622e,aux,artifacts,no
