
## T8a drop 边界在 chart 里的弦偏差 (极点, face=0)
  边0: 弦长=0.0000 chart单位  最大弦偏差=3.1832e-07 (=2.6806e-01 x 弦长, =3.1832e-07 x 叶尺寸)
  边1: 弦长=0.0000 chart单位  最大弦偏差=1.9345e-07 (=1.6290e-01 x 弦长, =1.9345e-07 x 叶尺寸)
  边2: 弦长=0.0000 chart单位  最大弦偏差=4.6601e-07 (=3.9242e-01 x 弦长, =4.6601e-07 x 叶尺寸)
  边3: 弦长=0.0000 chart单位  最大弦偏差=2.7827e-06 (=7.8110e-01 x 弦长, =2.7827e-06 x 叶尺寸)

## T8a drop 边界在 chart 里的弦偏差 (三角点, face=4)
  边0: 弦长=0.0000 chart单位  最大弦偏差=1.2476e-13 (=1.1172e-07 x 弦长, =1.2476e-13 x 叶尺寸)
  边1: 弦长=0.0000 chart单位  最大弦偏差=1.2466e-13 (=1.4770e-07 x 弦长, =1.2466e-13 x 叶尺寸)
  边2: 弦长=0.0000 chart单位  最大弦偏差=1.2453e-13 (=1.1151e-07 x 弦长, =1.2453e-13 x 叶尺寸)
  边3: 弦长=0.0000 chart单位  最大弦偏差=1.2547e-13 (=1.4866e-07 x 弦长, =1.2547e-13 x 叶尺寸)

## T8a drop 边界在 chart 里的弦偏差 (赤道角点, face=4)
  边0: 弦长=0.0000 chart单位  最大弦偏差=6.6844e-16 (=7.4314e-10 x 弦长, =6.6844e-16 x 叶尺寸)
  边1: 弦长=0.0000 chart单位  最大弦偏差=1.5701e-16 (=1.5618e-10 x 弦长, =1.5701e-16 x 叶尺寸)
  边2: 弦长=0.0000 chart单位  最大弦偏差=6.2804e-16 (=6.9821e-10 x 弦长, =6.2804e-16 x 叶尺寸)
  边3: 弦长=0.0000 chart单位  最大弦偏差=6.2804e-16 (=6.2471e-10 x 弦长, =6.2804e-16 x 叶尺寸)

## T8a drop 边界在 chart 里的弦偏差 (赤道一般, face=4)
  边0: 弦长=0.0000 chart单位  最大弦偏差=1.5701e-16 (=1.7455e-10 x 弦长, =1.5701e-16 x 叶尺寸)
  边1: 弦长=0.0000 chart单位  最大弦偏差=1.5701e-16 (=1.5618e-10 x 弦长, =1.5701e-16 x 叶尺寸)
  边2: 弦长=0.0000 chart单位  最大弦偏差=1.5701e-16 (=1.7455e-10 x 弦长, =1.5701e-16 x 叶尺寸)
  边3: 弦长=0.0000 chart单位  最大弦偏差=1.5701e-16 (=1.5618e-10 x 弦长, =1.5701e-16 x 叶尺寸)
