
## T16 HST 模板 极点(帧中心 +-10px, 2px 栅格): CRVAL=(0.000000,90.000000) 0.0400"/px rot=-35.0  nside=8388608
  源像素(x,y)     离极点"    V0 闭合     REC-1 闭合  oracle 闭合 drop面积比
  (  -10.0,  -10.0)   0.5374        4.699e-15     1.678e-15     4.196e-15     1.022e-04    
  (  -10.0,   -8.0)   0.4841        8.725e-15     1.191e-14     1.560e-14     1.359e-04    
  (  -10.0,   -6.0)   0.4391        1.007e-15     2.181e-15     3.356e-15     3.614e-05    
  (  -10.0,   -4.0)   0.4050        1.175e-15     1.678e-16     4.699e-15     8.138e-05    
  (  -10.0,   -2.0)   0.3847        6.712e-16     5.034e-16     3.356e-16     5.091e-05    
  (  -10.0,    0.0)   0.3805        7.384e-15     7.217e-15     1.141e-14     1.014e-04    
  (  -10.0,    2.0)   0.3847        4.698e-15     7.551e-15     9.397e-15     5.091e-05    
  (  -10.0,    4.0)   0.4050        1.175e-15     3.356e-16     1.678e-16     8.138e-05    
  (  -10.0,    6.0)   0.4391        1.678e-15     3.356e-16     1.678e-16     3.614e-05    
  (  -10.0,    8.0)   0.4841        9.228e-15     7.550e-15     1.024e-14     1.359e-04    
  (  -10.0,   10.0)   0.5374        5.538e-15     4.699e-15     7.888e-15     1.022e-04    
  (   -8.0,  -10.0)   0.4841        3.188e-15     5.369e-15     5.369e-15     1.359e-04    
  ---- 汇总 n=121 : V0 破门=0 最坏=1.896e-14 | REC-1 破门=0 最坏=1.712e-14 | oracle 最坏=1.930e-14 | drop面积比最坏=3.736e-03

## T16 HST 模板 极点(全帧 9x9 栅格): CRVAL=(0.000000,90.000000) 0.0400"/px rot=-35.0  nside=8388608
  源像素(x,y)     离极点"    V0 闭合     REC-1 闭合  oracle 闭合 drop面积比
  (-4000.0,-4000.0)   226.2458      3.304e-10     4.296e-10     2.012e-10     1.662e-07    
  (-4000.0,-3000.0)   199.9719      9.558e-10     1.450e-09     2.131e-09     2.209e-07    
  (-4000.0,-2000.0)   178.8586      2.848e-09     2.631e-09     1.016e-09     1.160e-07    
  (-4000.0,-1000.0)   164.8999      2.208e-10     8.052e-10     1.341e-10     5.224e-08    
  (-4000.0,    0.0)   159.9800      2.755e-09     2.074e-09     2.866e-09     3.873e-08    
  (-4000.0, 1000.0)   164.8999      5.403e-10     1.285e-10     7.888e-11     5.224e-08    
  (-4000.0, 2000.0)   178.8586      2.532e-10     9.559e-11     1.539e-10     1.160e-07    
  (-4000.0, 3000.0)   199.9719      2.247e-10     1.791e-10     2.253e-10     2.209e-07    
  (-4000.0, 4000.0)   226.2458      1.320e-10     1.024e-10     9.165e-11     1.662e-07    
  (-3000.0,-4000.0)   199.9719      1.600e-10     1.368e-10     1.901e-10     2.209e-07    
  (-3000.0,-3000.0)   169.6773      1.417e-10     7.497e-12     4.533e-10     9.514e-08    
  (-3000.0,-2000.0)   144.1943      2.853e-09     2.478e-09     2.782e-09     1.878e-07    
  ---- 汇总 n=81 : V0 破门=0 最坏=4.004e-09 | REC-1 破门=0 最坏=4.919e-09 | oracle 最坏=6.191e-09 | drop面积比最坏=3.736e-03

## T16 HST 模板 原始指向 M16(负对照): CRVAL=(274.721587,-13.841549) 0.0400"/px rot=-35.0  nside=8388608
  源像素(x,y)     离极点"    V0 闭合     REC-1 闭合  oracle 闭合 drop面积比
  (  -10.0,  -10.0)   274169.8387   1.525e-04     5.003e+01     3.793e-05     6.843e-11    
  (  -10.0,   -5.0)   274170.0025   1.554e-04     3.770e-05     1.251e-04     6.143e-10    
