## T22 HST 全帧 9x9 栅格 drop 面积比排序 (nside 无关, 0.04"/px rot=-35, 切点=北极)
  x(px)      y(px)      离极点"     drop面积比 
  0.0        0.0        0.0283         3.736e-03     
  -1000.0    0.0        39.9800        1.406e-06     
  0.0        1000.0     39.9800        1.406e-06     
  1000.0     0.0        39.9800        1.406e-06     
  0.0        -1000.0    39.9800        1.406e-06     
  -1000.0    2000.0     89.4159        4.345e-07     
  1000.0     -2000.0    89.4159        4.345e-07     
  -2000.0    -1000.0    89.4159        4.345e-07     
  -1000.0    -2000.0    89.4159        4.345e-07     
  2000.0     -1000.0    89.4159        4.345e-07     
  -2000.0    1000.0     89.4159        4.345e-07     
  1000.0     2000.0     89.4159        4.345e-07     
  ... 共 81 行, 最小 1.405e-08
