corner,ra,dec,n,worst_v0,worst_rec1,worst_oracle,n_fail_v0,n_fail_rec1,n_fail_oracle,seg_per_leaf
0,45.000000,0.000000,81,7.787243e-10,7.787243e-10,1.046861e-09,0,0,0,4.00
1,90.000000,41.810315,81,1.705720e-09,1.705720e-09,1.303101e-09,0,0,0,4.00
2,0.000000,90.000000,81,6.625572e-04,2.247119e-07,8.806647e-15,32,0,0,377.64
3,0.000000,41.810315,81,9.312529e-10,8.919545e-10,9.321983e-10,0,0,0,4.00
4,135.000000,0.000000,81,1.069649e-09,1.069649e-09,1.170371e-09,0,0,0,4.00
5,180.000000,41.810315,81,1.098169e-09,1.098169e-09,9.860542e-10,0,0,0,4.00
6,225.000000,0.000000,81,7.435028e-10,7.435028e-10,9.992800e-10,0,0,0,4.00
7,270.000000,41.810315,81,9.236869e-10,8.943377e-10,9.525180e-10,0,0,0,4.00
8,315.000000,0.000000,81,1.406615e-09,1.406615e-09,9.126856e-10,0,0,0,4.00
9,0.000000,-41.810315,81,6.783042e-10,7.204120e-10,7.541555e-10,0,0,0,4.00
10,90.000000,-41.810315,81,8.189837e-10,8.118458e-10,7.093316e-10,0,0,0,4.00
11,180.000000,-41.810315,81,7.456245e-10,7.952438e-10,8.598626e-10,0,0,0,4.00
12,270.000000,-41.810315,81,1.121491e-09,1.008008e-09,8.573003e-10,0,0,0,4.00
13,0.000000,-90.000000,81,6.625572e-04,2.247119e-07,5.799533e-15,32,0,0,377.64
