r_px,az_deg,ra_deg,dec_deg,v0,rec1,oracle,seg_per_leaf
0.0000,0.0,0.00000000,90.00000000,2.148074e-16,4.296149e-16,4.296149e-16,553.5
0.2500,0.0,66.49999999,89.99998613,2.517842e-02,2.550444e-07,0.000000e+00,549.0
0.2500,22.5,88.99699574,89.99998613,0.000000e+00,0.000000e+00,8.590807e-16,549.2
0.2500,45.0,111.49999999,89.99998613,2.147699e-16,0.000000e+00,0.000000e+00,549.0
0.2500,67.5,134.00300425,89.99998613,0.000000e+00,4.295404e-16,4.295404e-16,548.9
0.2500,90.0,156.50000000,89.99998613,2.517842e-02,2.550444e-07,4.296399e-16,548.9
0.2500,112.5,178.99699575,89.99998613,2.147702e-16,2.147702e-16,0.000000e+00,549.0
0.2500,135.0,201.50000000,89.99998613,2.147699e-16,2.147699e-16,6.443098e-16,549.0
0.2500,157.5,224.00300426,89.99998613,2.147702e-16,2.147702e-16,2.147702e-16,548.9
0.2500,180.0,246.50000001,89.99998613,2.517842e-02,2.550444e-07,6.444598e-16,548.9
0.2500,202.5,268.99699575,89.99998613,0.000000e+00,4.295404e-16,2.147702e-16,548.9
0.2500,225.0,291.50000001,89.99998613,6.443098e-16,2.147699e-16,4.295398e-16,548.9
0.2500,247.5,314.00300426,89.99998613,4.295404e-16,6.443106e-16,0.000000e+00,548.9
0.2500,270.0,336.50000000,89.99998613,2.517842e-02,2.550444e-07,4.296399e-16,548.9
0.2500,292.5,358.99699575,89.99998613,4.295404e-16,0.000000e+00,0.000000e+00,548.9
0.2500,315.0,21.50000000,89.99998613,2.147699e-16,2.147699e-16,2.147699e-16,548.9
0.2500,337.5,44.00300425,89.99998613,0.000000e+00,2.147702e-16,6.443106e-16,548.9
0.5000,0.0,66.50000000,89.99997223,2.517220e-02,2.549814e-07,4.295337e-16,546.7
0.5000,22.5,88.99709509,89.99997223,0.000000e+00,4.295534e-16,0.000000e+00,547.6
0.5000,45.0,111.50000000,89.99997223,2.147477e-16,4.294954e-16,4.294954e-16,547.2
0.5000,67.5,134.00290491,89.99997223,2.517335e-02,2.549930e-07,2.147767e-16,547.9
