dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-8.00,-8.00,9.401785e-13,9.401785e-13,9.401785e-13,9.401785e-13,9.401785e-13,9.401785e-13,9.401785e-13,9.401785e-13,9.401785e-13,2.148e-15,3.222e-15,7.088e-15,5.585e-15,1.095e-14,6.229e-15,1.074e-15,8.592e-16,1.257e-08
-8.00,-7.50,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,2.621e-14,2.792e-14,2.513e-14,2.535e-14,1.933e-14,2.234e-14,2.084e-14,2.363e-14,1.443e-08
-8.00,-7.00,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,7.518e-15,1.675e-14,1.160e-14,1.482e-14,1.418e-14,9.022e-15,1.654e-14,1.675e-14,1.238e-08
-8.00,-6.50,9.401823e-13,9.401731e-13,9.401721e-13,9.401823e-13,9.401822e-13,9.401823e-13,9.401823e-13,9.401823e-13,9.401823e-13,9.800e-06,1.094e-05,6.659e-08,1.719e-07,1.075e-08,6.717e-10,4.198e-11,6.659e-15,1.747e-08
-8.00,-6.00,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,2.148e-16,1.074e-15,4.296e-16,7.303e-15,1.289e-15,3.222e-15,3.007e-15,2.148e-15,1.975e-08
-8.00,-5.50,9.401781e-13,9.401781e-13,9.401781e-13,9.401781e-13,9.401781e-13,9.401781e-13,9.401781e-13,9.401781e-13,9.401781e-13,3.652e-15,3.222e-15,4.726e-15,4.726e-15,4.296e-15,3.866e-15,7.733e-15,6.659e-15,2.176e-08
-8.00,-5.00,9.401793e-13,9.401416e-13,9.401404e-13,9.401792e-13,9.401787e-13,9.401792e-13,9.401793e-13,9.401793e-13,9.401793e-13,4.007e-05,4.136e-05,7.718e-08,6.484e-07,4.053e-08,2.533e-09,1.583e-10,7.948e-15,2.453e-08
-8.00,-4.50,9.401744e-13,9.401167e-13,9.401155e-13,9.401743e-13,9.401734e-13,9.401743e-13,9.401744e-13,9.401744e-13,9.401744e-13,6.131e-05,6.260e-05,7.848e-08,9.809e-07,6.131e-08,3.832e-09,2.395e-10,3.866e-15,2.742e-08
-8.00,-4.00,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,4.296e-16,1.074e-15,2.148e-16,8.592e-16,1.718e-15,3.652e-15,1.074e-15,8.592e-16,2.717e-08
-8.00,-3.50,9.401820e-13,9.401820e-13,9.401820e-13,9.401820e-13,9.401820e-13,9.401820e-13,9.401820e-13,9.401820e-13,9.401820e-13,2.148e-16,1.074e-15,1.289e-15,8.592e-16,4.296e-16,6.444e-16,2.148e-16,6.444e-16,3.019e-08
-8.00,-3.00,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,2.148e-16,1.718e-15,2.148e-16,8.592e-16,1.074e-15,2.148e-16,2.148e-16,1.289e-15,2.160e-08
-8.00,-2.50,9.401787e-13,9.401787e-13,9.401787e-13,9.401787e-13,9.401787e-13,9.401787e-13,9.401787e-13,9.401787e-13,9.401787e-13,1.074e-15,6.444e-16,8.592e-16,6.444e-16,4.296e-16,2.148e-16,1.074e-15,1.504e-15,1.933e-08
