dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-8.00,-8.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,3.910e-12,3.910e-12,1.492e-10,1.767e-10,2.602e-10,1.492e-10,1.317e-10,2.256e-10,3.704e-10
-8.00,-7.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,3.745e-10,3.745e-10,3.733e-10,3.395e-10,2.409e-10,3.733e-10,2.931e-10,3.579e-10,8.116e-10
-8.00,-7.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,6.111e-10,6.111e-10,4.855e-10,3.884e-10,3.208e-10,4.855e-10,3.435e-10,3.539e-10,1.056e-09
-8.00,-6.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.607e-10,1.607e-10,7.521e-11,2.513e-10,2.116e-10,7.521e-11,2.328e-10,2.435e-10,7.960e-10
-8.00,-6.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.257e-10,1.257e-10,9.709e-11,5.489e-11,1.271e-10,9.709e-11,1.389e-11,7.942e-11,2.142e-10
-8.00,-5.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.801e-11,9.801e-11,1.123e-10,2.053e-10,1.186e-10,1.123e-10,1.863e-10,7.850e-11,4.829e-10
-8.00,-5.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,8.213e-12,8.213e-12,1.734e-11,2.058e-11,7.260e-11,1.734e-11,7.176e-11,3.428e-11,4.306e-10
-8.00,-4.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.307e-11,2.307e-11,2.319e-11,6.654e-11,2.215e-11,2.319e-11,8.932e-11,4.489e-12,1.924e-10
-8.00,-4.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.109e-11,2.109e-11,5.564e-11,7.148e-11,5.427e-11,5.564e-11,2.086e-11,1.222e-10,2.310e-10
-8.00,-3.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.403e-10,1.403e-10,5.235e-11,1.822e-11,1.224e-11,5.235e-11,3.919e-11,2.348e-11,1.266e-10
-8.00,-3.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.581e-10,1.581e-10,2.394e-10,1.471e-10,2.039e-10,2.394e-10,1.172e-10,3.451e-11,2.158e-10
-8.00,-2.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,6.835e-11,6.835e-11,2.111e-11,4.540e-11,6.121e-11,2.111e-11,1.211e-10,5.763e-11,4.372e-10
-8.00,-2.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.712e-11,2.712e-11,1.170e-10,2.070e-11,2.713e-12,1.170e-10,7.074e-11,2.885e-11,4.590e-10
-8.00,-1.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.279e-11,4.279e-11,2.509e-12,7.295e-11,3.671e-11,2.509e-12,9.352e-11,1.733e-11,6.092e-10
-8.00,-1.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,5.332e-11,5.332e-11,6.653e-11,1.071e-10,5.852e-11,6.653e-11,2.281e-11,3.378e-11,6.660e-10
-8.00,-0.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.000e-10,4.000e-10,3.550e-10,4.563e-10,4.458e-10,3.550e-10,4.399e-10,4.223e-10,5.291e-10
-8.00,0.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.301e-12,1.301e-12,2.084e-11,1.261e-12,1.167e-10,2.084e-11,1.184e-10,8.823e-11,8.824e-10
-8.00,0.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,3.859e-10,3.859e-10,3.704e-10,3.791e-10,4.323e-10,3.704e-10,3.424e-10,4.012e-10,6.500e-10
-8.00,1.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.704e-10,2.704e-10,1.726e-10,3.874e-10,1.920e-10,1.726e-10,2.588e-10,3.950e-10,8.322e-10
-8.00,1.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,5.244e-10,5.244e-10,4.504e-10,3.959e-10,4.839e-10,4.504e-10,5.010e-10,3.386e-10,7.358e-10
-8.00,2.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,3.981e-10,3.981e-10,1.149e-10,1.930e-10,9.729e-11,1.149e-10,4.790e-10,4.545e-10,1.484e-09
