dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-8.00,-8.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.461e-14,1.461e-14,1.461e-14,1.095e-14,1.203e-14,1.461e-14,1.138e-14,3.437e-15,7.827e-12
-8.00,-7.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,3.652e-15,3.652e-15,6.229e-15,4.511e-15,5.370e-15,6.229e-15,6.229e-15,4.296e-15,9.881e-12
-8.00,-7.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.203e-14,1.203e-14,6.014e-15,9.236e-15,9.022e-15,6.014e-15,6.229e-15,1.718e-15,4.052e-12
-8.00,-6.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.504e-15,1.504e-15,4.081e-15,6.444e-16,1.933e-15,4.081e-15,4.511e-15,1.074e-15,5.182e-12
-8.00,-6.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.296e-16,4.296e-16,1.289e-15,8.592e-16,1.289e-15,1.289e-15,0.000e+00,1.289e-15,1.066e-11
-8.00,-5.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.694e-10,1.694e-10,1.234e-12,5.149e-11,1.802e-12,1.234e-12,1.992e-12,2.578e-15,1.289e-11
-8.00,-5.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.296e-16,4.296e-16,4.296e-16,4.296e-16,8.592e-16,4.296e-16,1.289e-15,2.578e-15,2.644e-12
-8.00,-4.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.697e-10,1.697e-10,1.582e-12,2.394e-11,1.453e-12,1.582e-12,2.342e-12,5.155e-15,1.426e-11
-8.00,-4.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.190e-10,2.190e-10,4.698e-12,2.483e-12,1.076e-11,4.698e-12,2.699e-12,6.444e-16,2.219e-11
-8.00,-3.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.933e-15,1.933e-15,2.363e-15,1.933e-15,1.289e-15,2.363e-15,3.007e-15,1.289e-15,6.835e-12
-8.00,-3.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.189e-10,2.189e-10,4.662e-12,2.444e-12,7.971e-12,4.662e-12,5.008e-12,3.007e-15,2.204e-11
-8.00,-2.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.504e-15,1.504e-15,1.074e-15,1.504e-15,1.933e-15,1.074e-15,1.074e-15,5.155e-15,8.250e-12
-8.00,-2.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,8.119e-11,8.119e-11,2.184e-12,3.490e-11,1.218e-12,2.184e-12,2.424e-12,6.659e-15,1.117e-11
-8.00,-1.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.578e-15,2.578e-15,4.940e-15,3.007e-15,3.007e-15,4.940e-15,3.222e-15,2.363e-15,5.734e-12
-8.00,-1.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,8.077e-11,8.077e-11,1.764e-12,4.059e-11,8.001e-13,1.764e-12,2.006e-12,1.504e-15,9.506e-12
-8.00,-0.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.296e-16,4.296e-16,1.074e-15,1.289e-15,2.148e-15,1.074e-15,1.504e-15,8.592e-16,6.504e-12
-8.00,0.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.202e-10,2.202e-10,3.457e-12,7.137e-11,9.532e-12,3.457e-12,1.938e-12,1.289e-15,7.853e-12
-8.00,0.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,3.437e-15,3.437e-15,3.437e-15,1.718e-15,4.081e-15,3.437e-15,2.578e-15,4.081e-15,9.696e-12
-8.00,1.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.211e-10,2.211e-10,6.812e-12,7.967e-11,1.012e-11,6.812e-12,5.984e-12,4.940e-15,1.817e-11
-8.00,1.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.296e-16,4.296e-16,0.000e+00,3.007e-15,3.222e-15,0.000e+00,1.933e-15,2.148e-15,5.994e-12
-8.00,2.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.666e-10,1.666e-10,2.137e-11,1.401e-10,2.303e-11,2.137e-11,1.944e-11,1.289e-15,7.639e-11
-8.00,2.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.662e-10,1.662e-10,2.980e-11,1.077e-10,2.815e-11,2.980e-11,3.056e-11,1.547e-14,1.256e-10
-8.00,3.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.138e-14,1.138e-14,7.948e-15,1.246e-14,1.224e-14,7.948e-15,1.203e-14,8.592e-15,1.063e-11
-8.00,3.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,7.518e-15,7.518e-15,3.652e-15,2.148e-15,8.377e-15,3.652e-15,3.007e-15,5.800e-15,5.317e-12
