dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-8.00,-8.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.286e-09,1.286e-09,1.143e-09,6.950e-10,1.344e-09,1.143e-09,8.998e-10,8.694e-10,3.362e-09
-8.00,-7.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,5.067e-10,5.067e-10,2.199e-10,7.315e-11,1.007e-10,2.199e-10,2.588e-10,4.137e-11,4.309e-09
-8.00,-7.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,2.112e-11,2.112e-11,7.576e-10,8.031e-10,7.557e-10,7.576e-10,6.589e-10,1.713e-10,5.223e-09
-8.00,-6.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,5.950e-10,5.950e-10,5.405e-10,6.375e-10,5.397e-10,5.405e-10,4.294e-10,9.663e-11,1.989e-09
-8.00,-6.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,4.302e-10,4.302e-10,4.442e-10,1.232e-10,3.604e-10,4.442e-10,2.497e-10,1.123e-10,2.006e-09
-8.00,-5.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,7.044e-10,7.044e-10,9.284e-10,6.380e-10,1.006e-09,9.284e-10,1.068e-09,8.538e-10,1.947e-09
-8.00,-5.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,7.309e-10,7.309e-10,1.202e-10,3.102e-10,2.815e-10,1.202e-10,3.655e-10,7.466e-10,1.626e-09
-8.00,-4.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.177e-09,1.177e-09,1.035e-09,1.388e-09,9.436e-10,1.035e-09,7.769e-10,1.331e-09,3.096e-09
-8.00,-4.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,8.668e-10,8.668e-10,7.089e-10,6.865e-10,1.263e-09,7.089e-10,6.733e-10,1.138e-09,1.411e-09
-8.00,-3.50,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.150e-09,1.240e-09,1.326e-09,1.023e-09,4.805e-10,1.357e-09,8.598e-10,8.828e-10,3.145e-09
-8.00,-3.00,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,9.401772e-13,1.651e-09,1.553e-09,1.226e-09,1.949e-09,1.519e-09,1.165e-09,1.708e-09,1.466e-09,2.817e-09
