dx,dy,adrop,sum_prod,sum_a0,rel_prod,rel_a0,bitdiff_leaves
-8.00,-8.00,9.401785e-13,9.401784980193e-13,9.401784980194e-13,8.5704e-14,5.5847e-14,0
-8.00,-7.50,9.401728e-13,9.401728426752e-13,9.401728426754e-13,9.6874e-14,6.2721e-14,0
-8.00,-7.00,9.401742e-13,9.401741744527e-13,9.401741744528e-13,1.0890e-13,8.3772e-15,0
-8.00,-6.50,9.401823e-13,9.401731272166e-13,9.401731272167e-13,9.8003e-06,9.8003e-06,0
-8.00,-6.00,9.401768e-13,9.401768154682e-13,9.401768154683e-13,1.1792e-13,6.4439e-16,0
-8.00,-5.50,9.401781e-13,9.401780891183e-13,9.401780891184e-13,1.0675e-13,2.6420e-14,0
-8.00,-5.00,9.401793e-13,9.401416078778e-13,9.401416078778e-13,4.0070e-05,4.0070e-05,0
-8.00,-4.50,9.401744e-13,9.401167239062e-13,9.401167239062e-13,6.1311e-05,6.1311e-05,0
-8.00,-4.00,9.401813e-13,9.401813070783e-13,9.401813070784e-13,8.9570e-14,2.5776e-15,0
-8.00,-3.50,9.401820e-13,9.401820485471e-13,9.401820485472e-13,1.0353e-13,1.0095e-14,0
-8.00,-3.00,9.401779e-13,9.401779083722e-13,9.401779083723e-13,9.6874e-14,4.2960e-16,0
-8.00,-2.50,9.401787e-13,9.401787360626e-13,9.401787360627e-13,1.0053e-13,6.6587e-15,0
-8.00,-2.00,9.401760e-13,9.401759878519e-13,9.401759878519e-13,9.4726e-14,1.2888e-14,0
-8.00,-1.50,9.401770e-13,9.401770367529e-13,9.401770367530e-13,9.8378e-14,7.5179e-15,0
-8.00,-1.00,9.401796e-13,9.401644220268e-13,9.401644220269e-13,1.6118e-05,1.6118e-05,0
-8.00,-0.50,9.401783e-13,9.401852427741e-13,9.401852427742e-13,7.3618e-06,7.3618e-06,0
-8.00,0.00,9.401785e-13,9.402037927809e-13,9.402037927810e-13,2.6930e-05,2.6930e-05,0
-8.00,0.50,9.401783e-13,9.401783213757e-13,9.401783213757e-13,1.1212e-13,1.6969e-14,0
-8.00,1.00,9.401796e-13,9.401795754164e-13,9.401795754165e-13,9.1933e-14,1.2029e-14,0
-8.00,1.50,9.401770e-13,9.402281138940e-13,9.402281138941e-13,5.4327e-05,5.4327e-05,0
-8.00,2.00,9.401760e-13,9.401759878551e-13,9.401759878552e-13,9.7519e-14,8.5919e-16,0
-8.00,2.50,9.401787e-13,9.402328591613e-13,9.402328591614e-13,5.7567e-05,5.7567e-05,0
-8.00,3.00,9.401779e-13,9.401779083767e-13,9.401779083768e-13,8.8282e-14,3.1361e-14,0
-8.00,3.50,9.401820e-13,9.402309245932e-13,9.402309245933e-13,5.1986e-05,5.1986e-05,0
-8.00,4.00,9.401813e-13,9.401813070838e-13,9.401813070839e-13,9.9022e-14,3.2649e-14,0
-8.00,4.50,9.401744e-13,9.402176442307e-13,9.402176442308e-13,4.6031e-05,4.6031e-05,0
-8.00,5.00,9.401793e-13,9.401792809090e-13,9.401792809091e-13,6.7661e-14,5.4344e-14,0
-8.00,5.50,9.401781e-13,9.402098238577e-13,9.402098238578e-13,3.3754e-05,3.3754e-05,0
-8.00,6.00,9.401768e-13,9.401768154747e-13,9.401768154749e-13,9.0645e-14,9.0215e-14,0
-8.00,6.50,9.401823e-13,9.401823413038e-13,9.401823413039e-13,5.5632e-14,1.2931e-13,0
-8.00,7.00,9.401742e-13,9.401919908415e-13,9.401919908415e-13,1.8950e-05,1.8950e-05,0
-8.00,7.50,9.401728e-13,9.401728426820e-13,9.401728426821e-13,1.4606e-13,3.5442e-14,0
-8.00,8.00,9.401785e-13,9.401784980261e-13,9.401784980262e-13,1.1986e-13,3.0501e-14,0
-7.50,-8.00,9.401728e-13,9.401728426749e-13,9.401728426749e-13,1.3532e-13,6.3795e-14,0
-7.50,-7.50,9.401743e-13,9.401844343571e-13,9.401844343572e-13,1.0735e-05,1.0735e-05,0
-7.50,-7.00,9.401756e-13,9.401766948265e-13,9.401766948266e-13,1.1518e-06,1.1518e-06,0
-7.50,-6.50,9.401842e-13,9.401842356571e-13,9.401842356572e-13,1.1535e-13,6.0143e-15,0
-7.50,-6.00,9.401784e-13,9.401783734888e-13,9.401783734889e-13,1.3747e-13,1.5895e-14,0
-7.50,-5.50,9.401799e-13,9.401600610326e-13,9.401600610327e-13,2.1063e-05,2.1063e-05,0
-7.50,-5.00,9.401813e-13,9.401436091643e-13,9.401436091643e-13,4.0070e-05,4.0070e-05,0
-7.50,-4.50,9.401760e-13,9.401759901329e-13,9.401759901330e-13,1.1384e-13,1.6325e-14,0
-7.50,-4.00,9.401743e-13,9.401742570223e-13,9.401742570224e-13,1.0740e-13,1.2458e-14,0
-7.50,-3.50,9.401752e-13,9.401751607183e-13,9.401751607185e-13,1.1019e-13,1.6539e-14,0
-7.50,-3.00,9.401675e-13,9.401675072371e-13,9.401675072372e-13,9.3653e-14,8.5920e-16,0
-7.50,-2.50,9.401680e-13,9.401679988268e-13,9.401679988269e-13,1.0224e-13,1.0096e-14,0
-7.50,-2.00,9.401737e-13,9.401737127295e-13,9.401737127296e-13,9.6445e-14,3.6516e-15,0
-7.50,-1.50,9.401743e-13,9.401297428906e-13,9.401297428907e-13,4.7340e-05,4.7340e-05,0
-7.50,-1.00,9.401824e-13,9.401672843757e-13,9.401672843758e-13,1.6108e-05,1.6108e-05,0
