dataset,panel,filter,index,filename,relative_path,size_bytes,sha256,remote_size_bytes,remote_sha256,source_host,transfer_status,width,height,bitpix_or_dtype,exposure,gain,temperature,date_obs,wcs_present,wcs_ctype,wcs_crval,wcs_cd_or_pc,freeze_verified,v3_src_sha
Galaxy_Center_T4,panel1,Red,1,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,32411520,CE944AE795BDE60CB76DFEA07F749EB883158A20144C1DF5EA0AB24D621AFDB7,32411520,CE944AE795BDE60CB76DFEA07F749EB883158A20144C1DF5EA0AB24D621AFDB7,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-02T06:17:19,1,"RA---TAN-SIP,DEC--TAN-SIP","272.8256652586614,-13.13181064818761","0.001752140022958568,4.00672547010063e-07,-7.1175098719331e-07,0.001752457216458688",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,2,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062109-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062109-180S-Red.fts,32411520,9AF5F3382422538A476BB69481702B107BE04C679527EAE35DF7935804F974CE,32411520,9AF5F3382422538A476BB69481702B107BE04C679527EAE35DF7935804F974CE,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-02T06:21:24,1,"RA---TAN-SIP,DEC--TAN-SIP","272.7814976513185,-13.145167186293323","0.001752015750256952,3.94466374221351e-07,-6.8387446551683e-07,0.001752461367494145",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,3,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062457-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062457-180S-Red.fts,32411520,95F47FBA0DA750EAA8D62011843B5C4B956ABA6ACBCAB28208EB4083963B8D05,32411520,95F47FBA0DA750EAA8D62011843B5C4B956ABA6ACBCAB28208EB4083963B8D05,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-02T06:25:11,1,"RA---TAN-SIP,DEC--TAN-SIP","272.74577487000477,-13.123952865823016","0.001752039593534454,4.16888603460138e-07,-7.2989036145755e-07,0.001752433011838315",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,4,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062844-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062844-180S-Red.fts,32411520,3505DDD85F0BFA24D55E7F9F27DE4A4FA166D5658F5BE4EF6039BDD20C018C64,32411520,3505DDD85F0BFA24D55E7F9F27DE4A4FA166D5658F5BE4EF6039BDD20C018C64,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-02T06:28:59,1,"RA---TAN-SIP,DEC--TAN-SIP","272.7739430536177,-13.078270793874264","0.001752025451989722,4.3776701552305e-07,-6.932075487678e-07,0.001752284557277176",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,5,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063231-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063231-180S-Red.fts,32411520,AE7D2FEBEA5C451892D7EC40382C13AB706EA82CD1D6FCE69D8632ED9DD4D1F4,32411520,AE7D2FEBEA5C451892D7EC40382C13AB706EA82CD1D6FCE69D8632ED9DD4D1F4,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-02T06:32:47,1,"RA---TAN-SIP,DEC--TAN-SIP","272.8176467089357,-13.043201325907509","0.001752051616918849,5.31840400610719e-07,-7.1999285939201e-07,0.001752331662257322",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,6,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051551-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051551-180S-Red.fts,32411520,F8916F82C6AEC7BFAC61A3793E2F29BBBF3C39A8D52A17CF173FA2CE1ABBD3A5,32411520,F8916F82C6AEC7BFAC61A3793E2F29BBBF3C39A8D52A17CF173FA2CE1ABBD3A5,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-03T05:16:07,1,"RA---TAN-SIP,DEC--TAN-SIP","272.7782966362488,-13.16127368100362","0.001751856338521479,-1.5877936756093e-07,3.80322136792008e-08,0.001752233996847057",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,7,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051958-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051958-180S-Red.fts,32411520,A551F2CF5CAF1DE4EC0C68FE7ED445460AA58EDF105BF42B4A6A3734932413E6,32411520,A551F2CF5CAF1DE4EC0C68FE7ED445460AA58EDF105BF42B4A6A3734932413E6,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-03T05:20:13,1,"RA---TAN-SIP,DEC--TAN-SIP","272.82254250300093,-13.120622184169319","0.001751808105955669,-8.4107130308766e-08,-2.1661051893445e-07,0.001752260309924099",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,8,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@052346-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@052346-180S-Red.fts,32411520,4D561895C01E409F0533FD69946CCAE0E37FD352079B92F21FDC9C98A7967B25,32411520,4D561895C01E409F0533FD69946CCAE0E37FD352079B92F21FDC9C98A7967B25,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-03T05:24:02,1,"RA---TAN-SIP,DEC--TAN-SIP","272.8482485108384,-13.070586234157556","0.00175178649836379,-1.2720904506506e-08,-1.9276107498212e-07,0.001752273784820929",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,9,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@052735-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@052735-180S-Red.fts,32411520,D4E6F15C7E765CACBAAE92AF677A724E79750EC68B68741C66E76787942560E9,32411520,D4E6F15C7E765CACBAAE92AF677A724E79750EC68B68741C66E76787942560E9,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-03T05:27:49,1,"RA---TAN-SIP,DEC--TAN-SIP","272.84615334265925,-13.106128861781823","0.001751847002177571,8.16400170349625e-08,-1.9155603913557e-07,0.001752243683390896",yes,535e73879662346ee1f599d7a9cae96c6c23680d
Galaxy_Center_T4,panel1,Red,10,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@053123-180S-Red.fts,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@053123-180S-Red.fts,32411520,4104411B201C2707E40E37BEDC28EE52056346B7F8A77E983AC2E1925C8CB297,32411520,4104411B201C2707E40E37BEDC28EE52056346B7F8A77E983AC2E1925C8CB297,fujia@fatduck (Windows),OK,4500,3600,BITPIX=16,180.0,,-20.0,2025-07-03T05:31:39,1,"RA---TAN-SIP,DEC--TAN-SIP","272.7957185355599,-13.140069705327582","0.001751785101093883,2.57941627235157e-08,-3.1751694487522e-07,0.00175224456324616",yes,535e73879662346ee1f599d7a9cae96c6c23680d
