符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
A,局部量噪声（不入科学判读）,4,3,.2f | 0.0 | 300.0;3000.0,其他,是,111,ACCEPTANCE_SPEC.md ; ASTROCS_DESIGN.md ; docs/DOCUMENT_INDEX.yaml,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/psf/src/dpsf_psf.cpp:364 ; lib/algorithms/star_detection/test/sdet_fp64_test.cpp:31 ; lib/infrastructure/scheduler/src/module_adapters.cpp:4432 ; lib/infrastructure/scheduler/src/module
ABS_CLIP_FACTOR,残余B·带单位的科学量,1,1,5.0,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:1021
ACR_BENCH_HAVE_HWLOC,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/qualification/benchmarks/numa_benchmark.cpp:27
ACR_HAVE_CPU_FEATURES_LIB,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/topology/cpu_features.cpp:18
ACR_HAVE_HWLOC,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/topology/hwloc_topo.cpp:19
ACR_X86_AVX,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/avx.cpp:8
ACR_X86_AVX2,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/avx2.cpp:8
ACR_X86_AVX512,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/avx512.cpp:9
ACR_X86_SSE,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/sse.cpp:8
ACS_ABI_MAJOR_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/lifecycle_v1.h:110
ACS_ABI_MINOR_V1,残余B·带单位的科学量,1,1,0u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/lifecycle_v1.h:111
ACS_ABI_PTR_BITS,残余D·语义未明（需读用途）,2,1,32 | 64,整数/整幂/科学计数,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/status_codes.h:76 ; lib/include/astrocs/abi/status_codes.h:78
ACS_ABI_VERSION_V1,残余A·登记面点名但无支撑,2,2,1u,其他,是,6,docs/algorithms/PHASE2_SESSION.md ; docs/api/COMMON_ABI_V1.md ; docs/architecture/abi/ABI_003_SECURE_LOADER.md,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/status_codes.h:87 ; lib/include/astrocs/common_abi_v1.h:16
ACS_ARTIFACT_ABI_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/contracts/artifact_abi_v1.h:28
ACS_CAL_MAX_STACK,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/src/module_entry.cpp:300
ACS_CAP_ABI_VERSION_V1,残余A·登记面点名但无支撑,1,1,1u,其他,是,1,docs/architecture/cpu/CPU_001_CAPABILITY_PROBE.md,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:40
ACS_CAP_BRAND_MAX,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:41
ACS_CAP_ERR_TEXT_MAX,残余B·带单位的科学量,1,1,160,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:43
ACS_CAP_SCHEMA_VER,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:44
ACS_CAP_VENDOR_MAX,残余B·带单位的科学量,1,1,16,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:42
