符号,细分档,位点数,值样例,登记面,证据/失效详情
ACS_ABI_VERSION_V1,A-1 登记面点名但无出处字段,2,1u,,
ACS_CAP_ABI_VERSION_V1,A-1 登记面点名但无出处字段,1,1u,,
ACS_HIPS_MAX_FRAME_SCALE_ARCSEC,A-1 登记面点名但无出处字段,1,824.5167388361774,,
AC_COMBINE_MEAN,A-1 登记面点名但无出处字段,1,0,,
AC_COMBINE_MEDIAN,A-1 登记面点名但无出处字段,1,1,,
AC_ERR_INTERNAL,A-1 登记面点名但无出处字段,1,-3,,
AC_ERR_MEMORY,A-1 登记面点名但无出处字段,1,-2,,
AC_ERR_PARAM,A-1 登记面点名但无出处字段,1,-1,,
AC_METHOD_BILINEAR,A-1 登记面点名但无出处字段,1,1,,
AC_METHOD_MEDIAN,A-1 登记面点名但无出处字段,1,0,,
AC_OK,A-1 登记面点名但无出处字段,1,0,,
AIO_STATUS_COUNT,A-1 登记面点名但无出处字段,1,.15,,
A_cell,A-1 登记面点名但无出处字段,4,0.0 | 12.0;4.0 | 4.0,,
A_cell_k,A-1 登记面点名但无出处字段,2,4.0,,
A_pixel,A-1 登记面点名但无出处字段,5,0.0,,
BITPIX,A-1 登记面点名但无出处字段,2,.1f | .6,,
BLOCK_MISSING,A-1 登记面点名但无出处字段,1,3,,
BSCALE,A-1 登记面点名但无出处字段,2,.6f,,
BUNIT,A-1 登记面点名但无出处字段,1,31.1,,
BZERO,A-1 登记面点名但无出处字段,1,.6,,
CANCELLED,A-1 登记面点名但无出处字段,1,10,,
CD1_1,A-1 登记面点名但无出处字段,3,.12,,
CD1_2,A-1 登记面点名但无出处字段,3,.12,,
CD2_1,A-1 登记面点名但无出处字段,3,.12,,
CD2_2,A-1 登记面点名但无出处字段,3,.12,,
CRPIX,A-1 登记面点名但无出处字段,1,.1f;.4f,,
CRPIX1,A-1 登记面点名但无出处字段,3,.10f,,
CRPIX2,A-1 登记面点名但无出处字段,3,.10f,,
CRVAL,A-1 登记面点名但无出处字段,4,.3;.3f;.6f | .3f;.6f,,
CRVAL1,A-1 登记面点名但无出处字段,3,.10f,,
CRVAL2,A-1 登记面点名但无出处字段,3,.10f,,
