类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,calibration.dark_light_exposure_tolerance,eng/packaging/config/defaults.json:20,5,s,③未见于条文面,
具名,noise.variance_floor,eng/packaging/config/defaults.json:205,1e-12,ADU^2,③未见于条文面,
具名,photometry.irls_tolerance_dex,eng/packaging/config/defaults.json:583,1e-06,dex,③未见于条文面,
具名,sparse_snr.density,eng/packaging/config/defaults.json:681,null,点/度²,③未见于条文面,
具名,scalar_gate.rd,eng/packaging/config/defaults.json:722,null,unspecified,③未见于条文面,
具名,scalar_gate.trend,eng/packaging/config/defaults.json:733,null,unspecified,③未见于条文面,
具名,PTHREAD_MUTEX_RECURSIVE,eng/cmake/win32_pthread_shim/pthread.h:23,1,未标注,③未见于条文面,
具名,kMemoryBudgetPercentMin,eng/packaging/config/runtime_resources_generated.h.in:17,1,未标注,③未见于条文面,
具名,kMemoryBudgetPercentMax,eng/packaging/config/runtime_resources_generated.h.in:18,100,未标注,③未见于条文面,
具名,blk,eng/tools/quality/sparse_punch_probe.cpp:93,4096,未标注,③未见于条文面,
具名,AC_COMBINE_MEAN,lib/algorithms/calibration/include/astro_calibration.h:20,0,未标注,①条文含值,docs/algorithms/CALIBRATION_ALGORITHMS.md:102 combine==AC_COMBINE_MEAN(0):   cnt=|非 NaN|;
具名,AC_COMBINE_MEDIAN,lib/algorithms/calibration/include/astro_calibration.h:21,1,未标注,①条文含值,docs/algorithms/CALIBRATION_ALGORITHMS.md:101 combine==AC_COMBINE_MEDIAN(1): out = median(非 NaN)；全 NaN → NaN
具名,AC_METHOD_MEDIAN,lib/algorithms/calibration/include/astro_calibration.h:23,0,未标注,①条文含值,docs/algorithms/CALIBRATION_ALGORITHMS.md:238 method==AC_METHOD_MEDIAN(0): 5×5 邻域镜像反射索引（nx<0→−nx;
具名,AC_METHOD_BILINEAR,lib/algorithms/calibration/include/astro_calibration.h:24,1,未标注,①条文含值,docs/algorithms/CALIBRATION_ALGORITHMS.md:241 method==AC_METHOD_BILINEAR(1): **实际为 4 方向（上/下/左/右）最近
具名,AC_OK,lib/algorithms/calibration/include/astro_calibration.h:26,0,未标注,①条文含值,docs/algorithms/CALIBRATION_ALGORITHMS.md:317 | 错误码 | AC_OK=0、AC_ERR_PARAM=−1、AC_ERR_MEMORY=−2、AC_ERR_INTERNAL=−3；**
