键,defaults.json 内部可导出关系（候选，需人工判定是否真为导出量）
bad_column_neighbor_k,mask_fwhm_floor_scale(0.75) × lower_sigma(4) = 3 ;; mask_fwhm_floor_scale(0.75) × min_kept(4) = 3 ;; mask_r_min_px(1.5) × bad_column_variance_kappa(2) = 3 ;; mask_r_min_px(1.5) × min_inlier_stars(2) = 3 ;; max_clip_rounds(2) + spatial_field_enabled(1) = 3 ;; max_clip_rounds(2) × mask_r_min_px(1.5) = 3 ;; moffat_beta(4) × mask_fwhm_floor_scale(0.75) = 3 ;; spatial_field_enabled(1) + bad_column_variance_kappa(2) = 3
bad_column_sigma,bad_column_neighbor_k(3) + bad_column_variance_kappa(2) = 5 ;; clip_sigma(5) × spatial_field_enabled(1) = 5 ;; dark_light_exposure_tolerance(5) × spatial_field_enabled(1) = 5 ;; mag_tolerance(3) + bad_column_variance_kappa(2) = 5 ;; mag_tolerance(3) + min_inlier_stars(2) = 5 ;; mask_k_sigma(0.1) × max_iterations(50) = 5 ;; mask_r_min_px(1.5) + upper_sigma(3.5) = 5 ;; max_clip_rounds(2) + bad_column_neighbor_k(3) = 5
bad_column_sigma_master,upper_sigma(3.5) × bad_column_neighbor_k(3) = 10.5 ;; upper_sigma(3.5) × mag_tolerance(3) = 10.5 ;; upper_sigma(3.5) × min_reference_stars(3) = 10.5 ;; upper_sigma(3.5) × upper_sigma(3) = 10.5
bad_column_variance_kappa,max_clip_rounds(2) × spatial_field_enabled(1) = 2 ;; max_outliers(10) × percentile.low(0.2) = 2 ;; source_mask_radius_px(10) × percentile.low(0.2) = 2 ;; spatial_field_enabled(1) × min_inlier_stars(2) = 2
clip_sigma,bad_column_neighbor_k(3) + bad_column_variance_kappa(2) = 5 ;; dark_light_exposure_tolerance(5) × spatial_field_enabled(1) = 5 ;; mag_tolerance(3) + bad_column_variance_kappa(2) = 5 ;; mag_tolerance(3) + min_inlier_stars(2) = 5 ;; mask_k_sigma(0.1) × max_iterations(50) = 5 ;; mask_r_min_px(1.5) + upper_sigma(3.5) = 5 ;; max_clip_rounds(2) + bad_column_neighbor_k(3) = 5 ;; max_clip_rounds(2) + mag_tolerance(3) = 5
dark_light_exposure_tolerance,bad_column_neighbor_k(3) + bad_column_variance_kappa(2) = 5 ;; clip_sigma(5) × spatial_field_enabled(1) = 5 ;; mag_tolerance(3) + bad_column_variance_kappa(2) = 5 ;; mag_tolerance(3) + min_inlier_stars(2) = 5 ;; mask_k_sigma(0.1) × max_iterations(50) = 5 ;; mask_r_min_px(1.5) + upper_sigma(3.5) = 5 ;; max_clip_rounds(2) + bad_column_neighbor_k(3) = 5 ;; max_clip_rounds(2) + mag_tolerance(3) = 5
esd.alpha,max_iterations(50) × bad_column_master_wide_frac_max(0.001) = 0.05
lower_sigma,bad_column_neighbor_k(3) + bad_column_variance_kappa(2) = 5 ;; clip_sigma(5) × pixfrac(0.8) = 4 ;; clip_sigma(5) × spatial_field_enabled(1) = 5 ;; dark_light_exposure_tolerance(5) × pixfrac(0.8) = 4 ;; dark_light_exposure_tolerance(5) × spatial_field_enabled(1) = 5 ;; lower_sigma(5) × pixfrac(0.8) = 4 ;; mag_tolerance(3) + bad_column_variance_kappa(2) = 5 ;; mag_tolerance(3) + min_inlier_stars(2) = 5
mag_tolerance,mask_fwhm_floor_scale(0.75) × lower_sigma(4) = 3 ;; mask_fwhm_floor_scale(0.75) × min_kept(4) = 3 ;; mask_r_min_px(1.5) × bad_column_variance_kappa(2) = 3 ;; mask_r_min_px(1.5) × min_inlier_stars(2) = 3 ;; max_clip_rounds(2) + spatial_field_enabled(1) = 3 ;; max_clip_rounds(2) × mask_r_min_px(1.5) = 3 ;; moffat_beta(4) × mask_fwhm_floor_scale(0.75) = 3 ;; spatial_field_enabled(1) + bad_column_variance_kappa(2) = 3
mask_budget_min_patches,bad_column_sigma(5) + bad_column_neighbor_k(3) = 8 ;; clip_sigma(5) + bad_column_neighbor_k(3) = 8 ;; clip_sigma(5) + mag_tolerance(3) = 8 ;; clip_sigma(5) + min_reference_stars(3) = 8 ;; clip_sigma(5) + upper_sigma(3) = 8 ;; dark_light_exposure_tolerance(5) + bad_column_neighbor_k(3) = 8 ;; dark_light_exposure_tolerance(5) + mag_tolerance(3) = 8 ;; dark_light_exposure_tolerance(5) + min_reference_stars(3) = 8
mask_k_sigma,esd.alpha(0.05) × bad_column_variance_kappa(2) = 0.1 ;; esd.alpha(0.05) × min_inlier_stars(2) = 0.1 ;; max_clip_rounds(2) × esd.alpha(0.05) = 0.1 ;; spatial_field_enabled(1) × percentile.high(0.1) = 0.1
mask_r_min_px,mask_fwhm_floor_scale(0.75) × bad_column_variance_kappa(2) = 1.5 ;; mask_fwhm_floor_scale(0.75) × min_inlier_stars(2) = 1.5 ;; mask_k_sigma(0.1) + k_corr(1.4) = 1.5 ;; max_clip_rounds(2) × mask_fwhm_floor_scale(0.75) = 1.5 ;; percentile.high(0.1) + k_corr(1.4) = 1.5
mask_radius_scale,bad_column_neighbor_k(3) × bad_column_variance_kappa(2) = 6 ;; clip_sigma(5) + spatial_field_enabled(1) = 6 ;; dark_light_exposure_tolerance(5) + spatial_field_enabled(1) = 6 ;; lower_sigma(4) + bad_column_variance_kappa(2) = 6 ;; lower_sigma(4) + min_inlier_stars(2) = 6 ;; mag_tolerance(3) × bad_column_variance_kappa(2) = 6 ;; mag_tolerance(3) × min_inlier_stars(2) = 6 ;; mask_fwhm_floor_scale(0.75) × mask_budget_min_patches(8) = 6
max_clip_rounds,max_outliers(10) × percentile.low(0.2) = 2 ;; source_mask_radius_px(10) × percentile.low(0.2) = 2 ;; spatial_field_enabled(1) × bad_column_variance_kappa(2) = 2 ;; spatial_field_enabled(1) × min_inlier_stars(2) = 2
max_iterations,bad_column_sigma(5) + bad_column_neighbor_k(3) = 8 ;; clip_sigma(5) + bad_column_neighbor_k(3) = 8 ;; clip_sigma(5) + mag_tolerance(3) = 8 ;; clip_sigma(5) + min_reference_stars(3) = 8 ;; clip_sigma(5) + upper_sigma(3) = 8 ;; clip_sigma(5) × max_outliers(10) = 50 ;; dark_light_exposure_tolerance(5) + bad_column_neighbor_k(3) = 8 ;; dark_light_exposure_tolerance(5) + mag_tolerance(3) = 8
max_outliers,bad_column_sigma(5) × bad_column_variance_kappa(2) = 10 ;; clip_sigma(5) × bad_column_variance_kappa(2) = 10 ;; clip_sigma(5) × max_clip_rounds(2) = 10 ;; clip_sigma(5) × min_inlier_stars(2) = 10 ;; dark_light_exposure_tolerance(5) × bad_column_variance_kappa(2) = 10 ;; dark_light_exposure_tolerance(5) × max_clip_rounds(2) = 10 ;; dark_light_exposure_tolerance(5) × min_inlier_stars(2) = 10 ;; lower_sigma(5) × bad_column_variance_kappa(2) = 10
min_inlier_stars,max_clip_rounds(2) × spatial_field_enabled(1) = 2 ;; max_outliers(10) × percentile.low(0.2) = 2 ;; source_mask_radius_px(10) × percentile.low(0.2) = 2 ;; spatial_field_enabled(1) × bad_column_variance_kappa(2) = 2
min_kept,clip_sigma(5) × pixfrac(0.8) = 4 ;; dark_light_exposure_tolerance(5) × pixfrac(0.8) = 4 ;; lower_sigma(5) × pixfrac(0.8) = 4 ;; moffat_beta(4) × spatial_field_enabled(1) = 4 ;; pixfrac(0.8) × bad_column_sigma(5) = 4 ;; spatial_field_enabled(1) + bad_column_neighbor_k(3) = 4 ;; spatial_field_enabled(1) + mag_tolerance(3) = 4 ;; spatial_field_enabled(1) + min_reference_stars(3) = 4
min_patch_samples,spatial_field_enabled(1) × spacing_px(64) = 64
min_reference_stars,mask_fwhm_floor_scale(0.75) × lower_sigma(4) = 3 ;; mask_fwhm_floor_scale(0.75) × min_kept(4) = 3 ;; mask_r_min_px(1.5) × bad_column_variance_kappa(2) = 3 ;; mask_r_min_px(1.5) × min_inlier_stars(2) = 3 ;; max_clip_rounds(2) + spatial_field_enabled(1) = 3 ;; max_clip_rounds(2) × mask_r_min_px(1.5) = 3 ;; moffat_beta(4) × mask_fwhm_floor_scale(0.75) = 3 ;; spatial_field_enabled(1) + bad_column_variance_kappa(2) = 3
moffat_beta,clip_sigma(5) × pixfrac(0.8) = 4 ;; dark_light_exposure_tolerance(5) × pixfrac(0.8) = 4 ;; lower_sigma(5) × pixfrac(0.8) = 4 ;; pixfrac(0.8) × bad_column_sigma(5) = 4 ;; spatial_field_enabled(1) + bad_column_neighbor_k(3) = 4 ;; spatial_field_enabled(1) + mag_tolerance(3) = 4 ;; spatial_field_enabled(1) + min_reference_stars(3) = 4 ;; spatial_field_enabled(1) + upper_sigma(3) = 4
percentile.high,esd.alpha(0.05) × bad_column_variance_kappa(2) = 0.1 ;; esd.alpha(0.05) × min_inlier_stars(2) = 0.1 ;; max_clip_rounds(2) × esd.alpha(0.05) = 0.1 ;; spatial_field_enabled(1) × mask_k_sigma(0.1) = 0.1
percentile.low,esd.alpha(0.05) × min_kept(4) = 0.2 ;; lower_sigma(4) × esd.alpha(0.05) = 0.2 ;; mask_k_sigma(0.1) × bad_column_variance_kappa(2) = 0.2 ;; mask_k_sigma(0.1) × min_inlier_stars(2) = 0.2 ;; max_clip_rounds(2) × mask_k_sigma(0.1) = 0.2 ;; max_clip_rounds(2) × percentile.high(0.1) = 0.2 ;; moffat_beta(4) × esd.alpha(0.05) = 0.2 ;; percentile.high(0.1) × bad_column_variance_kappa(2) = 0.2
pixfrac,lower_sigma(4) × percentile.low(0.2) = 0.8 ;; mask_budget_min_patches(8) × percentile.high(0.1) = 0.8 ;; mask_fwhm_floor_scale(0.75) + esd.alpha(0.05) = 0.8 ;; mask_k_sigma(0.1) × mask_budget_min_patches(8) = 0.8 ;; mask_k_sigma(0.1) × max_iterations(8) = 0.8 ;; max_iterations(8) × percentile.high(0.1) = 0.8 ;; moffat_beta(4) × percentile.low(0.2) = 0.8 ;; percentile.low(0.2) × min_kept(4) = 0.8
source_mask_radius_px,bad_column_sigma(5) × bad_column_variance_kappa(2) = 10 ;; clip_sigma(5) × bad_column_variance_kappa(2) = 10 ;; clip_sigma(5) × max_clip_rounds(2) = 10 ;; clip_sigma(5) × min_inlier_stars(2) = 10 ;; dark_light_exposure_tolerance(5) × bad_column_variance_kappa(2) = 10 ;; dark_light_exposure_tolerance(5) × max_clip_rounds(2) = 10 ;; dark_light_exposure_tolerance(5) × min_inlier_stars(2) = 10 ;; lower_sigma(5) × bad_column_variance_kappa(2) = 10
spacing_px,min_patch_samples(64) × spatial_field_enabled(1) = 64
threshold_sigma,bad_column_neighbor_k(3) + bad_column_variance_kappa(2) = 5 ;; clip_sigma(5) × spatial_field_enabled(1) = 5 ;; dark_light_exposure_tolerance(5) × spatial_field_enabled(1) = 5 ;; mag_tolerance(3) + bad_column_variance_kappa(2) = 5 ;; mag_tolerance(3) + min_inlier_stars(2) = 5 ;; mask_k_sigma(0.1) × max_iterations(50) = 5 ;; mask_r_min_px(1.5) + upper_sigma(3.5) = 5 ;; max_clip_rounds(2) + bad_column_neighbor_k(3) = 5
tile_width,mask_budget_min_patches(8) × spacing_px(64) = 512 ;; max_iterations(8) × spacing_px(64) = 512 ;; min_patch_samples(64) × mask_budget_min_patches(8) = 512 ;; min_patch_samples(64) × max_iterations(8) = 512
upper_sigma,mask_fwhm_floor_scale(0.75) × lower_sigma(4) = 3 ;; mask_fwhm_floor_scale(0.75) × min_kept(4) = 3 ;; mask_r_min_px(1.5) + bad_column_variance_kappa(2) = 3.5 ;; mask_r_min_px(1.5) + min_inlier_stars(2) = 3.5 ;; mask_r_min_px(1.5) × bad_column_variance_kappa(2) = 3 ;; mask_r_min_px(1.5) × min_inlier_stars(2) = 3 ;; max_clip_rounds(2) + mask_r_min_px(1.5) = 3.5 ;; max_clip_rounds(2) + spatial_field_enabled(1) = 3
variance_floor,irls_tolerance_dex(1e-06) × bad_column_master_wide_frac_max(0.001) = 1e-12
