group	side	ckey	rawpath	value	site
dark_light_exposure_tolerance	S1_defaults.json	dark_light_exposure_tolerance	calibration.dark_light_exposure_tolerance	5	eng/packaging/config/defaults.json#fields[key=calibration.dark_light_exposure_tolerance]
master_flat_median_range	S1_defaults.json	master_flat_median_range	calibration.master_flat_median_range	[0.5,2.0]	eng/packaging/config/defaults.json#fields[key=calibration.master_flat_median_range]
threshold_sigma	S1_defaults.json	threshold_sigma	detection.threshold_sigma	5.0	eng/packaging/config/defaults.json#fields[key=detection.threshold_sigma]
default_model	S1_defaults.json	default_model	psf.default_model	"moffat4"	eng/packaging/config/defaults.json#fields[key=psf.default_model]
moffat_beta	S1_defaults.json	moffat_beta	psf.moffat_beta	4.0	eng/packaging/config/defaults.json#fields[key=psf.moffat_beta]
patch_grid	S1_defaults.json	patch_grid	noise.patch_grid	[8,8]	eng/packaging/config/defaults.json#fields[key=noise.patch_grid]
source_mask_radius_px	S1_defaults.json	source_mask_radius_px	noise.source_mask_radius_px	10	eng/packaging/config/defaults.json#fields[key=noise.source_mask_radius_px]
mask_radius_scale	S1_defaults.json	mask_radius_scale	noise.mask_radius_scale	6	eng/packaging/config/defaults.json#fields[key=noise.mask_radius_scale]
clip_sigma	S1_defaults.json	clip_sigma	noise.clip_sigma	5.0	eng/packaging/config/defaults.json#fields[key=noise.clip_sigma]
min_patch_samples	S1_defaults.json	min_patch_samples	noise.min_patch_samples	64	eng/packaging/config/defaults.json#fields[key=noise.min_patch_samples]
max_clip_rounds	S1_defaults.json	max_clip_rounds	noise.max_clip_rounds	2	eng/packaging/config/defaults.json#fields[key=noise.max_clip_rounds]
saturation_level	S1_defaults.json	saturation_level	noise.saturation_level	0	eng/packaging/config/defaults.json#fields[key=noise.saturation_level]
spatial_field_enabled	S1_defaults.json	spatial_field_enabled	noise.spatial_field_enabled	1	eng/packaging/config/defaults.json#fields[key=noise.spatial_field_enabled]
variance_floor	S1_defaults.json	variance_floor	noise.variance_floor	1e-12	eng/packaging/config/defaults.json#fields[key=noise.variance_floor]
mask_k_sigma	S1_defaults.json	mask_k_sigma	noise.mask_k_sigma	0.1	eng/packaging/config/defaults.json#fields[key=noise.mask_k_sigma]
mask_r_min_px	S1_defaults.json	mask_r_min_px	noise.mask_r_min_px	1.5	eng/packaging/config/defaults.json#fields[key=noise.mask_r_min_px]
mask_fwhm_floor_scale	S1_defaults.json	mask_fwhm_floor_scale	noise.mask_fwhm_floor_scale	0.75	eng/packaging/config/defaults.json#fields[key=noise.mask_fwhm_floor_scale]
mask_budget_min_patches	S1_defaults.json	mask_budget_min_patches	noise.mask_budget_min_patches	8	eng/packaging/config/defaults.json#fields[key=noise.mask_budget_min_patches]
mask_budget_min_sky	S1_defaults.json	mask_budget_min_sky	noise.mask_budget_min_sky	9216	eng/packaging/config/defaults.json#fields[key=noise.mask_budget_min_sky]
lower_sigma	S1_defaults.json	lower_sigma	rejection.sigma.lower_sigma	4.0	eng/packaging/config/defaults.json#fields[key=rejection.sigma.lower_sigma]
upper_sigma	S1_defaults.json	upper_sigma	rejection.sigma.upper_sigma	3.0	eng/packaging/config/defaults.json#fields[key=rejection.sigma.upper_sigma]
max_iterations	S1_defaults.json	max_iterations	rejection.sigma.max_iterations	8	eng/packaging/config/defaults.json#fields[key=rejection.sigma.max_iterations]
lower_sigma	S1_defaults.json	lower_sigma	rejection.winsorized.lower_sigma	4.0	eng/packaging/config/defaults.json#fields[key=rejection.winsorized.lower_sigma]
upper_sigma	S1_defaults.json	upper_sigma	rejection.winsorized.upper_sigma	3.0	eng/packaging/config/defaults.json#fields[key=rejection.winsorized.upper_sigma]
max_iterations	S1_defaults.json	max_iterations	rejection.winsorized.max_iterations	8	eng/packaging/config/defaults.json#fields[key=rejection.winsorized.max_iterations]
lower_sigma	S1_defaults.json	lower_sigma	rejection.averaged_sigma.lower_sigma	4.0	eng/packaging/config/defaults.json#fields[key=rejection.averaged_sigma.lower_sigma]
upper_sigma	S1_defaults.json	upper_sigma	rejection.averaged_sigma.upper_sigma	3.0	eng/packaging/config/defaults.json#fields[key=rejection.averaged_sigma.upper_sigma]
max_iterations	S1_defaults.json	max_iterations	rejection.averaged_sigma.max_iterations	8	eng/packaging/config/defaults.json#fields[key=rejection.averaged_sigma.max_iterations]
lower_sigma	S1_defaults.json	lower_sigma	rejection.linear_fit.lower_sigma	5.0	eng/packaging/config/defaults.json#fields[key=rejection.linear_fit.lower_sigma]
upper_sigma	S1_defaults.json	upper_sigma	rejection.linear_fit.upper_sigma	3.5	eng/packaging/config/defaults.json#fields[key=rejection.linear_fit.upper_sigma]
max_iterations	S1_defaults.json	max_iterations	rejection.linear_fit.max_iterations	8	eng/packaging/config/defaults.json#fields[key=rejection.linear_fit.max_iterations]
esd.alpha	S1_defaults.json	esd.alpha	rejection.esd.alpha	0.05	eng/packaging/config/defaults.json#fields[key=rejection.esd.alpha]
max_outliers	S1_defaults.json	max_outliers	rejection.esd.max_outliers	10	eng/packaging/config/defaults.json#fields[key=rejection.esd.max_outliers]
percentile.low	S1_defaults.json	percentile.low	rejection.percentile.low	0.2	eng/packaging/config/defaults.json#fields[key=rejection.percentile.low]
percentile.high	S1_defaults.json	percentile.high	rejection.percentile.high	0.1	eng/packaging/config/defaults.json#fields[key=rejection.percentile.high]
min_kept	S1_defaults.json	min_kept	rejection.minmax.min_kept	4	eng/packaging/config/defaults.json#fields[key=rejection.minmax.min_kept]
large_scale.enabled	S1_defaults.json	large_scale.enabled	rejection.large_scale.enabled	false	eng/packaging/config/defaults.json#fields[key=rejection.large_scale.enabled]
mag_tolerance	S1_defaults.json	mag_tolerance	photometry.mag_tolerance	3.0	eng/packaging/config/defaults.json#fields[key=photometry.mag_tolerance]
tukey_c	S1_defaults.json	tukey_c	photometry.tukey_c	4.685	eng/packaging/config/defaults.json#fields[key=photometry.tukey_c]
max_iterations	S1_defaults.json	irls_max_iterations	photometry.irls_max_iterations	50	eng/packaging/config/defaults.json#fields[key=photometry.irls_max_iterations]
irls_tolerance_dex	S1_defaults.json	irls_tolerance_dex	photometry.irls_tolerance_dex	1e-06	eng/packaging/config/defaults.json#fields[key=photometry.irls_tolerance_dex]
min_reference_stars	S1_defaults.json	min_reference_stars	photometry.min_reference_stars	3	eng/packaging/config/defaults.json#fields[key=photometry.min_reference_stars]
min_inlier_stars	S1_defaults.json	min_inlier_stars	photometry.min_inlier_stars	2	eng/packaging/config/defaults.json#fields[key=photometry.min_inlier_stars]
precision	S1_defaults.json	precision	precision	"fp64"	eng/packaging/config/defaults.json#fields[key=precision.default]
k_corr	S1_defaults.json	k_corr	upm.k_corr	1.4	eng/packaging/config/defaults.json#fields[key=upm.k_corr]
tile_width	S1_defaults.json	tile_width	hips.tile_width	512	eng/packaging/config/defaults.json#fields[key=hips.tile_width]
pixfrac	S1_defaults.json	pixfrac	drizzle.pixfrac	0.8	eng/packaging/config/defaults.json#fields[key=drizzle.pixfrac]
sparse_snr.density	S1_defaults.json	sparse_snr.density	sparse_snr.density	null	eng/packaging/config/defaults.json#fields[key=sparse_snr.density]
spacing_px	S1_defaults.json	spacing_px	sparse_snr.spacing_px	64	eng/packaging/config/defaults.json#fields[key=sparse_snr.spacing_px]
snr.path	S1_defaults.json	snr.path	snr.path	"sparse_reconstruct"	eng/packaging/config/defaults.json#fields[key=snr.path]
rd	S1_defaults.json	rd	scalar_gate.rd	null	eng/packaging/config/defaults.json#fields[key=scalar_gate.rd]
trend	S1_defaults.json	trend	scalar_gate.trend	null	eng/packaging/config/defaults.json#fields[key=scalar_gate.trend]
gaia_root	S1_defaults.json	gaia_root	paths.gaia_root	"gaia"	eng/packaging/config/defaults.json#fields[key=paths.gaia_root]
bad_column_enabled	S1_defaults.json	bad_column_enabled	cosmetic.bad_column_enabled	true	eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_enabled]
bad_column_sigma	S1_defaults.json	bad_column_sigma	cosmetic.bad_column_sigma	5.0	eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_sigma]
bad_column_neighbor_k	S1_defaults.json	bad_column_neighbor_k	cosmetic.bad_column_neighbor_k	3	eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_neighbor_k]
bad_column_sigma_master	S1_defaults.json	bad_column_sigma_master	cosmetic.bad_column_sigma_master	10.5	eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_sigma_master]
bad_column_variance_kappa	S1_defaults.json	bad_column_variance_kappa	cosmetic.bad_column_variance_kappa	2.0	eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_variance_kappa]
bad_column_master_wide_frac_max	S1_defaults.json	bad_column_master_wide_frac_max	cosmetic.bad_column_master_wide_frac_max	0.001	eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_master_wide_frac_max]
schema_version	S2_出厂模板	schema_version	schema_version	"1"	eng/packaging/config/templates/export.phase_config.json#schema_version
blocks.name	S2_出厂模板	blocks.name	blocks.name	"e1"	eng/packaging/config/templates/export.phase_config.json#blocks.[].name
hips_dir	S2_出厂模板	hips_dir	blocks.source.hips_dir	"path/to/mosaic_hips"	eng/packaging/config/templates/export.phase_config.json#blocks.[].source.hips_dir
output_dir	S2_出厂模板	output_dir	blocks.output_dir	"path/to/out/export"	eng/packaging/config/templates/export.phase_config.json#blocks.[].output_dir
ra_deg	S2_出厂模板	ra_deg	blocks.center.ra_deg	0.0	eng/packaging/config/templates/export.phase_config.json#blocks.[].center.ra_deg
dec_deg	S2_出厂模板	dec_deg	blocks.center.dec_deg	0.0	eng/packaging/config/templates/export.phase_config.json#blocks.[].center.dec_deg
width_px	S2_出厂模板	width_px	blocks.width_px	1024	eng/packaging/config/templates/export.phase_config.json#blocks.[].width_px
height_px	S2_出厂模板	height_px	blocks.height_px	1024	eng/packaging/config/templates/export.phase_config.json#blocks.[].height_px
scale_deg_per_px	S2_出厂模板	scale_deg_per_px	blocks.scale_deg_per_px	0.001	eng/packaging/config/templates/export.phase_config.json#blocks.[].scale_deg_per_px
rotation_deg	S2_出厂模板	rotation_deg	blocks.rotation_deg	0.0	eng/packaging/config/templates/export.phase_config.json#blocks.[].rotation_deg
crpix_px	S2_出厂模板	crpix_px	blocks.crpix_px	[512.5,512.5]	eng/packaging/config/templates/export.phase_config.json#blocks.[].crpix_px
output_mode	S2_出厂模板	output_mode	blocks.output_mode	"surface_brightness"	eng/packaging/config/templates/export.phase_config.json#blocks.[].output_mode
schema_version	S2_出厂模板	schema_version	schema_version	"1"	eng/packaging/config/templates/mosaic.phase_config.json#schema_version
blocks.name	S2_出厂模板	blocks.name	blocks.name	"m1"	eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].name
hips_paths	S2_出厂模板	hips_paths	blocks.hips_paths	["path/to/p1_hips_a","path/to/p1_hips_b"]	eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].hips_paths
output_dir	S2_出厂模板	output_dir	blocks.output_dir	"path/to/out/mosaic"	eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].output_dir
snr.path	S2_出厂模板	snr_path	blocks.snr_path	"sparse_reconstruct"	eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].snr_path
schema_version	S2_出厂模板	schema_version	schema_version	"1"	eng/packaging/config/templates/normalize.phase_config.json#schema_version
blocks.name	S2_出厂模板	blocks.name	blocks.name	"red"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].name
input_lights	S2_出厂模板	input_lights	blocks.input_lights	["path/to/light1.fits","path/to/light2.fits"]	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].input_lights
master_bias	S2_出厂模板	master_bias	blocks.master_bias	"path/to/bias.fits"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].master_bias
master_dark	S2_出厂模板	master_dark	blocks.master_dark	"path/to/dark.fits"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].master_dark
master_flat	S2_出厂模板	master_flat	blocks.master_flat	"path/to/flat_red.fits"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].master_flat
output_dir	S2_出厂模板	output_dir	blocks.output_dir	"path/to/out/red"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].output_dir
drizzle.nested	S2_出厂模板	drizzle.nested	blocks.drizzle.nested	1	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.nested
pixfrac	S2_出厂模板	pixfrac	blocks.drizzle.pixfrac	0.8	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.pixfrac
precision_mode	S2_出厂模板	precision_mode	blocks.drizzle.precision_mode	1	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.precision_mode
filter_passband	S2_出厂模板	filter_passband	blocks.filter_passband	"Baader R"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].filter_passband
gaia_data_dir	S2_出厂模板	gaia_data_dir	blocks.wcs.gaia_data_dir	"path/to/gaia"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].wcs.gaia_data_dir
blocks.name	S2_出厂模板	blocks.name	blocks.name	"ha"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].name
input_lights	S2_出厂模板	input_lights	blocks.input_lights	["path/to/light3.fits"]	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].input_lights
master_bias	S2_出厂模板	master_bias	blocks.master_bias	"path/to/bias.fits"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].master_bias
master_dark	S2_出厂模板	master_dark	blocks.master_dark	"path/to/dark.fits"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].master_dark
master_flat	S2_出厂模板	master_flat	blocks.master_flat	"path/to/flat_ha.fits"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].master_flat
output_dir	S2_出厂模板	output_dir	blocks.output_dir	"path/to/out/ha"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].output_dir
drizzle.nested	S2_出厂模板	drizzle.nested	blocks.drizzle.nested	1	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.nested
pixfrac	S2_出厂模板	pixfrac	blocks.drizzle.pixfrac	0.8	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.pixfrac
precision_mode	S2_出厂模板	precision_mode	blocks.drizzle.precision_mode	1	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.precision_mode
filter_passband	S2_出厂模板	filter_passband	blocks.filter_passband	"Baader 7nm H-alpha"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].filter_passband
gaia_data_dir	S2_出厂模板	gaia_data_dir	blocks.wcs.gaia_data_dir	"path/to/gaia"	eng/packaging/config/templates/normalize.phase_config.json#blocks.[].wcs.gaia_data_dir
schema_version	S3_CLI骨架	schema_version	schema_version	"1"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).schema_version
name	S3_CLI骨架	name	name	"red"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).name
input_lights	S3_CLI骨架	input_lights	input_lights	["path/to/light1.fits","path/to/light2.fits"]	lib/infrastructure/cli/session_commands.h#config_fields(normalize).input_lights
master_bias	S3_CLI骨架	master_bias	master_bias	"path/to/bias.fits"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).master_bias
master_dark	S3_CLI骨架	master_dark	master_dark	"path/to/dark.fits"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).master_dark
master_flat	S3_CLI骨架	master_flat	master_flat	"path/to/flat_red.fits"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).master_flat
output_dir	S3_CLI骨架	output_dir	output_dir	"path/to/out/red"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).output_dir
storage_form	S3_CLI骨架	storage_form	storage_form	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(normalize).storage_form
drizzle	S3_CLI骨架	drizzle	drizzle	{"nested": 1, "pixfrac": 1.0, "precision_mode": 1}	lib/infrastructure/cli/session_commands.h#config_fields(normalize).drizzle
drizzle.nested	S3_CLI骨架	drizzle.nested	drizzle.nested	1	lib/infrastructure/cli/session_commands.h#config_fields(normalize).drizzle
pixfrac	S3_CLI骨架	pixfrac	drizzle.pixfrac	1.0	lib/infrastructure/cli/session_commands.h#config_fields(normalize).drizzle
precision_mode	S3_CLI骨架	precision_mode	drizzle.precision_mode	1	lib/infrastructure/cli/session_commands.h#config_fields(normalize).drizzle
filter_passband	S3_CLI骨架	filter_passband	filter_passband	"Baader R"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).filter_passband
wcs	S3_CLI骨架	wcs	wcs	{"gaia_data_dir": "path/to/gaia"}	lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs
gaia_data_dir	S3_CLI骨架	gaia_data_dir	wcs.gaia_data_dir	"path/to/gaia"	lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs
init_source	S3_CLI骨架	init_source	wcs.init_source	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs.init_source
snr	S3_CLI骨架	snr	snr	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(normalize).snr
star_detection	S3_CLI骨架	star_detection	star_detection	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(normalize).star_detection
schema_version	S3_CLI骨架	schema_version	schema_version	"1"	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).schema_version
hips_paths	S3_CLI骨架	hips_paths	hips_paths	[]	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).hips_paths
coverage_index	S3_CLI骨架	coverage_index	coverage_index	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).coverage_index
output_dir	S3_CLI骨架	output_dir	output_dir	"."	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).output_dir
snr.path	S3_CLI骨架	snr_path	snr_path	"sparse_reconstruct"	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).snr_path
upm	S3_CLI骨架	upm	upm	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).upm
