# 列: tot=全仓命中(排除 artifacts/**)  lib=lib/**  eng=eng/**  docs=docs/**  exp=实验/**+testdata/**
# 模式列见 patterns.txt（泛名一律带词边界或窄化模式；不带词边界的裸名会前缀误吞，见 md 5(2)）
sigma_floor            tot=165   lib=63   eng=6    docs=25   exp=71 
snr                    tot=94    lib=67   eng=20   docs=1    exp=6  
max_rel                tot=284   lib=120  eng=98   docs=8    exp=58 
read_noise_e           tot=348   lib=38   eng=19   docs=15   exp=276
dark                   tot=10    lib=0    eng=9    docs=0    exp=1  
bias_dark              tot=33    lib=17   eng=16   docs=0    exp=0  
closure_rel_tol        tot=14    lib=11   eng=3    docs=0    exp=0  
gain                   tot=16    lib=7    eng=8    docs=0    exp=1  
photometric_scale_a    tot=9     lib=4    eng=5    docs=0    exp=0  
scale                  tot=2     lib=1    eng=1    docs=0    exp=0  
max_pt                 tot=8     lib=5    eng=3    docs=0    exp=0  
iterativeClipSigma     tot=23    lib=17   eng=2    docs=3    exp=1  
fwhmClipSigma          tot=32    lib=25   eng=2    docs=4    exp=1  
kLimit                 tot=8     lib=4    eng=4    docs=0    exp=0  
scale_deg_per_px       tot=143   lib=55   eng=70   docs=16   exp=2  
limit                  tot=1     lib=0    eng=1    docs=0    exp=0  
cpu_percent            tot=109   lib=15   eng=92   docs=2    exp=0  
cpu_p50_percent        tot=22    lib=7    eng=15   docs=0    exp=0  
cpu_mean_percent       tot=26    lib=11   eng=15   docs=0    exp=0  
iowait_percent         tot=14    lib=5    eng=9    docs=0    exp=0  
active_window_seconds  tot=29    lib=19   eng=9    docs=0    exp=0  
mem_bandwidth_percent  tot=8     lib=2    eng=6    docs=0    exp=0  
max_dev0               tot=3     lib=0    eng=3    docs=0    exp=0  
kPxScaleDeg            tot=4     lib=2    eng=2    docs=0    exp=0  
min_sep_px             tot=9     lib=0    eng=5    docs=0    exp=4  
max_recip              tot=7     lib=0    eng=7    docs=0    exp=0  
r_scaled               tot=9     lib=0    eng=9    docs=0    exp=0  
frac_scaled            tot=5     lib=0    eng=5    docs=0    exp=0  
gain_e_per_adu         tot=258   lib=42   eng=13   docs=8    exp=195
scale_deg              tot=211   lib=95   eng=77   docs=17   exp=22 
hips_pixel_scale       tot=26    lib=12   eng=7    docs=7    exp=0  
FX_SIGMA               tot=2     lib=0    eng=2    docs=0    exp=0  
gain_variance          tot=84    lib=39   eng=23   docs=17   exp=5  
sigma_true             tot=421   lib=22   eng=11   docs=0    exp=388
sigma                  tot=2     lib=0    eng=2    docs=0    exp=0  
kZPsyn                 tot=3     lib=0    eng=3    docs=0    exp=0  
zpk                    tot=3     lib=0    eng=2    docs=0    exp=1  
snrf                   tot=2     lib=0    eng=2    docs=0    exp=0  
expect_zp              tot=3     lib=0    eng=3    docs=0    exp=0  
ZP_k                   tot=34    lib=10   eng=5    docs=13   exp=3  
kRealSky               tot=11    lib=7    eng=4    docs=0    exp=0  
fwhm_px                tot=437   lib=66   eng=30   docs=1    exp=340
sigma_sky_adu          tot=157   lib=16   eng=17   docs=4    exp=120
sigma_logflux_dex      tot=34    lib=27   eng=5    docs=2    exp=0  
legacy_dex             tot=2     lib=0    eng=2    docs=0    exp=0  
tol                    tot=7     lib=4    eng=1    docs=0    exp=2  
kGaussFwhmFactor       tot=20    lib=11   eng=6    docs=0    exp=3  
kMoffat4FwhmFactor     tot=47    lib=31   eng=7    docs=0    exp=9  
snr_optimal            tot=90    lib=17   eng=9    docs=0    exp=64 
sigma_f                tot=55    lib=4    eng=7    docs=0    exp=44 
