group,config,N,k_corr,k_shape,k_geom,mean_nn_corr
G3,compact_nearest,5,2.0496573923258294,1.7005095438413962,1.205319546572917,0.13682996595632954
G3,compact_nearest,9,1.6137167147594784,1.2578288562295246,1.2829382207025886,0.12110455854520295
G3,compact_nearest,17,1.437287429568675,1.1052628635087378,1.3004032588283125,0.11126979877518167
G3,compact_nearest,25,1.3952263204195081,1.0908005321265766,1.279084744943639,0.11957579915946671
G3,compact_nearest,49,1.2776803841213833,1.0470441764154732,1.2202736168167103,0.11828101970829523
G3,compact_nearest,81,1.2804084741285022,1.0196318603993864,1.2557556544250887,0.11638727284781082
G3,compact_nearest,121,1.332035505095574,1.0250807511947984,1.2994444618562975,0.12006421419592102
G3,compact_nearest,169,1.3310838247946977,1.014658722698112,1.3118537248220459,0.1211191094647367
G3,compact_nearest,225,1.4101123723414126,0.9864422730678515,1.4294930487477389,0.12745394758569642
G3,cross5,5,1.884486288875088,1.6532810840640548,1.1398462772238886,0.09814961274510758
G3,line5,5,1.8771795331705818,1.6777197165581448,1.1188874486267768,0.10540102359604797
G3,far5,5,1.5433825834506767,1.5367790165460495,1.004297017875393,
G4,"rho=0.5000,pf=0.5",1560,3.9132985668453744,1.000903707087016,3.9097652842494295,
G4,"rho=0.5000,pf=0.7",1600,4.23130345238032,1.04797019829728,4.037618110949389,
G4,"rho=0.5000,pf=0.8",1600,4.199256213804769,0.9512106750916713,4.414643699620036,
G4,"rho=0.5000,pf=1.0",1640,4.97914501049537,0.9209629473557952,5.406455302888292,
G4,"rho=0.7071,pf=0.5",784,2.5228776841837983,0.9792780759626185,2.576262806357469,
G4,"rho=0.7071,pf=0.7",812,2.630737407737024,0.9684351431875321,2.7164827982988595,
G4,"rho=0.7071,pf=0.8",812,2.7374479237965748,0.9647542464968051,2.837456205802397,
G4,"rho=0.7071,pf=1.0",841,2.9572282521725564,0.9482832506008696,3.118507313398966,
G4,"rho=1.0000,pf=0.5",400,1.088954068218847,0.9901830018407946,1.0997503150371524,
G4,"rho=1.0000,pf=0.7",400,1.124419437736253,1.0383795130595075,1.0828598056824479,
G4,"rho=1.0000,pf=0.8",400,1.0452201913179555,0.9223957348530504,1.1331580923717874,
G4,"rho=1.0000,pf=1.0",420,1.433865255306743,0.9804654481223051,1.462433233167723,
G4,"rho=1.3742,pf=0.5",225,1.1533629603531397,1.0099007958820831,1.1420556999816518,
G4,"rho=1.3742,pf=0.7",225,1.2810772376679276,0.9859885871338557,1.2992820144012591,
G4,"rho=1.3742,pf=0.8",225,1.3681779538155732,1.0330325285724162,1.3244287241431847,
G4,"rho=1.3742,pf=1.0",225,1.3580480922036682,1.0704165434286967,1.268709924693098,
G4,"rho=2.0000,pf=0.5",100,1.0462368346801512,1.052258885138787,0.994277025793095,
G4,"rho=2.0000,pf=0.7",100,1.05352917852586,1.0212162134440448,1.0316416491007716,
G4,"rho=2.0000,pf=0.8",100,1.049101716700409,0.9816902808442594,1.0686687412227158,
G4,"rho=2.0000,pf=1.0",110,1.3077209841013522,1.0215729927232373,1.2801052821642454,
G5,frames=1,225,1.4243549597509508,1.0229013968306815,1.3924655535363601,
G5,frames=2,225,1.3382790150333612,1.0837960633916432,1.2348070455666136,
G5,frames=4,225,1.3281062650538609,0.9851296538663991,1.3481537783796889,
