# 批次 C-08｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
snr	6	名含科学/阈值语素、跨 12 文件共享、登记了单位（即被判为物理量）	14	lib/infrastructure/scheduler/src/mosaic_window.cpp:46|10.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sampler.cpp:1087|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/stage2.cpp:466|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
gain	6	名含科学/阈值语素、跨 6 文件共享、登记了单位（即被判为物理量）	7	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:243|1.5|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:84|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/stage2.cpp:1166|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
maxAxisRatio	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/star_detection/src/sdet_api.cpp:1002|2.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/test/sdet_fp64_test.cpp:60|2.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/test/sdet_saturation_cursor_test.cpp:120|2.0f|未标注|无来源（行内字面量，未见文档/文献锚）
tolerance	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	5	lib/algorithms/coverage/src/sky_plane.cpp:518|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/upm.cpp:291|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/upm.cpp:2461|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
scale_arcsec	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/coverage/src/sampler.cpp:123|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sampler.cpp:140|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:130|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
drop_area	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:53|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.h:267|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:46|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
radius	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/psf/src/dpsf_image.cpp:29|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_detector.cpp:26|.1f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_image.cpp:31|3.0|未标注|无来源（行内字面量，未见文档/文献锚）
ACS_DIAG_MAX_UTF8	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/abi/lifecycle_v1.h:200|4096u|未标注|无来源（代码内字面量，未见文档/文献锚）
kFlatMedianBandLo	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/core/master_unit_guard.h:34|0.5|未标注|无来源（代码内字面量，未见文档/文献锚）
const	5	跨 4 文件共享、位点在配置或公共头、登记了单位（即被判为物理量）	19	lib/include/astrocs/core/runtime.h:59|0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/include/astrocs/core/runtime.h:63|0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/include/astrocs/core/runtime.h:84|0|未标注|无来源（代码内字面量，未见文档/文献锚）
max_vote	4	名含科学/阈值语素、登记了单位（即被判为物理量）	7	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:355|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:462|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:598|.2f|未标注|无来源（行内字面量，未见文档/文献锚）
max_angle	4	名含科学/阈值语素、登记了单位（即被判为物理量）	4	lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1114|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1510|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1606|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
