# 批次 CIT-01｜18 条未核引用（P-1 优先）｜判据见 独立审计/派单规程/DISPATCH-CIT-PREAMBLE.md
# 列：序号	优先级	命中次数	引用件	类型	代表位点(断言所在处)
19	P-1	6	DOI 10.1080/03610927708827533	DOI/DOI-url	docs/algorithms/PLATESOLVE.md:196 ;; docs/references/SCIENTIFIC_REFERENCES.md:107 ;; docs/algorithms/PHASE2_SESSION.md:135
69	P-1	3	DOI 10.1017/S0252921100007685	DOI	实验/absolute-snr/docs/surveys/f-instr-survey.md:136 ;; 实验/absolute-snr/docs/surveys/f-instr-survey.md:29 ;; 实验/absolute-snr/docs/surveys/f-instr-survey
89	P-1	2	arXiv:1003.5613	arXiv	实验/absolute-snr/docs/EXP-06-SNR-PHYS.md:456 ;; 实验/absolute-snr/docs/EXP-06-SNR-PHYS.md:608
95	P-1	2	arXiv:1706.01542v1	arXiv	实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:201 ;; 实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:202
101	P-1	2	arXiv:2301.05793	arXiv	实验/absolute-snr/docs/EXP-02-STRUCTURE-CONTAMINATION.md:373 ;; 实验/absolute-snr/docs/EXP-02-STRUCTURE-CONTAMINATION.md:743
107	P-1	2	arXiv:astro-ph/9808087v2	arXiv	docs/algorithms/DRIZZLE_GEOMETRY.md:75 ;; docs/science/DRIZZLE.md:188
113	P-1	2	DOI 10.1086/117915	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:192 ;; docs/science/PHOTOMETRY.md:313
119	P-1	2	DOI 10.1088/0004-637X/756/2/158	DOI	实验/absolute-snr/docs/snr-propagation-design.md:1121 ;; 实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:118
125	P-1	2	DOI 10.21105/joss.00058	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:182 ;; 实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:74
131	P-1	2	DOI 10.6028/jres.070c.025	DOI	实验/absolute-snr/docs/snr-propagation-design.md:1127 ;; 实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:135
137	P-1	1	2010ASPC..442..435B	ADS-bibcode	docs/references/SCIENTIFIC_REFERENCES.md:38
143	P-1	1	arXiv:1008.0815	arXiv	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:203
149	P-1	1	arXiv:1612.05245	arXiv	实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:60
155	P-1	1	arXiv:2101.02242	arXiv	实验/absolute-snr/docs/surveys/frame-snr-survey.md:26
161	P-1	1	arXiv:2309.11533	arXiv	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:132
167	P-1	1	arXiv:2608.17922	arXiv	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:138
173	P-1	1	DOI 10.1007/978-3-662-26811-7_58。	DOI	docs/algorithms/PHASE2_SAMPLER.md:219
179	P-1	1	DOI 10.1051/0004-6361/201322746（逐字复述	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:167
