# 批次 CIT-11｜14 条未核引用（P-1 优先，按命中次数降序）｜判据见 独立审计/派单规程/DISPATCH-CIT-PREAMBLE.md
# 列：序号	优先级	命中次数	引用件	类型	代表位点(断言所在处)
189	P-1	1	DOI 10.1051/0004-6361/202243680；arXiv:2206.06143	DOI	docs/science/PHOTOMETRY.md:311
195	P-1	1	DOI 10.1051/0004-6361:20021326，arXiv:astro-ph/0207407	DOI	docs/science/ASTROMETRY.md:265
201	P-1	1	DOI 10.1080/03610927708827533（IRLS	DOI	docs/science/PHASE2_UPM.md:137
207	P-1	1	DOI 10.1086/131977，见	DOI	docs/references/SCIENTIFIC_REFERENCES.md:170
213	P-1	1	DOI 10.1086/133316	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:174
219	P-1	1	DOI 10.1086/316124，starlet	DOI	docs/science/NOISE_MODEL.md:370
225	P-1	1	DOI 10.1086/323894	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:218
231	P-1	1	DOI 10.1086/345491**	DOI	实验/absolute-snr/docs/surveys/f-instr-survey.md:35
237	P-1	1	DOI 10.1086/444553，端到端系统透过率	DOI	docs/science/PHOTOMETRY.md:313
243	P-1	1	DOI 10.1088/0004-637X/750/2/99	DOI	实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:120
249	P-1	1	DOI 10.1093/mnras/214.4.575	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:146
255	P-1	1	DOI 10.1093/pasj/psx126	DOI	docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:235
261	P-1	1	DOI 10.1111/j.1365-2966.2007.12550.x	DOI	实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:110
267	P-1	1	DOI 10.2352/ei.2023.35.6.iss-347	DOI	实验/shared/references/REVERSE_VERIFY_BIBLIOGRAPHY.md:48
