path,lines,h1,meta_block,frontmatter,upstream_pointer,dates,task_ids,commit_sha,sha256,history_narrative,dangling_links,unregistered_index,unreadable
ACCEPTANCE_SPEC.md,292,验收规范（Acceptance）,False,False,True,[],[],[],True,[121],['artifacts/acceptance/ACCEPTANCE_REPORT.md'],,
AGENTS.md,237,AGENTS.md — Astro Celestial Sphere Database（ACSD） 机器干活手册,False,False,True,[],[],[],False,[],[],,
ASTROCS_DESIGN.md,826,Astro Celestial Sphere Database（ACSD） 最高设计（Design Authority）,False,False,True,[],[],[],False,[],[],,
CONTROL_PACK_SPEC.md,224,Astro Celestial Sphere Database（ACSD） 控制包规范（Control Pack Specification）,False,False,True,[],['RELEASE-04'],[],False,[66],[],,
DEPENDENCIES.md,87,DEPENDENCIES.md — 工具链版本锁定 (QA-005 / BLD-001),False,False,True,[],[],[],False,[],[],,
ENGINEERING_SPEC.md,272,Astro Celestial Sphere Database（ACSD） 工程规范（Engineering Specification）,False,False,False,[],[],[],True,[160],[],,
FATDUCK_ACCESS.md,43,Fatduck Windows 验证节点接入说明（vm-bj → Fatduck）,False,False,False,[],[],[],False,[],[],,
README.md,130,Astro Celestial Sphere Database（ACSD） — 天文 CCD/CMOS 图像校准与标准化数据库,False,False,True,[],[],[],False,[],[],,
memory.md,110,ACSD 项目记忆（GOV-005 收敛）,False,False,True,"[3, 7, 33, 74, 107, 108, 110]","['GOV-001', 'GOV-002', 'GOV-003', 'GOV-004', 'GOV-005', 'GOV-01']","['009ee419', '19ef3722', '1a56ffb7', '439f9f20', '59fdeab3', '6affe3009985452f5bc0bdf654aa95a4b61b2d2e', '778fe98e', '9e09941a', 'a67bbc83', 'caee3e67e5a209a9e47b514f42b2b63f3dc4da4e']",True,"[81, 92, 100, 108]","['docs/archive/history/memory_V18R2-V19_operational_log_2026-08-21.md', 'docs/governance/VERSION_NAMESPACES.md', 'docs/owner/{RELEASE_STATUS,SCIENCE_OVERVIEW,PIPELINE_OVERVIEW,ARCHITECTURE_OVERVIEW,CHANGE_REVIEW}.md', 'lib/core/src/module_adapters.cpp', 'lib/drizzle/module.yaml', 'lib/drizzle/src/module_entry.cpp', 'lib/phase3_proj/module.yaml', 'lib/phase3_proj/p3_projection.cpp', '工程控制/ACTIVITY_STATE.md', '工程控制/PROJECT-GOVERNANCE-01/TASK_LIST.md']",,
docs/science/ACR_EQUIVALENCE.md,188,ACR Work-Domain Equivalence Science (SCI-ACR-EQUIV),False,False,True,[],[],[],False,[78],[],False,
docs/science/ASTROMETRY.md,294,Astrometry / WCS Science (SCI-WCS),False,False,True,[],[],[],True,[],[],False,
docs/science/CALIBRATION.md,507,Calibration Science (SCI-CAL),False,False,True,[],[],"['28faec7dd2297d2ff9f108e543b2d55fdb046345', '41b6eb5', '4a7591d', '6284dc9', 'b80c8df1', 'e6ec3c74']",False,[],[],False,
docs/science/CONTROL_WEIGHT_SNR.md,260,Control-Weight SNR / Frame Quality Science (SCI-CW),False,False,True,[],['EXP-04'],[],False,[222],[],False,
docs/science/DRIZZLE.md,250,Drizzle / Spherical Resampling Science (SCI-DRIZZLE),False,False,True,[],[],[],False,[],[],False,
docs/science/INTEGRATION.md,184,Integration / Coaddition Science (SCI-INT),False,False,True,[],[],[],False,[],[],False,
docs/science/NOISE_MODEL.md,412,Noise / Variance / Ivar / SNR Science (SCI-NOISE),False,False,True,[],['EXP-205'],"['2f7e8b6', '90296de', '93b3ac5']",False,[],['reports/PROJECT-GOVERNANCE-01/research/MASK-001_掩膜语义重新推导.md'],False,
