token	sites	files
0.0	4095	228
1.0	1121	155
0.5	322	85
2.0	316	58
.4	301	39
.6	281	39
.3	213	44
.2	184	36
-1.0	159	41
.1	139	33
180.0	139	40
3.0	126	39
360.0	78	18
4.0	74	32
.0	61	14
5.0	52	21
3.14159265358979323846	51	36
10.0	50	25
0.1	49	26
100.0	42	22
1.5	38	12
3600.0	37	15
1.482602218505602	34	20
0.01	33	15
0.05	31	15
3.1	30	16
0.95	30	9
.17	29	10
60.0	28	14
90.0	27	12
.10	25	6
12.0	23	14
255.0	22	8
0.001	22	12
0.50	20	8
2.5	18	10
0.8	18	11
85.0	18	7
8.0	17	10
0.75	17	10
-90.0	17	8
6.0	16	10
.12	16	6
1.345	14	9
1.4	14	9
0.3	14	8
0.9	13	8
1.2	13	8
15.0	13	7
4.22	13	2
0.682689	12	1
-999.0	12	4
-2.0	11	8
.9	11	5
30.4	11	5
65535.0	11	4
0.25	11	6
50.0	10	9
1000.0	10	8
720.0	10	2
30.1	10	2
170.0	10	2
0.20	9	7
9.73	9	3
.8	9	3
9.49	9	3
16.0	9	5
1024.0	9	5
960.0	9	1
0.10	8	6
0.7	8	6
8.3	8	6
20.0	8	8
30.0	8	7
+1.0	8	1
-0.5	8	3
.7	7	5
0.2	7	5
3.5	7	4
0.85	7	5
1.3	7	4
1.1	7	6
4.3	7	4
-2.5	7	4
30.2	7	2
272.5	7	1
.005	6	3
2147483647.0	6	2
3.4	6	4
0.7316727929211932	6	4
57.295779513082323	6	1
206.265	6	2
0.999	6	5
200.0	6	3
10.5	5	4
0.60	5	4
0.317311	5	1
0.017453292519943295769	5	5
1.25	5	3
.15	5	3
7.3	5	4
31.1	5	4
1.4826	5	5
0.002	5	2
0.15	5	5
.5	5	4
11.1	5	3
4.2	5	3
2000.0	5	3
0.005	5	4
9.68	5	2
0.99	5	3
6.36	4	1
.64	4	2
5.3	4	4
7.1	4	3
4.1	4	4
4.4	4	4
1.230310	4	4
2.3548200450309493	4	2
.003	4	2
13.0	4	2
-0.4	4	2
0.35	4	4
206264.80624709636	4	4
-180.0	4	3
2.44413	4	1
0.422205	4	1
1.26661	4	1
500.0	4	3
30.3	4	2
0.995	4	3
-17.2	4	1
0.02	3	3
-4.0	3	3
1.8941	3	1
1.89635	3	1
1.90426	3	1
1.89214	3	1
1.89132	3	1
1.89697	3	1
1.90323	3	1
300.0	3	2
600.0	3	2
12.2	3	2
1.05	3	2
-004.2	3	3
4.5	3	2
8.5	3	2
14.0	3	1
4.685	3	3
0.6744897501960817	3	3
4.19	3	1
3.14159265	3	1
0.87	3	1
1048576.0	3	1
86400.0	3	1
12.4	3	2
3.3	3	2
45.0	3	1
-89.9	3	2
89.9	3	2
1.0e4	3	1
10.4	2	2
2.3	2	2
0.98	2	2
40.0	2	1
1.91027	2	1
1.93532	2	1
1.91982	2	1
1.90852	2	1
1.90563	2	1
1.89847	2	1
1.9015	2	1
1.90308	2	1
1.90799	2	1
1.90027	2	1
1.90334	2	1
1.91276	2	1
1.902	2	1
1.90331	2	1
1.90487	2	1
1.89599	2	1
1.90261	2	1
1.89967	2	1
1.90559	2	1
1.90289	2	1
1.90272	2	1
1.8967	2	1
1.89939	2	1
1.90816	2	1
1.89796	2	1
1.90425	2	1
1.89347	2	1
1.90166	2	1
1.90721	2	1
1.90566	2	1
1.88696	2	1
1.88883	2	1
1.89432	2	1
1.89553	2	1
1.89605	2	1
1.89165	2	1
1.90702	2	1
1.91162	2	1
1.88566	2	1
1.89894	2	1
1.89129	2	1
1.89978	2	1
1.89799	2	1
1.88755	2	1
1.90058	2	1
1.90062	2	1
1.89856	2	1
1.90154	2	1
1.90179	2	1
1.88283	2	1
1.89462	2	1
1.91017	2	1
1.89636	2	1
1.90356	2	1
1.87854	2	1
1.90251	2	1
1.90892	2	1
1.88063	2	1
1.88996	2	1
1.89017	2	1
1.89566	2	1
1.91055	2	1
1.87987	2	1
1.88978	2	1
1.89779	2	1
1.88722	2	1
1.89433	2	1
1.89529	2	1
1.90655	2	1
1.89686	2	1
1.89699	2	1
1.89762	2	1
1.88939	2	1
1.91323	2	1
1.8935	2	1
999999.0	2	1
39.2519	2	1
-0.7969	2	1
1.8688	2	1
0.0000000001	2	1
3.578	2	1
-0.942	2	1
1.57079632679489661923	2	2
0.012	2	1
.29	2	2
.1024	2	1
3.141592653589793	2	1
0.55	2	2
-2147483648.0	2	2
4294967295.0	2	1
0.4	2	1
2.28	2	1
2.2	2	2
1.253	2	2
.015	2	1
10000.0	2	1
0.6745	2	1
0.30	2	2
1.10	2	2
0.2885	2	2
4.28	2	1
2.1	2	2
0.9586	2	2
1.41	2	1
5.57	2	1
3.14159265358979323846264338327950288	2	2
3.2	2	1
9.0	2	2
3.7172	2	1
3.97156	2	1
4.14554	2	1
0.26891	2	1
0.98711	2	1
0.96330	2	1
1.57825	2	1
1.4281	2	1
2.85619	2	1
-1.4281	2	1
0.707	2	1
.13	2	1
5000.0	2	2
8500.0	2	1
1100.0	2	1
95000.0	2	1
8000.0	2	1
824.5167388361774	2	2
4.6	2	1
14.4	2	2
.20000	2	1
512.5	2	1
-85.0	2	1
512.0	2	2
-15.66	2	1
99.5	2	2
211034.6	2	2
6.3	2	1
2.6	1	1
10.3	1	1
.2026	1	1
.39	1	1
0.5502	1	1
0.9998	1	1
1.5e-4	1	1
31.6	1	1
57.29577951308232	1	1
64.0	1	1
-3.969683028665376e+01	1	1
2.209460984245205e+02	1	1
-2.759285104469687e+02	1	1
1.383577518672690e+02	1	1
-3.066479806614716e+01	1	1
2.506628277459239e+00	1	1
-5.447609879822406e+01	1	1
1.615858368580409e+02	1	1
-1.556989798598866e+02	1	1
6.680131188771972e+01	1	1
-1.328068155288572e+01	1	1
-7.784894002430293e-03	1	1
-3.223964580411365e-01	1	1
-2.400758277161838e+00	1	1
-2.549732539343734e+00	1	1
4.374664141464968e+00	1	1
2.938163982698783e+00	1	1
7.784695709041462e-03	1	1
3.224671290700398e-01	1	1
2.445134137142996e+00	1	1
3.754408661907416e+00	1	1
0.02425	1	1
3.1415926535897932384626434	1	1
0.799351	1	1
0.521918	1	1
0.577339	1	1
0.528513	1	1
0.635396	1	1
0.659658	1	1
0.675483	1	1
0.696538	1	1
