key	where	site
alpha	lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:169	alpha = 1.0
alpha	lib/algorithms/coverage/src/rejection.cpp:1253	alpha = 0.05
alpha	lib/algorithms/coverage/src/rejection.cpp:1264	alpha = 0.05
alpha	lib/algorithms/coverage/src/rejection.cpp:1740	alpha : 0.05
alpha	lib/algorithms/coverage/src/rejection.cpp:1942	alpha : 0.05
alpha	lib/algorithms/coverage/src/sky_plane.cpp:946	alpha = 0.0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:159	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:165	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:171	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:276	alpha = 0
alpha	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:404	alpha=0.5
alpha	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:406	alpha = 0.5
alpha	lib/infrastructure/acr/qualification/focused/focused_operations.cpp:220	alpha=1
blocks	lib/algorithms/photometry/cpp/src/spatial_gain.cpp:373	blocks = 0
blocks	lib/infrastructure/aio/io/hips_core.c:412	blocks = 0
blocks	lib/infrastructure/scheduler/src/module_adapters.cpp:1274	blocks = 1
blocks	lib/infrastructure/scheduler/src/module_adapters.cpp:1310	blocks = 1
center	lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.h:316	center{0.0
center	lib/algorithms/noise_snr/cpp/src/snr_science.cpp:76	center = 0.0
clip_sigma	lib/algorithms/coverage/src/sky_plane.cpp:230	clip_sigma = 3.0
clip_sigma	lib/algorithms/coverage/src/sky_plane.cpp:251	clip_sigma = 3.0
dec_deg	lib/algorithms/coverage/src/sampler.cpp:776	dec_deg = 0.0
dec_deg	lib/algorithms/coverage/src/upm.cpp:70	dec_deg{0.0
dec_deg	lib/algorithms/shared/healpix/healpix_core.cpp:250	dec_deg = 0.0
default	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:872	default: 0
default	lib/infrastructure/scheduler/v6_budget.py:466	default=0.0
default	lib/infrastructure/scheduler/v6_budget.py:467	default=0
default	lib/infrastructure/scheduler/v6_budget.py:604	default=2.0
default	lib/infrastructure/scheduler/v6_budget.py:607	default=1
enabled	lib/algorithms/coverage/include/astro/phase2/rejection.h:169	enabled=0
enabled	lib/algorithms/coverage/src/rejection.cpp:1260	enabled = 0
enabled	lib/algorithms/coverage/src/sky_plane.cpp:1263	enabled = 1
enabled	lib/algorithms/resample/p3_resample.h:77	enabled=0
height_px	lib/algorithms/projection/p3_proj_v6.h:134	height_px = 0
height_px	lib/algorithms/projection/p3_projection.h:79	height_px = 0
height_px	lib/algorithms/projection/p3_wcs.h:21	height_px = 0
height_px	lib/include/astrocs/core/plan_estimator.h:94	height_px = 0
high	lib/infrastructure/aio/src/aio_sparse_punch.h:244	high = 0
k_corr	lib/algorithms/coverage/src/sky_plane.cpp:233	k_corr = 1.4
k_corr	lib/algorithms/coverage/src/sky_plane.cpp:254	k_corr = 1.4
k_corr	lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:377	k_corr = 0.0
k_corr	lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:9	k_corr=1
k_corr	lib/infrastructure/aio/v6/src/v6_provenance.cpp:284	k_corr=1
lower_sigma	lib/algorithms/coverage/src/rejection.cpp:1246	lower_sigma = 4.0
lower_sigma	lib/algorithms/coverage/src/rejection.cpp:1247	lower_sigma = 4.0
lower_sigma	lib/algorithms/coverage/src/rejection.cpp:1249	lower_sigma = 4.0
lower_sigma	lib/algorithms/coverage/src/rejection.cpp:1255	lower_sigma = 4.0
mag_tolerance	lib/algorithms/photometry/cpp/src/star_matcher.h:72	mag_tolerance = 3.0
mask_budget_min_patches	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:829	mask_budget_min_patches : 8
mask_budget_min_patches	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1261	mask_budget_min_patches = 8
mask_budget_min_sky	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:830	mask_budget_min_sky : 9216
mask_budget_min_sky	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1262	mask_budget_min_sky = 9216
mask_fwhm_floor_scale	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:828	mask_fwhm_floor_scale : 0.75
mask_fwhm_floor_scale	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1260	mask_fwhm_floor_scale = 0.75
mask_k_sigma	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:826	mask_k_sigma : 0.1
mask_k_sigma	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1258	mask_k_sigma = 0.1
mask_r_min_px	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:827	mask_r_min_px : 1.5
mask_r_min_px	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1259	mask_r_min_px = 1.5
mask_radius_scale	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1251	mask_radius_scale = 6.0
max_clip_rounds	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1254	max_clip_rounds = 2
max_iterations	lib/algorithms/coverage/src/rejection.cpp:1246	max_iterations = 8
max_iterations	lib/algorithms/coverage/src/rejection.cpp:1248	max_iterations = 8
max_iterations	lib/algorithms/coverage/src/rejection.cpp:1250	max_iterations = 8
