key	where	site
alpha	lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:169	alpha = 1.0
alpha	lib/algorithms/coverage/src/rejection.cpp:1253	alpha = 0.05
alpha	lib/algorithms/coverage/src/rejection.cpp:1264	alpha = 0.05
alpha	lib/algorithms/coverage/src/rejection.cpp:1740	alpha : 0.05
alpha	lib/algorithms/coverage/src/rejection.cpp:1942	alpha : 0.05
alpha	lib/algorithms/coverage/src/sky_plane.cpp:946	alpha = 0.0
alpha	lib/algorithms/coverage/tools/rejection_oracle_compare.py:166	alpha=0.05
alpha	lib/algorithms/drizzle/healpix_drizzle/tests/p1drz/p1drz_tests_core.cpp:329	alpha = 3.0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:159	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:165	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:171	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/src/information_weight.cpp:276	alpha = 0
alpha	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:146	alpha = 2.0
alpha	lib/algorithms/noise_snr/tests/p1noise/p1noise_tests_core.cpp:1300	alpha=0
alpha	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/gate1_psf_final_test.py:266	alpha=4.0
alpha	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/gate2_psf_oracle.py:193	alpha=4.0
alpha	lib/algorithms/photometry/tools/diag_gradient_report.py:95	alpha=0.6
alpha	lib/algorithms/photometry/tools/diag_gradient_report.py:141	alpha=0.6
alpha	lib/algorithms/photometry/tools/diag_gradient_report.py:169	alpha=0.7
alpha	lib/algorithms/photometry/tools/diag_gradient_report.py:172	alpha=0.7
alpha	lib/algorithms/photometry/tools/diag_gradient_report.py:222	alpha=0.8
alpha	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:404	alpha=0.5
alpha	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:406	alpha = 0.5
alpha	lib/algorithms/platesolve/cpp/ipv/test/test_mag_iter.cpp:5	alpha=0.243
alpha	lib/algorithms/platesolve/cpp/ipv/test/test_mag_iter.cpp:50	alpha = 0.2885
alpha	lib/algorithms/platesolve/tools/diag_projection_plot.py:208	alpha=0.3
alpha	lib/algorithms/platesolve/tools/diag_projection_plot.py:294	alpha=0.3
alpha	lib/algorithms/platesolve/tools/diag_projection_plot.py:320	alpha=0.2
alpha	lib/algorithms/platesolve/tools/diag_projection_plot.py:322	alpha=0.5
alpha	lib/algorithms/platesolve/tools/diag_projection_plot.py:323	alpha=0.5
alpha	lib/infrastructure/acr/qualification/focused/focused_operations.cpp:220	alpha=1
blocks	lib/algorithms/photometry/cpp/src/spatial_gain.cpp:373	blocks = 0
blocks	lib/infrastructure/acr/tests/unit/test_cuda_bridge_chunk.cpp:154	blocks=1024
blocks	lib/infrastructure/aio/io/hips_core.c:412	blocks = 0
blocks	lib/infrastructure/scheduler/src/module_adapters.cpp:1274	blocks = 1
blocks	lib/infrastructure/scheduler/src/module_adapters.cpp:1310	blocks = 1
center	lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.h:316	center{0.0
center	lib/algorithms/fits_output/memory.md:85	center :14
center	lib/algorithms/noise_snr/cpp/src/snr_science.cpp:76	center = 0.0
center	lib/algorithms/noise_snr/tests/p1noise/p1snr_science_test.cpp:82	center = 0.0
center	lib/algorithms/psf/tests/p1psf/CMakeLists.txt:152	center (0
center	lib/algorithms/psf/tests/p1psf/p1psf_center_contract_astropy.py:68	center (0
center	lib/algorithms/psf/tests/p1psf/p1psf_center_contract_gate.cpp:124	center (0
clip_sigma	lib/algorithms/coverage/src/sky_plane.cpp:230	clip_sigma = 3.0
clip_sigma	lib/algorithms/coverage/src/sky_plane.cpp:251	clip_sigma = 3.0
dec_deg	lib/algorithms/coverage/src/sampler.cpp:776	dec_deg = 0.0
dec_deg	lib/algorithms/coverage/src/upm.cpp:70	dec_deg{0.0
dec_deg	lib/algorithms/coverage/tests/synthetic_gate.cpp:546	dec_deg = 0.0
dec_deg	lib/algorithms/shared/healpix/healpix_core.cpp:250	dec_deg = 0.0
dec_deg	lib/infrastructure/aio/tests/hips_robust_sanitize_driver.cpp:136	dec_deg = 89.5
dec_deg	lib/infrastructure/aio/tests/hips_robust_sanitize_driver.cpp:138	dec_deg = -30.0
dec_deg	lib/infrastructure/aio/tests/hips_sanitize_driver.cpp:57	dec_deg = 89.5
dec_deg	lib/infrastructure/aio/tests/hips_sanitize_driver.cpp:59	dec_deg = -30.0
default	lib/algorithms/coverage/tools/hips_compare.py:349	default=1e-4
default	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:872	default: 0
default	lib/algorithms/integration/v6/oracle/recon_exp04_parity.py:152	default=1024
default	lib/algorithms/integration/v6/oracle/recon_negative_injections.py:83	default=256
default	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/download_xp_sample.py:126	default=1100
default	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/download_xp_sample.py:127	default=8.0
default	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/download_xp_sample.py:128	default=15.0
default	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/download_xp_sample.py:129	default=272.886
