file	line	class	name	assigned	text
eng/cmake/win32_pthread_shim/pthread.h	22	define	PTHREAD_MUTEX_INITIALIZER	{ 0 }	#define PTHREAD_MUTEX_INITIALIZER { 0 }
eng/cmake/win32_pthread_shim/pthread.h	23	define	PTHREAD_MUTEX_RECURSIVE	1	#define PTHREAD_MUTEX_RECURSIVE  1   // cfitsio cfileio.c 用 attr settype(RECURSIVE); shim 近似非递归
eng/packaging/config/runtime_resources_generated.h.in	14	constexpr-expr	kMemoryBudgetPercentDefault		inline constexpr std::uint32_t kMemoryBudgetPercentDefault = @ASTROCS_RR_MEMORY_BUDGET_PERCENT@;
eng/packaging/config/runtime_resources_generated.h.in	17	constexpr-expr	kMemoryBudgetPercentMin	1	inline constexpr std::uint32_t kMemoryBudgetPercentMin = 1;
eng/packaging/config/runtime_resources_generated.h.in	18	constexpr-expr	kMemoryBudgetPercentMax	100	inline constexpr std::uint32_t kMemoryBudgetPercentMax = 100;
eng/packaging/config/runtime_resources_generated.h.in	22	constexpr-expr	kMemoryPressureEnabled		inline constexpr std::uint32_t kMemoryPressureEnabled = @ASTROCS_RR_MEMORY_PRESSURE_ENABLED@;
eng/packaging/config/runtime_resources_generated.h.in	23	constexpr-expr	kMemoryPressureHighPercent		inline constexpr std::uint32_t kMemoryPressureHighPercent = @ASTROCS_RR_MEMORY_PRESSURE_HIGH_PERCENT@;
eng/packaging/config/runtime_resources_generated.h.in	24	constexpr-expr	kMemoryPressureLowPercent		inline constexpr std::uint32_t kMemoryPressureLowPercent = @ASTROCS_RR_MEMORY_PRESSURE_LOW_PERCENT@;
eng/packaging/config/runtime_resources_generated.h.in	25	constexpr-expr	kMemoryPressureHighDwellSamples		inline constexpr std::uint32_t kMemoryPressureHighDwellSamples = @ASTROCS_RR_MEMORY_PRESSURE_HIGH_DWELL@;
eng/packaging/config/runtime_resources_generated.h.in	26	constexpr-expr	kMemoryPressureLowDwellSamples		inline constexpr std::uint32_t kMemoryPressureLowDwellSamples = @ASTROCS_RR_MEMORY_PRESSURE_LOW_DWELL@;
eng/packaging/config/runtime_resources_generated.h.in	27	constexpr-expr	kMemoryPressureEvictAfterSamples		inline constexpr std::uint32_t kMemoryPressureEvictAfterSamples = @ASTROCS_RR_MEMORY_PRESSURE_EVICT_AFTER@;
