slice,n_primary,n_overlap,weight,seq_from,seq_to,date_from,date_to,code_ct,pack_ct,doc_ct,id_families
S01,55,0,116,1,55,2026-05-24,2026-07-13,54,0,1,
S02,55,10,130,56,110,2026-07-13,2026-07-24,54,0,1,
S03,55,10,196,111,165,2026-07-24,2026-07-27,24,29,2,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;CORR-001;DEF-01;DEF-02;DEF-03;DEF-04;DEF-05;GAP-011;P00-001;P00-002;P00-003;P00-004;P00-005;P00-006;P00-007;P00-008
S04,55,10,160,166,220,2026-07-27,2026-07-30,20,7,28,A-001;A-002;A-003;A-004;P10-001;P10-002;P10-003;P10-004;P10-005;P10-006;P11-001;P11-002;P11-003;P11-004;P11-005;P11-006;P12-001;P12-002;P12-003;P12-004
S05,55,10,128,221,275,2026-07-30,2026-08-02,42,5,8,ADR-002;ADR-008;ADR-009;DQ-001;DQ-002;DQ-003;DQ-004;DQ-005;DQ-006;DQ-007;M01;M02;M03;M09;M10;M11
S06,55,10,144,276,330,2026-08-02,2026-08-04,43,8,4,ADR-003;ADR-004;ADR-008;ADR-009;ADR-010;AVX-512;CFG-011;M01;M02;M03;M05;M06;M08;M09;M10;M11;M12;M13;M14
S07,55,10,110,331,385,2026-08-04,2026-08-05,47,5,3,CFG-103;CFG-105;CFG-106;CFG-107;CFG-108;CFG-109;HISS-101;HISS-102;HISS-103;HISS-105;PREC-105;PREC-108;PREC-109;SHA-256;TEST-101
S08,55,10,96,386,440,2026-08-05,2026-08-06,42,4,9,CAND-001;PREC-108;SNR-101
S09,55,10,99,441,495,2026-08-06,2026-08-08,50,1,4,CFG-001;DF-001;DF-002;DF-003;DF-004;DOMAIN-001;ORA-101;PERF-001;PSF-001;REV-001;REV-101;REV-104;REV-105;REV-106;REV-107;SCI-001;SCI-002;SCI-003;STRUCT-001;TYPE-001
S10,55,10,103,496,550,2026-08-08,2026-08-10,46,6,3,CFG-001;IMG-001;P13-003
S11,55,10,93,551,605,2026-08-10,2026-08-11,45,9,1,P0-10
S12,55,10,100,606,660,2026-08-11,2026-08-14,43,16,-4,HOLE-001;SEAM-001;SEAM-002
S13,55,10,119,661,715,2026-08-14,2026-08-16,46,14,-5,BIND-001;BLD-001;CODE-001;COV-001;CUDA-001;DOCS-001;DRZ-001;DRZ-014;DRZ-016;IO-001;MODEL-001;P1-003;PERF-001;PERF-002;PERF-003;PERF-007;PERF-010;REJ-001;RJ-001;SHA-256
S14,55,10,95,716,770,2026-08-16,2026-08-22,17,23,15,CACHE-001;DRZ-01;DRZ-02;ID-001;IVAR-001;M09;NO-01;NO-02;NOISE-001;QA-01;SC-01;SC-02;SC-03;SC-04;SC-05;SC-07;SC-08;SC-09;SC-10;SCOPE-001
S15,55,10,67,771,825,2026-08-22,2026-08-22,10,25,20,ARC-001;ARC-003;ARC-004;ARC-005;ARC-006;ARC-007;ARC-008;ARC-009;DRZ-01;FIPS-180;ID-001;IO-001;SC-02;SC-06;SC-11;SHA-256
S16,55,10,67,826,880,2026-08-22,2026-08-22,19,32,4,BIND-001;CACHE-001;IVAR-001;MODEL-001;SNR-002;SNR-005;UNC-001;WEIGHT-001
S17,55,10,70,881,935,2026-08-22,2026-08-22,9,43,3,CFG-001;DRZ-014;DRZ-016;SNR-001;SNR-011
S18,55,10,85,936,990,2026-08-22,2026-08-27,29,25,1,CON-001;CON-002;CON-003;CON-004;CON-005;CON-006;CON-007;CON-008;CON-009;CON-010;P1-01;P1-02;P1-03
S19,55,10,76,991,1045,2026-08-28,2026-08-28,8,50,-3,ACR-001;ALG-001;ALG-002;ALG-003;ALG-004;API-001;ARCH-001;ARCH-002;BASE-001;BLD-001;BLD-002;BLD-003;BLD-004;CHK-001;CHK-005;CHK-006;CON-008;CON-010;CW-001;DOC-001
