身份,日期戳,首次,末次,实例数,形态,最大文件数,子包数,台账行数,状态分布,任务号族,代表路径
AstroCS_CLI_Core_Development_Pack,,2026-07-25,2026-07-29,1,reco,93,0,0,{},,history/036a3bb5/_new_pack_v1.1/AstroCS_CLI_Core_Development_Pack
_new_pack_v1.1,,2026-07-25,2026-07-29,1,reco,93,0,0,{},,history/036a3bb5/_new_pack_v1.1
engineering_archive_v1.0,,2026-07-25,2026-07-29,1,reco,154,0,0,{},,history/036a3bb5/engineering_archive_v1.0
engineering_v1.2,,2026-07-27,2026-07-29,1,reco,343,0,0,{},,history/036a3bb5/engineering_v1.2
engineering_v1.3,,2026-07-28,2026-07-29,1,reco,401,0,0,{},,history/036a3bb5/engineering_v1.3
AstroCS_Delivery_20260729,2026-07-29,,,1,zip_,10,0,0,{},,history_zip/AstroCS_Delivery_20260729.zip
AstroCS_Authoritative_Development_Pack_v2.0,,2026-07-30,2026-07-31,1,reco,75,0,0,{},,history/a78f5430/_v2_pack/AstroCS_Authoritative_Development_Pack_v2.0
engineering_authoritative,,2026-07-30,2026-07-31,1,reco,177,0,0,{},,history/a78f5430/engineering_authoritative
AstroCS_Stage1_HISS_Agent_Package_2026-07-31,,2026-07-31,2026-07-31,1,reco,13,0,0,{},,history/a78f5430/_agent_package/AstroCS_Stage1_HISS_Agent_Package_2026-07-31
AstroCS_Stage1_HISS_Delivery,,2026-07-31,2026-07-31,1,reco,51,0,0,{},,history/a78f5430/AstroCS_Stage1_HISS_Delivery
AstroCS_Stage1_Wiki_Freeze_2026-07-30,,2026-07-31,2026-07-31,1,reco,24,0,0,{},,history/a78f5430/_wiki_freeze/AstroCS_Stage1_Wiki_Freeze_2026-07-30
_agent_package,,2026-07-31,2026-07-31,1,reco,13,0,0,{},,history/a78f5430/_agent_package
acr,,2026-08-02,2026-09-02,2,"reco,work",50,0,0,{},,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1/tasks/acr
ACR_FOCUSED_CONTROL_PACKAGE,,2026-08-05,2026-09-02,3,"reco,work",21,0,0,{},,history/0030c3a5/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE
ACR_FOCUSED_CONTROL_PACKAGE_V2,,2026-08-06,2026-09-02,3,"reco,work",22,0,0,{},,history/40c9d216/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE_V2
ACR_FOCUSED_CONTROL_PACKAGE_V3,,2026-08-06,2026-09-02,3,"reco,work",22,0,0,{},,history/a36c4825/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE_V3
ACR_FOCUSED_CONTROL_PACKAGE_V4,,2026-08-06,2026-09-02,3,"reco,work",23,0,0,{},,history/38b85702/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE_V4
AstroCS_MAIN_AUDIT_SUPPLEMENT_V2_20260826,2026-08-26,,,1,zip,2,0,0,{},,工程控制/_control_packs/AstroCS_MAIN_AUDIT_SUPPLEMENT_V2_20260826.zip
AstroCS_CP0,,2026-08-27,2026-08-27,2,"zip,zip_",18,0,62,{},,reports/REAUDIT_V3/cp0_out/AstroCS_CP0.zip
AstroCS_MAIN_PRERELEASE_REAUDIT_CONTROL_V3_20260827,2026-08-27,,,1,zip,21,0,62,{},,工程控制/_control_packs/AstroCS_MAIN_PRERELEASE_REAUDIT_CONTROL_V3_20260827.zip
REAUDIT_V3/v3_audit,,2026-08-27,2026-08-27,2,"reco,work",19,0,62,"{""PASS"": 20, ""IN_PROGRESS"": 2, ""NOT_STARTED"": 102}","ACR,ALG,API,ARCH,BLD,CHK,CON,DOC,HIPS,ID,ORA,PKG",history/3703650d/工程控制/REAUDIT_V3/v3_audit
REAUDIT_V3/v3_cp0,,2026-08-27,2026-08-27,2,"reco,work",19,0,62,"{""PASS"": 6, ""NOT_STARTED"": 118}","ACR,ALG,API,ARCH,BLD,CHK,CON,DOC,HIPS,ID,ORA,PKG",history/3703650d/工程控制/REAUDIT_V3/v3_cp0
REAUDIT_V3/v3_reaudit,,2026-08-27,2026-09-02,2,"reco,work",23,0,62,"{""PASS"": 57, ""IN_PROGRESS"": 4, ""NOT_STARTED"": 58, ""FAIL"": 1, ""BLOCKED"": 4}","ACR,ALG,API,ARCH,BLD,CHK,CON,DOC,HIPS,ID,ORA,PKG",history/3703650d/工程控制/REAUDIT_V3/v3_reaudit
