身份,存形态,路径,文件数,字节,zip或自带sha256,首次提交,首次日期,最后提交,删除提交,容器(子包数),父包,台账行数,状态分布,自带SHA256核对
2026-09-09_superseded_V8.1_CI_CONTROL_20260905,worktree,engineering/control/archive/2026-09-09_superseded_V8.1_CI_CONTROL_20260905,57,389487,,8e03d7da,2026-09-10,8e03d7da,,0,,,{},"{""file"": ""SHA256SUMS"", ""ok"": 54, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE,recovered_from_history,history/0030c3a5/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE,21,45175,,0030c3a5,2026-08-05,0030c3a5,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 19, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE,recovered_from_history,history/e1604f14/工程控制/archive/ACR_FOCUSED_CONTROL_PACKAGE,21,45178,,e1604f14,2026-08-27,e1604f14,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 19, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE,worktree,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1/archive/ACR_FOCUSED_CONTROL_PACKAGE,20,44827,,b7b2dea7,2026-09-02,b7b2dea7,,0,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 19, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V2,recovered_from_history,history/40c9d216/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE_V2,22,54007,,40c9d216,2026-08-06,40c9d216,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 0, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V2,recovered_from_history,history/e1604f14/工程控制/archive/ACR_FOCUSED_CONTROL_PACKAGE_V2,22,54010,,e1604f14,2026-08-27,e1604f14,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 0, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V2,worktree,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1/archive/ACR_FOCUSED_CONTROL_PACKAGE_V2,21,53653,,b7b2dea7,2026-09-02,b7b2dea7,,0,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 0, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V3,recovered_from_history,history/a36c4825/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE_V3,22,55437,,a36c4825,2026-08-06,a36c4825,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 0, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V3,recovered_from_history,history/e1604f14/工程控制/archive/ACR_FOCUSED_CONTROL_PACKAGE_V3,22,55440,,e1604f14,2026-08-27,e1604f14,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 0, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V3,worktree,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1/archive/ACR_FOCUSED_CONTROL_PACKAGE_V3,21,55083,,b7b2dea7,2026-09-02,b7b2dea7,,0,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 0, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V4,recovered_from_history,history/38b85702/工程控制/docs/ACR_FOCUSED_CONTROL_PACKAGE_V4,23,47537,,38b85702,2026-08-06,38b85702,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 21, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V4,recovered_from_history,history/e1604f14/工程控制/archive/ACR_FOCUSED_CONTROL_PACKAGE_V4,23,47540,,e1604f14,2026-08-27,e1604f14,,,,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 21, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
ACR_FOCUSED_CONTROL_PACKAGE_V4,worktree,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1/archive/ACR_FOCUSED_CONTROL_PACKAGE_V4,22,47183,,b7b2dea7,2026-09-02,b7b2dea7,,0,engineering/control/archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1,,{},"{""file"": ""SHA256SUMS.txt"", ""ok"": 21, ""mismatch"": 0, ""missing"": 0, ""mismatch_list"": []}"
AUDIT_PACKAGE_587fe0e341a7,zip,artifacts/prerelease_v5/AUDIT_PACKAGE_587fe0e341a7.zip,1699,15518698,81b7e39ed80c273b,,,,,,,98,{},
