slice,报告存在,报告字节,主责条数,已覆盖,缺失,缺失seq,重叠条数
S01,是,47714,55,55,0,,0
S02,是,51154,55,55,0,,10
S03,是,70623,55,55,0,,10
S04,是,50618,55,55,0,,10
S05,是,56437,55,55,0,,10
S06,是,60718,55,55,0,,10
S07,是,61916,55,55,0,,10
S08,是,51235,55,55,0,,10
S09,是,50088,55,55,0,,10
S10,是,42109,55,55,0,,10
S11,是,51398,55,55,0,,10
S12,是,53784,55,55,0,,10
S13,是,56736,55,55,0,,10
S14,是,55529,55,55,0,,10
S15,是,39888,55,55,0,,10
S16,是,43287,55,55,0,,10
S17,是,46148,55,55,0,,10
S18,是,55852,55,55,0,,10
S19,是,46517,55,55,0,,10
S20,是,45065,55,55,0,,10
S21,是,36127,55,55,0,,10
S22,是,52218,55,55,0,,10
S23,是,47399,55,55,0,,10
S24,是,36465,55,55,0,,10
S25,是,81603,55,55,0,,10
S26,是,67751,55,55,0,,10
S27,是,59566,55,55,0,,10
S28,是,66458,55,55,0,,10
S29,是,67944,55,55,0,,10
S30,是,42755,55,55,0,,10
S31,是,83548,55,55,0,,10
S32,是,58693,55,55,0,,10
S33,是,117037,55,55,0,,10
S34,是,53422,55,55,0,,10
S35,是,45777,55,55,0,,10
S36,是,75518,55,55,0,,10
S37,是,26526,8,8,0,,10
